ensemble,split_type,loss_function,score_metric,gt_score_type,value,experiment,mclass,transformed_value,percentile
ISO_BI,sequence_cluster,MSE,kl_divergence,Mean_Recovery,91.01844413535824,TeaA-IsoValidation,GT-only,91.01844413535824,84.375
ISO_BI,sequence_cluster,Sigma_MSE,kl_divergence,Mean_Recovery,91.1578220728732,TeaA-IsoValidation,GT-only,91.1578220728732,87.5
ISO_BI,sequence_cluster,mcMSE,kl_divergence,Mean_Recovery,92.44144041774145,TeaA-IsoValidation,GT-only,92.44144041774145,92.70833333333334
ISO_BI,spatial,MSE,kl_divergence,Mean_Recovery,83.76656561921948,TeaA-IsoValidation,GT-only,83.76656561921948,39.58333333333333
ISO_BI,spatial,Sigma_MSE,kl_divergence,Mean_Recovery,90.20453260581058,TeaA-IsoValidation,GT-only,90.20453260581058,77.08333333333334
ISO_BI,spatial,mcMSE,kl_divergence,Mean_Recovery,86.58652323980402,TeaA-IsoValidation,GT-only,86.58652323980402,57.291666666666664
ISO_TRI,sequence_cluster,MSE,kl_divergence,Mean_Recovery,43.40410768788379,TeaA-IsoValidation,GT+alt,43.40410768788379,75.0
ISO_TRI,sequence_cluster,Sigma_MSE,kl_divergence,Mean_Recovery,32.68866801181226,TeaA-IsoValidation,GT+alt,32.68866801181226,29.166666666666668
ISO_TRI,sequence_cluster,mcMSE,kl_divergence,Mean_Recovery,46.14449163073287,TeaA-IsoValidation,GT+alt,46.14449163073287,87.5
ISO_TRI,spatial,MSE,kl_divergence,Mean_Recovery,39.41209146796208,TeaA-IsoValidation,GT+alt,39.41209146796208,57.291666666666664
ISO_TRI,spatial,Sigma_MSE,kl_divergence,Mean_Recovery,50.537246467835054,TeaA-IsoValidation,GT+alt,50.537246467835054,99.47916666666666
ISO_TRI,spatial,mcMSE,kl_divergence,Mean_Recovery,40.85374647108612,TeaA-IsoValidation,GT+alt,40.85374647108612,66.66666666666666
ISO_BI,sequence_cluster,MSE,train_mse,Mean_Recovery,68.94239764700758,TeaA-IsoValidation,GT-only,68.94239764700758,11.979166666666668
ISO_BI,sequence_cluster,Sigma_MSE,train_mse,Mean_Recovery,86.48954841477813,TeaA-IsoValidation,GT-only,86.48954841477813,55.729166666666664
ISO_BI,sequence_cluster,mcMSE,train_mse,Mean_Recovery,69.39730499181125,TeaA-IsoValidation,GT-only,69.39730499181125,26.5625
ISO_BI,spatial,MSE,train_mse,Mean_Recovery,68.60145378040495,TeaA-IsoValidation,GT-only,68.60145378040495,4.6875
ISO_BI,spatial,Sigma_MSE,train_mse,Mean_Recovery,85.34096697542505,TeaA-IsoValidation,GT-only,85.34096697542505,44.27083333333333
ISO_BI,spatial,mcMSE,train_mse,Mean_Recovery,69.0274219496714,TeaA-IsoValidation,GT-only,69.0274219496714,19.270833333333336
ISO_TRI,sequence_cluster,MSE,train_mse,Mean_Recovery,32.13271601505921,TeaA-IsoValidation,GT+alt,32.13271601505921,16.145833333333336
ISO_TRI,sequence_cluster,Sigma_MSE,train_mse,Mean_Recovery,33.85327995073947,TeaA-IsoValidation,GT+alt,33.85327995073947,30.729166666666668
ISO_TRI,sequence_cluster,mcMSE,train_mse,Mean_Recovery,32.366328134995065,TeaA-IsoValidation,GT+alt,32.366328134995065,22.395833333333336
ISO_TRI,spatial,MSE,train_mse,Mean_Recovery,35.76538297757531,TeaA-IsoValidation,GT+alt,35.76538297757531,41.14583333333333
ISO_TRI,spatial,Sigma_MSE,train_mse,Mean_Recovery,31.08519877088813,TeaA-IsoValidation,GT+alt,31.08519877088813,3.6458333333333335
ISO_TRI,spatial,mcMSE,train_mse,Mean_Recovery,36.292908594860016,TeaA-IsoValidation,GT+alt,36.292908594860016,43.22916666666667
ISO_BI,sequence_cluster,MSE,val_mse,Mean_Recovery,76.63124248589514,TeaA-IsoValidation,GT-only,76.63124248589514,35.9375
ISO_BI,sequence_cluster,Sigma_MSE,val_mse,Mean_Recovery,89.20292985883292,TeaA-IsoValidation,GT-only,89.20292985883292,68.22916666666666
ISO_BI,sequence_cluster,mcMSE,val_mse,Mean_Recovery,76.43457051086432,TeaA-IsoValidation,GT-only,76.43457051086432,33.85416666666667
ISO_BI,spatial,MSE,val_mse,Mean_Recovery,74.8376339175825,TeaA-IsoValidation,GT-only,74.8376339175825,29.6875
ISO_BI,spatial,Sigma_MSE,val_mse,Mean_Recovery,84.92717013867022,TeaA-IsoValidation,GT-only,84.92717013867022,41.14583333333333
ISO_BI,spatial,mcMSE,val_mse,Mean_Recovery,75.22415899905396,TeaA-IsoValidation,GT-only,75.22415899905396,31.770833333333332
ISO_TRI,sequence_cluster,MSE,val_mse,Mean_Recovery,32.132710589631465,TeaA-IsoValidation,GT+alt,32.132710589631465,11.979166666666668
ISO_TRI,sequence_cluster,Sigma_MSE,val_mse,Mean_Recovery,35.00069104160024,TeaA-IsoValidation,GT+alt,35.00069104160024,34.89583333333333
ISO_TRI,sequence_cluster,mcMSE,val_mse,Mean_Recovery,32.36631221067842,TeaA-IsoValidation,GT+alt,32.36631221067842,19.270833333333336
ISO_TRI,spatial,MSE,val_mse,Mean_Recovery,39.75917259798508,TeaA-IsoValidation,GT+alt,39.75917259798508,59.895833333333336
ISO_TRI,spatial,Sigma_MSE,val_mse,Mean_Recovery,31.78697899494855,TeaA-IsoValidation,GT+alt,31.78697899494855,7.8125
ISO_TRI,spatial,mcMSE,val_mse,Mean_Recovery,41.318251302106894,TeaA-IsoValidation,GT+alt,41.318251302106894,68.22916666666666
ISO_BI,sequence_cluster,MSE,test_mse,Mean_Recovery,68.94240358253155,TeaA-IsoValidation,GT-only,68.94240358253155,14.0625
ISO_BI,sequence_cluster,Sigma_MSE,test_mse,Mean_Recovery,85.58774222640602,TeaA-IsoValidation,GT-only,85.58774222640602,49.47916666666667
ISO_BI,sequence_cluster,mcMSE,test_mse,Mean_Recovery,69.3972931343127,TeaA-IsoValidation,GT-only,69.3972931343127,24.479166666666664
ISO_BI,spatial,MSE,test_mse,Mean_Recovery,68.60145378040495,TeaA-IsoValidation,GT-only,68.60145378040495,4.6875
ISO_BI,spatial,Sigma_MSE,test_mse,Mean_Recovery,87.0310126026961,TeaA-IsoValidation,GT-only,87.0310126026961,61.979166666666664
ISO_BI,spatial,mcMSE,test_mse,Mean_Recovery,69.0274219496714,TeaA-IsoValidation,GT-only,69.0274219496714,19.270833333333336
ISO_TRI,sequence_cluster,MSE,test_mse,Mean_Recovery,32.13271601505921,TeaA-IsoValidation,GT+alt,32.13271601505921,16.145833333333336
ISO_TRI,sequence_cluster,Sigma_MSE,test_mse,Mean_Recovery,34.61392101999016,TeaA-IsoValidation,GT+alt,34.61392101999016,32.8125
ISO_TRI,sequence_cluster,mcMSE,test_mse,Mean_Recovery,32.366328134995065,TeaA-IsoValidation,GT+alt,32.366328134995065,22.395833333333336
ISO_TRI,spatial,MSE,test_mse,Mean_Recovery,35.765374035558104,TeaA-IsoValidation,GT+alt,35.765374035558104,38.02083333333333
ISO_TRI,spatial,Sigma_MSE,test_mse,Mean_Recovery,31.78697899494855,TeaA-IsoValidation,GT+alt,31.78697899494855,7.8125
ISO_TRI,spatial,mcMSE,test_mse,Mean_Recovery,36.29290866799151,TeaA-IsoValidation,GT+alt,36.29290866799151,45.3125
ISO_BI,sequence_cluster,MSE,d_mse_train,Mean_Recovery,68.94239764700758,TeaA-IsoValidation,GT-only,68.94239764700758,11.979166666666668
ISO_BI,sequence_cluster,Sigma_MSE,d_mse_train,Mean_Recovery,86.48954841477813,TeaA-IsoValidation,GT-only,86.48954841477813,55.729166666666664
ISO_BI,sequence_cluster,mcMSE,d_mse_train,Mean_Recovery,69.39730499181125,TeaA-IsoValidation,GT-only,69.39730499181125,26.5625
ISO_BI,spatial,MSE,d_mse_train,Mean_Recovery,68.60145378040495,TeaA-IsoValidation,GT-only,68.60145378040495,4.6875
ISO_BI,spatial,Sigma_MSE,d_mse_train,Mean_Recovery,85.34096697542505,TeaA-IsoValidation,GT-only,85.34096697542505,44.27083333333333
ISO_BI,spatial,mcMSE,d_mse_train,Mean_Recovery,69.0274219496714,TeaA-IsoValidation,GT-only,69.0274219496714,19.270833333333336
ISO_TRI,sequence_cluster,MSE,d_mse_train,Mean_Recovery,32.13271601505921,TeaA-IsoValidation,GT+alt,32.13271601505921,16.145833333333336
ISO_TRI,sequence_cluster,Sigma_MSE,d_mse_train,Mean_Recovery,33.85327995073947,TeaA-IsoValidation,GT+alt,33.85327995073947,30.729166666666668
ISO_TRI,sequence_cluster,mcMSE,d_mse_train,Mean_Recovery,32.366328134995065,TeaA-IsoValidation,GT+alt,32.366328134995065,22.395833333333336
ISO_TRI,spatial,MSE,d_mse_train,Mean_Recovery,35.76538297757531,TeaA-IsoValidation,GT+alt,35.76538297757531,41.14583333333333
ISO_TRI,spatial,Sigma_MSE,d_mse_train,Mean_Recovery,31.08519877088813,TeaA-IsoValidation,GT+alt,31.08519877088813,3.6458333333333335
ISO_TRI,spatial,mcMSE,d_mse_train,Mean_Recovery,36.292908594860016,TeaA-IsoValidation,GT+alt,36.292908594860016,43.22916666666667
ISO_BI,sequence_cluster,MSE,d_mse_val,Mean_Recovery,76.63124248589514,TeaA-IsoValidation,GT-only,76.63124248589514,35.9375
ISO_BI,sequence_cluster,Sigma_MSE,d_mse_val,Mean_Recovery,89.20292985883292,TeaA-IsoValidation,GT-only,89.20292985883292,68.22916666666666
ISO_BI,sequence_cluster,mcMSE,d_mse_val,Mean_Recovery,76.43457051086432,TeaA-IsoValidation,GT-only,76.43457051086432,33.85416666666667
ISO_BI,spatial,MSE,d_mse_val,Mean_Recovery,74.8376339175825,TeaA-IsoValidation,GT-only,74.8376339175825,29.6875
ISO_BI,spatial,Sigma_MSE,d_mse_val,Mean_Recovery,84.92717013867022,TeaA-IsoValidation,GT-only,84.92717013867022,41.14583333333333
ISO_BI,spatial,mcMSE,d_mse_val,Mean_Recovery,75.22415899905396,TeaA-IsoValidation,GT-only,75.22415899905396,31.770833333333332
ISO_TRI,sequence_cluster,MSE,d_mse_val,Mean_Recovery,32.132710589631465,TeaA-IsoValidation,GT+alt,32.132710589631465,11.979166666666668
ISO_TRI,sequence_cluster,Sigma_MSE,d_mse_val,Mean_Recovery,35.00069104160024,TeaA-IsoValidation,GT+alt,35.00069104160024,34.89583333333333
ISO_TRI,sequence_cluster,mcMSE,d_mse_val,Mean_Recovery,32.36631221067842,TeaA-IsoValidation,GT+alt,32.36631221067842,19.270833333333336
ISO_TRI,spatial,MSE,d_mse_val,Mean_Recovery,39.75917259798508,TeaA-IsoValidation,GT+alt,39.75917259798508,59.895833333333336
ISO_TRI,spatial,Sigma_MSE,d_mse_val,Mean_Recovery,31.78697899494855,TeaA-IsoValidation,GT+alt,31.78697899494855,7.8125
ISO_TRI,spatial,mcMSE,d_mse_val,Mean_Recovery,41.318251302106894,TeaA-IsoValidation,GT+alt,41.318251302106894,68.22916666666666
ISO_BI,sequence_cluster,MSE,d_mse_test,Mean_Recovery,68.94240358253155,TeaA-IsoValidation,GT-only,68.94240358253155,14.0625
ISO_BI,sequence_cluster,Sigma_MSE,d_mse_test,Mean_Recovery,85.58774222640602,TeaA-IsoValidation,GT-only,85.58774222640602,49.47916666666667
ISO_BI,sequence_cluster,mcMSE,d_mse_test,Mean_Recovery,69.3972931343127,TeaA-IsoValidation,GT-only,69.3972931343127,24.479166666666664
ISO_BI,spatial,MSE,d_mse_test,Mean_Recovery,68.60145378040495,TeaA-IsoValidation,GT-only,68.60145378040495,4.6875
ISO_BI,spatial,Sigma_MSE,d_mse_test,Mean_Recovery,87.0310126026961,TeaA-IsoValidation,GT-only,87.0310126026961,61.979166666666664
ISO_BI,spatial,mcMSE,d_mse_test,Mean_Recovery,69.0274219496714,TeaA-IsoValidation,GT-only,69.0274219496714,19.270833333333336
ISO_TRI,sequence_cluster,MSE,d_mse_test,Mean_Recovery,32.13271601505921,TeaA-IsoValidation,GT+alt,32.13271601505921,16.145833333333336
ISO_TRI,sequence_cluster,Sigma_MSE,d_mse_test,Mean_Recovery,34.61392101999016,TeaA-IsoValidation,GT+alt,34.61392101999016,32.8125
ISO_TRI,sequence_cluster,mcMSE,d_mse_test,Mean_Recovery,32.366328134995065,TeaA-IsoValidation,GT+alt,32.366328134995065,22.395833333333336
ISO_TRI,spatial,MSE,d_mse_test,Mean_Recovery,35.765374035558104,TeaA-IsoValidation,GT+alt,35.765374035558104,38.02083333333333
ISO_TRI,spatial,Sigma_MSE,d_mse_test,Mean_Recovery,31.78697899494855,TeaA-IsoValidation,GT+alt,31.78697899494855,7.8125
