Term,Level,Coefficient,Lower_CI,Upper_CI,Is_Reference
metric,val_loss,42.8459023717804,-91.96489119466153,177.65669593822233,False
metric,d_mse_test,47.1316940113732,-87.67909955506882,181.9424875778152,False
metric,d_mse_train,48.94581167435766,-85.86498189208413,183.75660524079944,False
metric,d_mse_val,52.899948559781286,-81.91084500666062,187.71074212622318,False
metric,test_mse,47.13169401137307,-87.67909955506849,181.94248757781463,False
metric,train_mse,48.94581167435768,-85.86498189208376,183.75660524079913,False
metric,val_mse,52.89994855978106,-81.91084500666045,187.71074212622256,False
metric,kl_divergence,81.50508650108499,-53.30570706535629,216.31588006752628,False
metric,work_density,61.23319728730996,-73.57759627913208,196.043990853752,False
metric,work_fitting,62.03593716168736,-72.77485640475469,196.8467307281294,False
metric,work_magnitude,29.348399935133223,-105.46239363130877,164.1591935015752,False
metric,work_opt,60.385785548085344,-74.4250080183568,195.1965791145275,False
metric,work_scale,56.90112627258171,-77.90966729386037,191.71191983902378,False
metric,work_shape,43.88570771074505,-90.92508585569705,178.69650127718717,False
metric,cluster_0,106.22580273998457,-28.584990826457357,241.0365963064265,False
metric,cluster_1,14.35794346989604,-120.45285009654575,149.16873703633783,False
mclass,GT+alt,0.0,0.0,0.0,True
mclass,GT-only,-4.7515465941566895,-193.90662392694804,184.4035307386347,False
exp,MoPrP-RW+BV,0.0,0.0,0.0,True
exp,MoPrP-Reweighting,-20.016802712799908,-40.28471088381631,0.2511054582164931,False
exp,TeaA-IsoValidation,-52.61825353343389,-242.09880556347215,136.86229849660438,False
loss,MSE,0.0,0.0,0.0,True
loss,Sigma_MSE,9.193488821881777,-11.074419349133384,29.461396992896937,False
loss,mcMSE,-21.01249670037252,-41.28040487138768,-0.7445885293573582,False
split,sequence_cluster,0.0,0.0,0.0,True
split,spatial,-16.84467727961855,-33.8020258677702,0.11267130853309482,False
