stage,ensemble,family,arm,maxent_arm,ess_gap,matched,delta_tv,delta_mse
rate,ISO_BI,scalar_logpf,7,1,0.04386027781361597,False,,
rate,ISO_BI,scalar_logpf,8,1,0.14547876132646137,False,,
rate,ISO_BI,scalar_logpf,9,1,0.25354258170256844,False,,
rate,ISO_BI,scalar_logpf,10,1,0.390375037062371,False,,
rate,ISO_BI,scalar_logpf,11,5,0.31459999313694653,False,,
rate,ISO_BI,scalar_logpf,12,5,0.16539728053411684,False,,
rate,ISO_BI,profile_logpf,13,1,0.24706151895762568,False,,
rate,ISO_BI,profile_logpf,14,1,0.3278366818332585,False,,
rate,ISO_BI,profile_logpf,15,1,0.43047968910985285,False,,
rate,ISO_BI,profile_logpf,16,5,0.36361400926666354,False,,
rate,ISO_BI,profile_logpf,17,5,0.24302289549341527,False,,
rate,ISO_BI,profile_logpf,18,5,0.1447206362345076,False,,
rate,ISO_TRI,scalar_logpf,8,4,0.0017457016103923804,True,0.05987076180831585,-0.000439677736138672
rate,ISO_TRI,scalar_logpf,10,1,0.3942578004026996,False,,
rate,ISO_TRI,scalar_logpf,11,5,0.2975352129643335,False,,
rate,ISO_TRI,scalar_logpf,12,5,0.1727531386344746,False,,
rate,ISO_TRI,profile_logpf,13,1,0.252461632526599,False,,
rate,ISO_TRI,profile_logpf,14,1,0.33361372086277735,False,,
rate,ISO_TRI,profile_logpf,15,1,0.42519097084128465,False,,
rate,ISO_TRI,profile_logpf,16,5,0.34056804063080437,False,,
rate,ISO_TRI,profile_logpf,17,5,0.23955350444242463,False,,
rate,ISO_TRI,profile_logpf,18,5,0.15931657328684012,False,,
uptake,ISO_BI,scalar_logpf,7,1,0.0013755326615096028,True,0.010715836113397603,0.0007523256208355001
uptake,ISO_BI,scalar_logpf,8,1,0.005818747992173219,True,0.011733371589102065,0.001146965313176144
uptake,ISO_BI,scalar_logpf,9,5,0.1803493679434721,False,,
uptake,ISO_BI,scalar_logpf,10,5,0.31101837499050966,False,,
uptake,ISO_BI,scalar_logpf,11,6,0.4351195082842162,False,,
uptake,ISO_BI,scalar_logpf,12,6,0.25382905216382856,False,,
uptake,ISO_BI,profile_logpf,13,5,0.18828633311662224,False,,
uptake,ISO_BI,profile_logpf,14,5,0.2634121688777938,False,,
uptake,ISO_BI,profile_logpf,15,5,0.34764469539025306,False,,
uptake,ISO_BI,profile_logpf,16,5,0.48457486674795774,False,,
uptake,ISO_BI,profile_logpf,17,6,0.35855085986200275,False,,
uptake,ISO_BI,profile_logpf,18,6,0.23956036425536142,False,,
uptake,ISO_TRI,scalar_logpf,7,1,0.0005553347856256351,True,0.08574185483650615,0.0012531312239595844
uptake,ISO_TRI,scalar_logpf,8,3,1.8387712549255628e-05,True,0.07624860108996612,0.0013299325749397397
uptake,ISO_TRI,scalar_logpf,10,5,0.38195207713158885,False,,
uptake,ISO_TRI,scalar_logpf,11,6,0.4076285963058105,False,,
uptake,ISO_TRI,scalar_logpf,12,6,0.2766018404025443,False,,
uptake,ISO_TRI,profile_logpf,13,5,0.23597234019184404,False,,
uptake,ISO_TRI,profile_logpf,14,5,0.3145905533819853,False,,
uptake,ISO_TRI,profile_logpf,15,5,0.40625081199024965,False,,
uptake,ISO_TRI,profile_logpf,16,6,0.47328636274746994,False,,
uptake,ISO_TRI,profile_logpf,17,6,0.36900971247469794,False,,
uptake,ISO_TRI,profile_logpf,18,6,0.26900628508387003,False,,
