stage,ensemble,arm,family,strength,quantile,converged,objective,mse,objective_gap,steps,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess,initial_population_tv
uptake,ISO_TRI,2,maxent,0.0001,,True,0.011478910482566052,0.0016561489168288178,2.6005476249556257e-07,3000,0.31638041304525333,0.4531368388642525,0.2304827480904942,64.4780791599664,0.23048274809049418,0.0037182662126401724,2.128304092350678,9.17731126801508,1.0321435354168846,2.950042271630815e-05
uptake,ISO_TRI,0,unregularised,0.0,,True,0.011268437802116029,0.0017119653167878741,0.0007643276638382892,3000,0.32230855032889744,0.45014340210220216,0.22754804756890046,64.71074953616778,0.22754804756890043,0.004021522986749616,2.7862477855228778,8.332556736050801,1.0323345794002108,0.0011420024733717754
uptake,ISO_BI,2,maxent,0.0001,,True,0.01760225167229179,0.002599651907876175,5.7780686074305845e-08,3000,0.3717807619982602,0.6282192380017397,0.0,97.53810383484148,0.028219238001739783,0.007868374879849217,1.12455559377259,17.539256630811437,,2.2542435966277363e-05
uptake,ISO_BI,0,unregularised,0.0,,True,0.018102913403254196,0.0027502978162035744,5.1500109516150765e-05,1000,0.3929209005913039,0.607079099408696,0.0,99.38543231677825,0.007079099408696055,0.011442011307666328,2.2739786258254844,11.47972470461001,,3.4320166818757603e-06
uptake,ISO_TRI,7,scalar_logpf,0.1,0.02,True,0.01958384493142663,0.002945708273842589,0.003252218244623393,1000,0.31137686201944537,0.3749868621174046,0.3136362758631499,57.607758251139195,0.31363627586314996,0.0045146314304305045,19.204286280389894,70.41177308235277,1.0633681789598648,0.00360212431106563
uptake,ISO_BI,7,scalar_logpf,0.1,0.02,True,0.023162631302285932,0.003486555557220627,5.071541281172789e-05,3000,0.3817963196680844,0.6182036803319155,0.0,98.4156912510641,0.018203680331915578,0.012179599663798219,1.9233877714382284,21.05217007796968,,0.00017833805437833528
uptake,ISO_BI,13,profile_logpf,0.1,0.02,True,0.038835085961652395,0.005702356556569876,2.7361243883454607e-07,1000,0.28181099218745853,0.7181890078125415,0.0,89.39154893018933,0.11818900781254149,0.21452431348856146,42.771403979910374,148.35739381258816,,2.0588065446913717e-08
rate,ISO_TRI,2,maxent,0.0001,,True,0.03948478397188421,0.005912711030247883,1.6834813288717742e-06,1000,0.10516236067519003,0.3284668938168631,0.5663707455079467,38.48326662999322,0.5663707455079467,0.0046173203563311515,4.0884455634736,12.619740599296009,3.726349020637031,1.2894880064201475e-05
rate,ISO_TRI,0,unregularised,0.0,,True,0.0389313560258349,0.005914673570744148,2.341097834878554e-08,1000,0.10705861451007553,0.34245158901057654,0.550489796479348,39.50638164856349,0.550489796479348,0.004686715200356485,3.633669049833728,12.456244730121545,3.6367385038259448,2.8728163494265435e-06
rate,ISO_BI,1,maxent,1e-05,,True,0.04313604710099816,0.006543423183159596,2.8304378812575887e-05,1000,0.11880383031716162,0.8811961696828383,0.0,72.17719279323,0.28119616968283834,0.02033274953326519,4.415253430485596,14.630286632990275,,9.755032511605394e-05
rate,ISO_BI,0,unregularised,0.0,,True,0.04307259609174677,0.006543834372430619,3.945452370902821e-07,1000,0.11929165807175994,0.88070834192824,0.0,72.23752649680782,0.28070834192824,0.02037501873094377,4.393001142983566,14.658107233047733,,1.4982497477250556e-06
rate,ISO_TRI,8,scalar_logpf,0.1,0.04,True,0.04416450323996842,0.006687459395343032,0.00025689276232324586,1000,0.05503924228082324,0.26342191921681024,0.6815388385023669,29.585097219502956,0.6815388385023666,0.002227635641833616,17.501109383571368,107.73831999942887,2.311628135236089,0.000562063145381108
uptake,ISO_TRI,13,profile_logpf,0.1,0.02,True,0.04607398435649224,0.006835204270683877,5.6600300735926656e-08,1000,0.10674758957145064,0.4905341636197864,0.40271824680876295,47.98895414467152,0.40271824680876295,0.2491871597835753,43.72852045414803,284.18812419056474,232.91136012594168,1.018702806832028e-08
rate,ISO_BI,7,scalar_logpf,0.1,0.02,True,0.048688768645060755,0.0073694452333599916,0.00012691941235616703,1000,0.10005741251106956,0.8999425874889305,0.0,69.79080568177551,0.2999425874889305,0.06419302734688116,11.70469535863999,47.72948308887881,,0.002585735800307215
rate,ISO_BI,13,profile_logpf,0.1,0.02,True,0.05750792454370893,0.008640109366660653,2.3689260426311905e-08,1000,0.09855303526314356,0.9014469647368564,0.0,69.59307075944938,0.3014469647368564,0.2673942684908909,21.613829697049795,212.19274645099242,,1.5167733527499117e-09
rate,ISO_TRI,13,profile_logpf,0.1,0.02,True,0.059875217108817144,0.008993783884539877,0.0003049927510069271,1000,0.045247539828557906,0.48165486805966096,0.47309759211178115,40.141704224493694,0.47309759211178115,0.25715613640958146,23.559872285952093,277.8503947003492,271.01123969225506,0.0010902613636774514
