merge,left,right,distance,height
0,1753,1754,1.0792137790782612,1.0792137790782612
1,1283,1339,1.0871857196981787,1.0871857196981787
2,1276,1493,1.0926548209856266,1.0926548209856266
3,954,960,1.0967872067410114,1.0967872067410114
4,2177,2178,1.09846058020236,1.09846058020236
5,1985,1994,1.0985689516350807,1.0985689516350807
6,689,704,1.1046130852145521,1.1046130852145521
7,1546,1553,1.1067702906161143,1.1067702906161143
8,2044,2045,1.113419229649094,1.113419229649094
9,707,716,1.1134994173240298,1.1134994173240298
10,1497,1509,1.1157575749177755,1.1157575749177755
11,961,965,1.1171285469793495,1.1171285469793495
12,1635,1639,1.1192996170164013,1.1192996170164013
13,1565,1567,1.1198654559614667,1.1198654559614667
14,1988,1989,1.1199299965975165,1.1199299965975165
15,1021,1027,1.1203171623329211,1.1203171623329211
16,32,35,1.1210531673750506,1.1210531673750506
17,425,435,1.1216636089758292,1.1216636089758292
18,1828,1830,1.121754578030923,1.121754578030923
19,224,225,1.1223873668927968,1.1223873668927968
20,1145,1146,1.1228494183667423,1.1228494183667423
21,1882,1910,1.1256781780527771,1.1256781780527771
22,1599,1600,1.1271728826950171,1.1271728826950171
23,2031,2035,1.1274708316362239,1.1274708316362239
24,2102,2107,1.1293472318414868,1.1293472318414868
25,690,711,1.1297161162882308,1.1297161162882308
26,1060,1120,1.1298741727548713,1.1298741727548713
27,1400,1408,1.129987056695483,1.129987056695483
28,1689,1692,1.1304986558525203,1.1304986558525203
29,211,216,1.130885962962001,1.130885962962001
30,1953,2037,1.131006264380542,1.131006264380542
31,408,412,1.1324901825647071,1.1324901825647071
32,629,630,1.1335971581681052,1.1335971581681052
33,350,364,1.1339234158113027,1.1339234158113027
34,1080,1081,1.1346580892902667,1.1346580892902667
35,1603,1606,1.135807872753806,1.135807872753806
36,174,201,1.1363991645652032,1.1363991645652032
37,382,406,1.138062860667166,1.138062860667166
38,681,737,1.1383019338106248,1.1383019338106248
39,1340,1342,1.1385036127261425,1.1385036127261425
40,1299,1300,1.1385185504838817,1.1385185504838817
41,1816,1820,1.1401008428962724,1.1401008428962724
42,897,899,1.1401344054913154,1.1401344054913154
43,553,579,1.140525896123316,1.140525896123316
44,1238,1256,1.1417852115821767,1.1417852115821767
45,445,481,1.1437831070261393,1.1437831070261393
46,1887,1891,1.1438239957849001,1.1438239957849001
47,1531,1534,1.1447231789662453,1.1447231789662453
48,872,873,1.144793746090726,1.144793746090726
49,986,992,1.1461559533448127,1.1461559533448127
50,562,565,1.14636737709397,1.14636737709397
51,1942,1954,1.1466974169267137,1.1466974169267137
52,249,251,1.1472608609175152,1.1472608609175152
53,2185,2186,1.147916628084991,1.147916628084991
54,476,484,1.1483647053957386,1.1483647053957386
55,1351,1355,1.1486571574260633,1.1486571574260633
56,1778,1871,1.149082745698754,1.149082745698754
57,1513,1520,1.1493010298189326,1.1493010298189326
58,1064,1066,1.1496524171557727,1.1496524171557727
59,1399,1488,1.1496561153986307,1.1496561153986307
60,670,675,1.1501330890157804,1.1501330890157804
61,1690,1692,1.1320283102635271,1.1502366310435899
62,2199,2200,1.1504805266395743,1.1504805266395743
63,1682,1684,1.1529797244088733,1.1529797244088733
64,282,313,1.1531788363352105,1.1531788363352105
65,1989,1993,1.1460891798473918,1.1542975615348554
66,1254,1255,1.1555655034021495,1.1555655034021495
67,898,899,1.1557862418002283,1.1563653346155327
68,719,730,1.1565842272960212,1.1565842272960212
69,469,473,1.1568304986993947,1.1568304986993947
70,368,369,1.156848875060132,1.156848875060132
71,859,860,1.1570767176865355,1.1570767176865355
72,1798,1801,1.1572861463310609,1.1572861463310609
73,919,920,1.1573155367922279,1.1573155367922279
74,1595,1596,1.1581638646646544,1.1581638646646544
75,1349,1514,1.1590409183200299,1.1590409183200299
76,649,651,1.1592756652441267,1.1592756652441267
77,2042,2043,1.1606318652055934,1.1606318652055934
78,1971,1973,1.1607637352103977,1.1607637352103977
79,1711,1721,1.161104330069492,1.161104330069492
80,1401,1403,1.1627582735552087,1.1627582735552087
81,1536,1539,1.163017860661516,1.163017860661516
82,886,888,1.1635770557319578,1.1635770557319578
83,1281,1496,1.1635880176548459,1.1635880176548459
84,315,317,1.1636135950733208,1.1636135950733208
85,938,1172,1.1640592826851408,1.1640592826851408
86,1699,1720,1.164066587617807,1.164066587617807
87,1672,1677,1.165603256850698,1.165603256850698
88,873,874,1.1463896299572285,1.1656179205834025
89,1674,1680,1.166441912267336,1.166441912267336
90,298,300,1.166729833081062,1.166729833081062
91,1226,1276,1.1510790560153894,1.1670648536568624
92,990,996,1.1682302447556758,1.1682302447556758
93,925,941,1.1683940079541364,1.1683940079541364
94,778,790,1.1693942847462875,1.1693942847462875
95,747,762,1.1694051921388766,1.1694051921388766
96,1013,1014,1.169685113740499,1.169685113740499
