merge,left,right,distance,height
0,1291,1292,0.4959436098446023,0.4959436098446023
1,1238,1239,0.5017394897462597,0.5017394897462597
2,343,350,0.5038646470290749,0.5038646470290749
3,1939,1955,0.5088532061225571,0.5088532061225571
4,859,860,0.5122710000522235,0.5122710000522235
5,262,264,0.5128379014757837,0.5128379014757837
6,1778,1786,0.5143213078432403,0.5143213078432403
7,992,993,0.5159467690896316,0.5159467690896316
8,1930,1932,0.5167591769960829,0.5167591769960829
9,1301,1302,0.5192255006373518,0.5192255006373518
10,65,66,0.519480489219574,0.519480489219574
11,86,88,0.5197900228208099,0.5197900228208099
12,400,402,0.520847695292275,0.520847695292275
13,2099,2100,0.5210386777146229,0.5210386777146229
14,1230,1232,0.5230259175606143,0.5230259175606143
15,1883,1884,0.5250452639993088,0.5250452639993088
16,751,753,0.527549773666058,0.527549773666058
17,1847,1897,0.5286155140987067,0.5286155140987067
18,1486,1489,0.5296822165034676,0.5296822165034676
19,183,201,0.5304375195661835,0.5304375195661835
20,316,317,0.5310721244971552,0.5310721244971552
21,577,578,0.5311660316888138,0.5311660316888138
22,1170,1171,0.5321131088282771,0.5321131088282771
23,2102,2105,0.5324058461672716,0.5324058461672716
24,1985,1986,0.5326877268021827,0.5326877268021827
25,1915,1917,0.5333319892762689,0.5333319892762689
26,47,51,0.5340197192366294,0.5340197192366294
27,2177,2179,0.5350285990268012,0.5350285990268012
28,233,240,0.5350503262174142,0.5350503262174142
29,48,49,0.5354855812988055,0.5354855812988055
30,1103,1129,0.535659103992878,0.535659103992878
31,429,430,0.5361671938583022,0.5361671938583022
32,1609,1611,0.5361845617017955,0.5361845617017955
33,1497,1498,0.536280272575816,0.536280272575816
34,1183,1184,0.5366361138154526,0.5366361138154526
35,861,863,0.5383573722516672,0.5383573722516672
36,1628,1629,0.5384317016451706,0.5384317016451706
37,1496,1507,0.5385311712289177,0.5385311712289177
38,489,491,0.5405060269447565,0.5405060269447565
39,386,387,0.541006060298466,0.541006060298466
40,749,763,0.5412771452689653,0.5412771452689653
41,604,605,0.5414920001328822,0.5414920001328822
42,2026,2028,0.5418043141436634,0.5418043141436634
43,1844,1845,0.54227967737593,0.54227967737593
44,1358,1361,0.5425563247827766,0.5425563247827766
45,711,743,0.5425574875215964,0.5425574875215964
46,192,193,0.5433810470818285,0.5433810470818285
47,2092,2106,0.5440710988972386,0.5440710988972386
48,575,576,0.5443512188741046,0.5443512188741046
49,1144,1145,0.5446588241578393,0.5446588241578393
50,1886,1887,0.5449937917747478,0.5449937917747478
51,713,716,0.5454616660184954,0.5454616660184954
52,969,970,0.5456257474989208,0.5456257474989208
53,955,956,0.5458139527402204,0.5458139527402204
54,174,175,0.5462139935510295,0.5462139935510295
55,232,278,0.5463776511718632,0.5463776511718632
56,286,287,0.546862205693765,0.546862205693765
57,139,143,0.5472153994070905,0.5472153994070905
58,1075,1080,0.5472754565090117,0.5472754565090117
59,1899,1902,0.5474036286522084,0.5474036286522084
60,1546,1547,0.5475102515509037,0.5475102515509037
61,1928,1930,0.5358263273354178,0.5476637826103299
62,704,705,0.5476754349034589,0.5476754349034589
63,1987,1996,0.5484698134625963,0.5484698134625963
64,1725,1726,0.5487534638716126,0.5487534638716126
65,447,448,0.5489536171564896,0.5489536171564896
66,110,113,0.5493530953073698,0.5493530953073698
67,1431,1434,0.5493545950003021,0.5493545950003021
68,1395,1396,0.549651046858784,0.549651046858784
69,873,874,0.5497687308399475,0.5497687308399475
70,1037,1040,0.5498332961328424,0.5498332961328424
71,1050,1055,0.5498984142113933,0.5498984142113933
72,403,414,0.5500514005380839,0.5500514005380839
73,799,804,0.5506111667837017,0.5506111667837017
74,360,421,0.5509748046209043,0.5509748046209043
75,1790,1795,0.5514746139740027,0.5514746139740027
76,2063,2064,0.5516040245417198,0.5516040245417198
77,1567,1568,0.5516291745929475,0.5516291745929475
78,309,310,0.5516488950684005,0.5516488950684005
79,1231,1232,0.5338813806382678,0.5521758309148341
80,314,318,0.5523895428684801,0.5523895428684801
81,1987,1995,0.550150422170322,0.5524248467157158
82,76,83,0.5531292383132393,0.5531292383132393
83,1063,1129,0.541850897870275,0.5537677565290008
84,1936,1941,0.5537746144526332,0.5537746144526332
85,918,961,0.554101469238474,0.554101469238474
86,2191,2203,0.5541055017938525,0.5541055017938525
87,353,354,0.5543564068733775,0.5543564068733775
88,1938,1941,0.5540998181860763,0.5543713332209739
89,1324,1349,0.5544061413667143,0.5544061413667143
90,1341,1342,0.5547408360388548,0.5547408360388548
91,1867,1868,0.5548280369003266,0.5548280369003266
92,1622,1625,0.5553406054429126,0.5553406054429126
93,1259,1276,0.5553966510723416,0.5553966510723416
94,706,714,0.5555214227086884,0.5555214227086884
95,1153,1154,0.5555602476716367,0.5555602476716367
96,1064,1066,0.5556516491784144,0.5556516491784144
97,845,846,0.555990918356949,0.555990918356949
98,1747,1748,0.5563038148753683,0.5563038148753683
99,1773,1774,0.5564053008222035,0.5564053008222035
100,1289,1296,0.5564138316884197,0.5564138316884197
101,500,501,0.5564250886565879,0.5564250886565879
102,984,987,0.5564446449856346,0.5564446449856346
103,2014,2015,0.5564579805159509,0.5564579805159509
104,1661,1662,0.5574473699974276,0.5574473699974276
105,386,388,0.5579278512447736,0.5580403579156982
106,259,260,0.5580993286091707,0.5580993286091707
107,952,954,0.558114103876419,0.558114103876419
108,203,204,0.5582273901931916,0.5582273901931916
109,1689,1693,0.5585380808415494,0.5585380808415494
110,798,820,0.5585385730711538,0.5585385730711538
111,760,761,0.5587742523791449,0.5587742523791449
112,50,51,0.5549071368267268,0.5590282146540981
113,1602,1603,0.5591139680801962,0.5591139680801962
114,428,429,0.5584520959471596,0.5592376662715819
115,1213,1214,0.5593811844140241,0.5593811844140241
116,367,374,0.5594104260720953,0.5594104260720953
117,147,180,0.5595062284077585,0.5595062284077585
118,1090,1096,0.5595198548024048,0.5595198548024048
119,675,681,0.5595869158288728,0.5595869158288728
120,176,177,0.5598971364620853,0.5598971364620853
121,757,759,0.5599283608055325,0.5599283608055325
122,1685,1686,0.5599384104598975,0.5599384104598975
123,1415,1416,0.5599618917603317,0.5599618917603317
124,1574,1575,0.5600065065059077,0.5600065065059077
125,394,396,0.5600327030158653,0.5600327030158653
126,460,461,0.5601593415229944,0.5601593415229944
127,2100,2101,0.5329881927456752,0.5607443640192469
128,1718,1719,0.5610942391428928,0.5610942391428928
129,1956,1957,0.5611403052883291,0.5611403052883291
130,330,331,0.5619780457669512,0.5619780457669512
131,1519,1534,0.5621069020638848,0.5621069020638848
132,99,100,0.5621845838105062,0.5621845838105062
133,1406,1407,0.5624011251614164,0.5624011251614164
134,1222,1224,0.5627130817973703,0.5627130817973703
135,379,397,0.5627276379485353,0.5627276379485353
136,1193,1195,0.5628395652675264,0.5628395652675264
137,423,425,0.5629265200639997,0.5629265200639997
138,1565,1566,0.5629652661743625,0.5629652661743625
139,1067,1068,0.5631266420745058,0.5631266420745058
140,751,752,0.5518816761385581,0.5631335234703104
141,1600,1601,0.5632249311080297,0.5632249311080297
142,262,263,0.5263912722604209,0.5633990939676372
143,736,739,0.5634446122425991,0.5634446122425991
144,2004,2039,0.5635908150405226,0.5635908150405226
145,2022,2042,0.56372045473419,0.56372045473419
146,1818,1819,0.5637884350483229,0.5637884350483229
147,1056,1057,0.5638378538846229,0.5638378538846229
148,679,699,0.5640285096289732,0.5640285096289732
149,65,67,0.5471352143283722,0.5641439713475771
150,788,816,0.5643037595365594,0.5643037595365594
151,1157,1158,0.5643599825509509,0.5643599825509509
152,2185,2186,0.5646862767874233,0.5646862767874233
153,2085,2086,0.5648911668429978,0.5648911668429978
154,1496,1505,0.554772958086799,0.5649206874061157
155,1490,1491,0.5649587656033873,0.5649587656033873
156,1095,1098,0.5649974989699471,0.5649974989699471
157,2035,2036,0.565182502691441,0.565182502691441
158,1277,1286,0.5652254699363853,0.5652254699363853
159,297,299,0.5654355155756597,0.5654355155756597
160,2199,2201,0.5658894500798021,0.5658894500798021
161,1820,1823,0.56596824121974,0.56596824121974
162,308,310,0.5568614462481731,0.5660998876825366
163,1428,1429,0.5661677810602312,0.5661677810602312
164,1786,1788,0.5380798815389224,0.5664519711079368
165,685,686,0.5665124110130111,0.5665124110130111
166,654,656,0.5666283611433859,0.5666283611433859
167,713,715,0.5483738172280505,0.5668568744059836
168,847,848,0.5671846868755681,0.5671846868755681
169,695,696,0.5674871622665958,0.5674871622665958
170,118,119,0.5676068766584135,0.5676068766584135
171,1453,1454,0.5676934718535986,0.5676934718535986
172,1402,1412,0.5677359055140789,0.5677359055140789
173,1606,1607,0.5680046219873882,0.5680046219873882
174,453,454,0.5682515476200868,0.5682515476200868
175,2174,2175,0.5685090387274256,0.5685090387274256
176,807,808,0.5686459253362277,0.5686459253362277
177,561,574,0.5686663221044572,0.5686663221044572
178,888,889,0.5687845783131366,0.5687845783131366
179,1912,1913,0.5688141361120281,0.5688141361120281
180,1951,1954,0.5692393824604235,0.5692393824604235
181,1691,1696,0.569442004499545,0.569442004499545
182,2164,2217,0.5694474833821193,0.5694474833821193
183,932,933,0.5695909530588082,0.5695909530588082
184,14,15,0.5695943670768382,0.5695943670768382
185,556,597,0.5697406217341171,0.5697406217341171
186,969,971,0.5624135334294017,0.5697448222520611
187,1265,1269,0.5700869455866223,0.5700869455866223
188,948,951,0.5701520313210268,0.5701520313210268
189,669,670,0.5701986031582325,0.5701986031582325
190,410,412,0.5702552008834002,0.5702552008834002
191,796,797,0.5704111257807274,0.5704111257807274
192,785,786,0.5705145375867449,0.5705145375867449
193,1955,1984,0.5525445087346089,0.5705152201573596
194,944,989,0.5707382726388581,0.5707382726388581
195,323,326,0.5708216911354175,0.5708216911354175
196,1959,1960,0.5709394341273253,0.5709394341273253
197,953,959,0.5710704200952048,0.5710704200952048
198,1163,1165,0.5712137100778656,0.5712137100778656
199,579,589,0.5712216279644073,0.5712216279644073
200,419,427,0.5712368109504253,0.5712368109504253
201,1783,1805,0.5712814860612522,0.5712814860612522
202,633,634,0.5714522244716208,0.5714522244716208
203,1499,1501,0.5715297223392398,0.5715297223392398
204,235,236,0.5717428000613545,0.5717428000613545
205,624,627,0.5718662352511349,0.5718662352511349
206,36,41,0.5721148645597559,0.5721148645597559
207,526,532,0.5721542086362212,0.5721542086362212
208,64,65,0.5635343057635886,0.572179859127146
209,53,62,0.5723006161203574,0.5723006161203574
210,851,852,0.5724106455943982,0.5724106455943982
211,394,395,0.5647949727318339,0.5724840312425565
212,1785,1786,0.5652260380120817,0.5726043142907755
213,1547,1554,0.5709717725000611,0.5728401450615919
214,1728,1729,0.5729969430011913,0.5729969430011913
215,897,899,0.5731809947883425,0.5731809947883425
216,1141,1142,0.5733840935210626,0.5733840935210626
217,2083,2088,0.5735834191730396,0.5735834191730396
218,1871,1872,0.5736357180899183,0.5736357180899183
219,1265,1266,0.5734343506732144,0.5738301081902988
220,1049,1050,0.5591143746396777,0.5740992265175531
221,1171,1172,0.5595149446155432,0.5742580393390271
222,1810,1811,0.5743129020363049,0.5743129020363049
223,1915,1916,0.5522287585941499,0.5744816152973452
224,1256,1257,0.5746097245334558,0.5746097245334558
225,534,535,0.5746149281158361,0.5746149281158361
226,1149,1150,0.5747586359518981,0.5747586359518981
227,503,506,0.5748838384590839,0.5748838384590839
228,1847,1884,0.5571445786139849,0.5751395758686719
229,2015,2016,0.5564584438337357,0.5752641700709767
230,2121,2148,0.5753730661972102,0.5753730661972102
231,985,987,0.5661016792805835,0.5753835923566113
232,1535,1536,0.5753883191041802,0.5753883191041802
233,426,432,0.5754410009207074,0.5754410009207074
234,375,377,0.5754889993677123,0.5754889993677123
235,976,977,0.5758432151141315,0.5758432151141315
236,205,206,0.5758875045892482,0.5758875045892482
237,1952,2026,0.5445486729896958,0.576087996835905
238,2189,2200,0.5764213113119943,0.5764213113119943
239,1714,1715,0.5766692286503179,0.5766692286503179
240,674,680,0.5767916225687215,0.5767916225687215
241,689,690,0.5768933378875132,0.5768933378875132
242,166,167,0.5769087327618447,0.5769087327618447
