merge,left,right,distance,height
0,489,503,0.013304145670697315,0.013304145670697315
1,1081,1790,0.013767008439582697,0.013767008439582697
2,1191,1194,0.013980678089109702,0.013980678089109702
3,1152,1742,0.014625696735638948,0.014625696735638948
4,1593,1758,0.014661399914207491,0.014661399914207491
5,1055,1103,0.014742266788493531,0.014742266788493531
6,359,419,0.014969569999798326,0.014969569999798326
7,1412,1486,0.014982749956350036,0.014982749956350036
8,1248,1265,0.014989101477697823,0.014989101477697823
9,1477,1544,0.015132862585140655,0.015132862585140655
10,761,1151,0.015144858038162285,0.015144858038162285
11,1084,1694,0.015198017295230848,0.015198017295230848
12,1885,1886,0.015210625175021402,0.015210625175021402
13,52,646,0.015230841598674926,0.015230841598674926
14,1347,1377,0.015243638409119189,0.015243638409119189
15,349,464,0.015259593378240545,0.015259593378240545
16,397,408,0.015267919445885373,0.015267919445885373
17,1772,1806,0.015283853246593008,0.015283853246593008
18,262,263,0.015284504547861242,0.015284504547861242
19,124,126,0.015311791349713522,0.015311791349713522
20,680,801,0.01531866036501569,0.01531866036501569
21,1511,1730,0.01534609324572718,0.01534609324572718
22,1407,1509,0.015348530684908003,0.015348530684908003
23,763,773,0.015382583844749156,0.015382583844749156
24,664,1957,0.015404177701794615,0.015404177701794615
25,2028,2030,0.015406496852051628,0.015406496852051628
26,1137,1449,0.015409937106511166,0.015409937106511166
27,1284,1496,0.015411990482871195,0.015411990482871195
28,1481,1534,0.01543127804921499,0.01543127804921499
29,693,759,0.015470497770344366,0.015470497770344366
30,130,553,0.015475179455881708,0.015475179455881708
31,1132,1670,0.015483017360755297,0.015483017360755297
32,1983,1986,0.01548405621639057,0.01548405621639057
33,1158,1402,0.015485992070798987,0.015485992070798987
34,1786,1808,0.015487935938233346,0.015487935938233346
35,578,1340,0.015491518454954613,0.015491518454954613
36,347,354,0.015505213129754569,0.015505213129754569
37,1841,1852,0.015566237468054021,0.015566237468054021
38,689,690,0.015601062318128071,0.015601062318128071
39,1011,1105,0.01563005537963323,0.01563005537963323
40,501,503,0.014900422333648336,0.015635301453956117
41,665,743,0.015646976342096372,0.015646976342096372
42,287,291,0.015652439494927964,0.015652439494927964
43,1190,1194,0.01504037341504685,0.015661888153237095
44,762,1427,0.015694742777622894,0.015694742777622894
45,1961,2005,0.01570690854945627,0.01570690854945627
46,1426,1694,0.015530126158367385,0.01571092058667109
47,1349,1429,0.0157306352520701,0.0157306352520701
48,330,698,0.01576392012556909,0.01576392012556909
49,1519,1685,0.01577489559776063,0.01577489559776063
50,218,425,0.015776146320151202,0.015776146320151202
51,667,768,0.015825194949466548,0.015825194949466548
52,679,742,0.015857938830466736,0.015857938830466736
53,886,924,0.01586286937635286,0.01586286937635286
54,185,465,0.01586611884116547,0.01586611884116547
55,6,1100,0.015868638729786118,0.015868638729786118
56,476,546,0.01588790744323985,0.01588790744323985
57,591,598,0.01591203124718927,0.01591203124718927
58,1630,2067,0.015932961169849477,0.015932961169849477
59,778,779,0.015935323898699137,0.015935323898699137
60,1658,1933,0.015944905546219815,0.015944905546219815
61,1944,2021,0.015969630370975273,0.015969630370975273
62,49,704,0.015971294282844314,0.015971294282844314
63,699,821,0.015981473580149168,0.015981473580149168
64,787,817,0.015994583625419913,0.015994583625419913
65,462,1031,0.016067460661425104,0.016067460661425104
66,1485,1605,0.016069511404517074,0.016069511404517074
67,480,535,0.016080678966553436,0.016080678966553436
68,1566,2096,0.016096883855175555,0.016096883855175555
69,360,1376,0.01611318534203573,0.01611318534203573
70,1236,1238,0.01611560600280192,0.01611560600280192
71,1110,1343,0.016117568434599515,0.016117568434599515
72,547,549,0.016118611800758444,0.016118611800758444
73,562,574,0.016135952402563367,0.016135952402563367
74,114,142,0.016172805450418316,0.016172805450418316
75,1050,1054,0.01619874847066733,0.01619874847066733
76,77,84,0.016218299290859245,0.016218299290859245
77,716,763,0.01551674630712048,0.016237236353039124
78,1018,1086,0.016239891445958464,0.016239891445958464
79,1955,1958,0.01624947997430977,0.01624947997430977
80,255,274,0.01627366425944284,0.01627366425944284
81,1334,1414,0.01627554051651131,0.01627554051651131
82,189,270,0.01627581652399992,0.01627581652399992
83,749,750,0.016276266301671408,0.016276266301671408
84,215,226,0.016279011763924194,0.016279011763924194
85,1766,1770,0.016287320947238074,0.016287320947238074
86,1639,1839,0.01629468921352854,0.01629468921352854
87,670,1607,0.01632166577904814,0.01632166577904814
88,1891,1910,0.01634369039652398,0.01634369039652398
89,195,202,0.016369524828213376,0.016369524828213376
90,1164,1165,0.016384035637419875,0.016384035637419875
91,115,315,0.01640924124741071,0.01640924124741071
92,23,147,0.01641422973617041,0.01641422973617041
93,955,984,0.016435369221019312,0.016435369221019312
94,918,946,0.016443282110141823,0.016443282110141823
95,1138,1953,0.016469750524151585,0.016469750524151585
96,1076,1726,0.01649061831116077,0.01649061831116077
97,117,138,0.016513896868655585,0.016513896868655585
98,715,755,0.01651723532773084,0.01651723532773084
99,1870,2036,0.016520348399439062,0.016520348399439062
100,1666,1669,0.016528523114381962,0.016528523114381962
101,323,335,0.016531954413535686,0.016531954413535686
102,691,1341,0.016552049509596364,0.016552049509596364
103,2115,2116,0.01655603114734671,0.01655603114734671
104,1538,1905,0.016556788071551816,0.016556788071551816
105,930,963,0.016576754236045856,0.016576754236045856
106,1774,1795,0.01658968248349809,0.01658968248349809
107,155,254,0.01659299343386115,0.01659299343386115
108,714,1716,0.01660212870029864,0.01660212870029864
109,277,482,0.016607127831701603,0.016607127831701603
110,130,187,0.015825796894291068,0.01660780704890722
111,1048,1137,0.015904729291065667,0.016612879300087778
112,41,205,0.01661361997910573,0.01661361997910573
113,637,638,0.016617397065548715,0.016617397065548715
114,1676,1700,0.016648993779923182,0.016648993779923182
115,1694,1714,0.01594410147517949,0.016669383346791203
116,1621,1660,0.01667503923104689,0.01667503923104689
117,1883,1915,0.01668577264336969,0.01668577264336969
118,1037,1695,0.01668606864324968,0.01668606864324968
119,1412,1497,0.016614583784751447,0.016703721155942524
120,1011,1103,0.01554151268347143,0.01670710692072619
121,798,800,0.016713670663097598,0.016713670663097598
122,1984,2031,0.016716110527368926,0.016716110527368926
123,1540,1589,0.016718339584036658,0.016718339584036658
124,707,735,0.01671893060864766,0.01671893060864766
125,1878,1917,0.01671928259379687,0.01671928259379687
126,592,1031,0.016386043590803794,0.016735288369304727
127,294,325,0.016740098208481276,0.016740098208481276
128,1038,1151,0.01672829177376698,0.016742162802713234
129,377,428,0.01674348075746298,0.01674348075746298
130,350,645,0.016762682769958768,0.016762682769958768
131,347,359,0.015270753909706931,0.016787600391270974
132,1542,1675,0.016791394897097182,0.016791394897097182
133,758,1824,0.016793041614194138,0.016793041614194138
134,242,355,0.016798162124320566,0.016798162124320566
135,839,1231,0.01680438497706296,0.01680438497706296
136,1900,1907,0.01682114719102757,0.01682114719102757
137,236,470,0.016822776768137128,0.016822776768137128
138,898,907,0.0168249801385637,0.0168249801385637
139,82,560,0.016826041853603313,0.016826041853603313
140,34,468,0.016827116252890698,0.016827116252890698
141,71,579,0.01683662626527114,0.01683662626527114
142,673,1336,0.01684462547156161,0.01684462547156161
143,45,562,0.016686743760810304,0.016852903537744178
144,597,1415,0.0168551815673702,0.0168551815673702
145,446,447,0.016865423898779264,0.016865423898779264
146,1207,1330,0.016871446232293204,0.016871446232293204
147,1765,1780,0.016873517384132116,0.016873517384132116
