left,right,exact,approximate,sample
586,15,0.11380039692572182,0.11722095392133058,random
1645,2014,0.09893148979073912,0.10163692776113714,random
1089,2183,0.43534201062886724,0.43882340731500985,random
228,1732,0.21895740591965734,0.21941928519483853,random
1781,23,0.11251785473157001,0.11172927485450238,random
300,716,0.14410634510750336,0.1465383687622701,random
922,1053,0.21059170648889633,0.21022473723426735,random
360,2007,0.6829026452657985,0.6841776072540706,random
1088,856,0.12261099259332421,0.12665105742931868,random
1062,972,0.17642420911505197,0.17606118853916045,random
1797,1223,0.3115612306952265,0.31338487780999935,random
1358,1500,0.21504140938606425,0.21820476630373944,random
111,1994,0.05136974703383254,0.05120541775489575,random
1841,461,0.15952594788739796,0.15976133424350425,random
156,71,0.12002725515077875,0.12065806691260904,random
1646,548,0.15831237828411704,0.15733423618709313,random
1838,977,0.1562437564747507,0.15856574464808512,random
947,1828,0.17093530171648522,0.17328193787777535,random
1656,786,0.18628053858803115,0.18926628080799324,random
529,125,0.04989314644281197,0.05009864551910066,random
111,1675,0.03312437807372448,0.03582874834172308,random
1255,1837,0.3068574731864415,0.31065378457161696,random
1856,198,0.2229196613324511,0.2229592807554439,random
1089,64,0.16629530973083007,0.16440264714845276,random
835,1609,0.38238023627412904,0.382241221736459,random
248,1303,0.5130958544086696,0.5193935448778614,random
251,1014,0.09199028186875752,0.09305062578881498,random
599,463,0.05338360894160674,0.05445021383245198,random
200,1229,0.05351890183550441,0.053045420403428294,random
1122,406,0.10000385764197972,0.09992326565232891,random
1731,1107,0.031251652293768264,0.03250944378475373,random
575,320,0.1447954339141798,0.14816495718470934,random
1240,1788,0.12534921819151462,0.1273089855142375,random
68,1514,0.243126026555384,0.2413905392601793,random
728,514,0.2144182643408516,0.21549327630987924,random
1619,1851,0.11661039906561604,0.11566336328784609,random
756,594,0.11397191204075426,0.11539098321661094,random
548,1575,0.14999368190516485,0.15106242009822077,random
1824,1280,0.10752132805843097,0.10764168971309504,random
1754,1002,0.4984721467868061,0.5034183138433622,random
1830,1564,0.13536724809789374,0.13792295380696326,random
170,1889,0.08405177242535118,0.08398343605884204,random
2140,1622,0.316063386879481,0.3166518865335808,random
558,1969,0.22803479631306273,0.22615904704320614,random
921,2200,0.18760184975877064,0.18509683496154428,random
1188,488,0.29872147218334066,0.2975453994364718,random
845,660,0.10181573372392966,0.10205931773810945,random
1190,1686,0.20172434926891716,0.2008841147171517,random
86,719,0.38231846663234803,0.3806186495531425,random
1337,1771,0.038559702351441995,0.03879278096206096,random
1874,1093,0.2298783222062688,0.22833707537502057,random
995,444,0.08790764726518727,0.09081076730553969,random
1558,1914,0.11131189048433368,0.1129699573139932,random
665,112,0.03826956559302775,0.03878415933280521,random
1344,1930,0.04696807154460222,0.05419004330155889,random
1501,8,0.09905696951132102,0.1023103965300264,random
2006,933,0.09023003243668266,0.09089065920196336,random
1394,1034,0.23448703181259517,0.2332750968525511,random
2008,1611,0.01663522718345737,0.01883553281134226,random
1012,1800,0.04306857133660862,0.04290366052996901,random
2152,1327,0.21049037203184934,0.20999598899016153,random
1464,768,0.21454606407656154,0.2181470186796548,random
1543,1766,0.040240992518105506,0.04217284126755086,random
1204,894,0.12725627229437472,0.1300803831687164,random
754,406,0.09907157853944203,0.09962413107939797,random
770,818,0.09594436787478747,0.09851453633358051,random
779,52,0.04235668494490072,0.042041661875212834,random
1804,871,0.08128333349593286,0.08238574490681594,random
1095,1021,0.34907281326841916,0.3485412310334104,random
2112,1059,0.20886737613616252,0.2108891256518809,random
1153,83,0.2666609199899064,0.26626465309630404,random
208,354,0.048859896472182626,0.049985662683406255,random
213,860,0.09877621661348598,0.09874711680207807,random
127,1203,0.09799647490531968,0.09893983232551307,random
244,1323,0.33412277891412134,0.3367815159955153,random
1882,878,0.06663994321196895,0.07037537104139759,random
88,554,0.16302475571346153,0.16212418108594165,random
1801,455,0.09052037797998146,0.09030886247534961,random
284,1503,0.17995251115870034,0.17816956673255724,random
1357,712,0.16696898150959247,0.16564035120548046,random
1045,310,0.15104411602866513,0.15422138024267631,random
1093,1083,0.08629856175825783,0.08715345842727264,random
430,2049,0.6328821943328679,0.632343124390087,random
774,1163,0.07526955921150397,0.07611778476732006,random
1946,826,0.36528138892363626,0.3635089563863243,random
1593,1144,0.37916203273936866,0.3799455825860303,random
1063,2082,0.07852722755465581,0.07905553022363108,random
1524,1803,0.07075479336005933,0.07115445353236899,random
1402,1106,0.02240481117794914,0.02134192574257944,random
468,375,0.05396834780271621,0.05849173140219008,random
1718,2152,0.28457555817168895,0.2834380326975209,random
286,130,0.03259311765230129,0.03439177101952765,random
850,160,0.27865699156177653,0.27701263877691007,random
148,1146,0.23976152810115559,0.24026149518641712,random
698,1827,0.5187700272203798,0.522347053030834,random
1414,509,0.162752227602006,0.16376963055820387,random
21,1892,0.08259039924244055,0.08663591987216032,random
626,1990,0.03405192727920145,0.035848353065404515,random
637,143,0.10731317234606792,0.11143043303095222,random
1447,2127,0.4363665074741608,0.4349850094493699,random
1671,1123,0.07239400813569355,0.07114511120918325,random
618,385,0.287843023584511,0.28820329110558107,random
1445,885,0.6591772484423435,0.6574213806430198,random
640,546,0.26960182852505615,0.2687153390700029,random
347,1603,0.03752291905679612,0.03719740950082488,random
271,673,0.12616191181637249,0.12589727433069625,random
786,1772,0.10914418576144266,0.10996475879322076,random
2010,713,0.36125134135452464,0.36033158885570715,random
86,1182,0.5137810415235489,0.5135763129730727,random
1620,1179,0.37874973396478884,0.37898214632535643,random
1671,132,0.2181833995086737,0.2183013129906327,random
2069,1026,0.3471843703752122,0.34696152681375203,random
1490,2111,0.06284156953234403,0.0638256083699123,random
2198,2107,0.4521405044658807,0.44986415019660575,random
971,1473,0.1294101221524844,0.12930041721419344,random
893,1661,0.062429577473720986,0.06581257763957868,random
406,1970,0.19391572851516942,0.19423186986834984,random
543,1029,0.3382864598553892,0.3411007858155402,random
2027,1700,0.09272615472264126,0.0928325314695638,random
1229,570,0.04652826953051247,0.04743692549128176,random
370,1040,0.05991141151717341,0.061524163087939523,random
103,1925,0.3961798964145102,0.4006886398164091,random
1240,1854,0.07692261881638648,0.08191174210651819,random
1087,749,0.06333208190634425,0.0630548870446631,random
1393,1620,0.5795747652769662,0.5807764563380794,random
1183,1747,0.4712075006614611,0.4691814943015865,random
1611,1915,0.1004536594375338,0.10330475808723866,random
413,462,0.10777863324690318,0.10732334226954207,random
1228,773,0.07417049140145653,0.0741122834165304,random
431,1059,0.07692151831764184,0.07837967710825222,random
1252,1777,0.15830598734206427,0.15838968657760613,random
647,845,0.044311100003714105,0.04618177471645843,random
1280,731,0.10346741549890814,0.10748302685279468,random
2030,492,0.04109840153627349,0.04229786839774416,random
1627,1162,0.0915931746561202,0.09144781518216252,random
62,2168,0.48403076652146937,0.4835832769270332,random
652,1953,0.15075325490985586,0.15082581111540425,random
1312,387,0.16021926399312197,0.16265282782123325,random
301,589,0.23729027401045724,0.2362824056041885,random
826,1986,0.29947176818895443,0.2957540202264989,random
1039,53,0.06783457441536044,0.06943032089986084,random
898,1431,0.07195703033764261,0.0755584713838553,random
860,532,0.02512011922766015,0.025402553284576742,random
1205,127,0.06779905889287897,0.06744019947580833,random
2224,1691,0.05742161585824427,0.0593205110736046,random
391,1721,0.118500749292522,0.12060957818712105,random
1499,1756,0.3592848589654531,0.3625585006659523,random
80,827,0.2034728053616935,0.2038540619991567,random
1343,1740,0.28067186214515916,0.280131566911643,random
1394,1983,0.10963555134989197,0.11161904936181552,random
1449,1304,0.2120122606040715,0.2120869307504856,random
261,913,0.20770772578933067,0.2076013513530292,random
868,1241,0.15554108521624466,0.15502241132963532,random
915,389,0.11580953262011309,0.12249740911465035,random
523,877,0.10044171186164993,0.10031671503595281,random
1144,50,0.4601126427167093,0.4604231395375195,random
1732,2079,0.05044582735112022,0.05033049811700358,random
158,1626,0.07840489498918571,0.08018513842686723,random
1817,344,0.059343951135976465,0.058765343025180945,random
550,261,0.07554444879439669,0.07619148769653382,random
529,1440,0.42939890913182277,0.4296858388236623,random
1882,1436,0.173756575900511,0.17371328246651907,random
513,1666,0.4041861752749908,0.40222869306510556,random
1759,964,0.06842683012468828,0.06856504683839298,random
86,1093,0.26363378351149624,0.26251076918971894,random
848,661,0.150877579314585,0.15432001405267778,random
441,518,0.23334936831811112,0.2358373602523526,random
331,1473,0.302530754293252,0.3015615402775649,random
910,121,0.2699080842312125,0.2703151874499874,random
1214,135,0.2074292715860939,0.20758206976541102,random
1410,1887,0.026929374825843677,0.028961495288155392,random
1712,419,0.06721211395180042,0.06710645674417398,random
1243,862,0.32589420048699447,0.32512057520010906,random
1076,576,0.21187973521250825,0.21204781521696028,random
1428,75,0.03541279745594745,0.03396825553374534,random
1743,173,0.19495774878503783,0.1967212327774251,random
1428,1262,0.10567902928790515,0.10576336124875403,random
2187,1767,0.6391785660968816,0.6408704648086543,random
46,1841,0.20386870939057833,0.20824547463334034,random
1960,572,0.17543427299290837,0.17808247016121936,random
424,1284,0.03558647243572633,0.035794952508135386,random
1248,820,0.17733977481385266,0.17668634311241233,random
2003,1633,0.08838625334040683,0.08862277562638743,random
1361,1338,0.18660830183036145,0.18709784067217652,random
1320,1792,0.039638753459503115,0.04138242180514005,random
585,1064,0.20800748094908567,0.20952401050896055,random
1565,1956,0.05677021244446113,0.06085502032336673,random
383,1992,0.026056404812672726,0.028040152660333932,random
94,1041,0.0640968332112439,0.06458126661897286,random
68,1734,0.22129574536356303,0.22321291148443403,random
541,2169,0.2813920091943037,0.28180023455882774,random
11,1622,0.0911837384725416,0.09408074154646355,random
435,1613,0.06316407010331011,0.06601313158650618,random
424,1028,0.4523144641690643,0.45341117010251003,random
1130,1147,0.5810126622567683,0.5854324379059317,random
1650,1744,0.2251527150422226,0.22776425472807643,random
1893,1525,0.21393147503512056,0.21249723530502324,random
1514,748,0.11851157923060353,0.1195035733099947,random
1421,883,0.16512140956424276,0.16786203875626438,random
1829,1197,0.13176618490528744,0.1361316971882595,random
1104,306,0.08604496705879286,0.08913438401239757,random
138,1175,0.16532232517214954,0.16717034790518812,random
1612,1664,0.06395574025214745,0.0663193584255438,random
1663,1177,0.06835776116581921,0.06981504724598414,random
1046,1653,0.29367370370012047,0.2938385140333398,random
1558,243,0.1872712493726836,0.1880621106345571,random
2047,1167,0.37578041652309485,0.3771112432228585,random
2097,277,0.08954806467700022,0.09229654312572118,random
1404,274,0.06143839428725752,0.06401678308406283,random
1621,176,0.17731647477019044,0.17604114327798928,random
578,1483,0.08469903072094741,0.08662213512933714,random
569,1289,0.12865884445171313,0.12964934751975743,random
1904,1838,0.13952479471504745,0.14305447311158898,random
603,1034,0.13538515785564548,0.13547724592042895,random
1596,54,0.1456790390088322,0.14619648612159153,random
1761,812,0.260280733221022,0.2610564228622064,random
640,577,0.10131824123845716,0.10052933229827449,random
1391,2024,0.17799662992642884,0.18454476503618825,random
995,169,0.19307584148792872,0.1947569148030643,random
1396,1857,0.045435820771776964,0.04603887849724749,random
356,1101,0.10466352276195252,0.1033570879522493,random
1526,124,0.05650398286452484,0.05790815031630778,random
163,1927,0.6257774631891709,0.6252517724811448,random
1126,1427,0.43223818260190483,0.43385728764183407,random
1675,1264,0.10393918830699544,0.10681139862931821,random
2015,363,0.44242087388190465,0.4429083782302984,random
1576,47,0.2160353639477018,0.21858564588953436,random
1936,1735,0.04024904840287964,0.04271382784799611,random
1769,1695,0.09502653282138447,0.09700056723154636,random
1404,297,0.16973551675414403,0.17075911415923475,random
1686,346,0.13608174386259933,0.1361568787701279,random
1840,77,0.37319885201737407,0.3758872452612013,random
1229,1165,0.0566746260281308,0.05820883746971111,random
416,2113,0.16577367486405167,0.16730581975962017,random
513,277,0.4851869899776836,0.48454381009819425,random
1413,1182,0.31428351342049604,0.3137950858722127,random
1714,2194,0.5003871948040283,0.5011848338459637,random
450,665,0.03453834846107108,0.03366786721071163,random
1528,1876,0.030266181481060025,0.03460348792666369,random
1081,1578,0.27703057473406983,0.2801229397090628,random
96,1648,0.3649794702453247,0.36479191468188565,random
1712,1334,0.04183577047607473,0.04058048011479422,random
1126,1877,0.4033738252377134,0.40159483936560547,random
951,471,0.23530343262608408,0.23451213979472754,random
1639,540,0.23994991067730442,0.24113133082202767,random
1699,1493,0.023571591472337013,0.02651375151586257,random
1751,1115,0.23122437035369156,0.2300786197148998,random
112,1750,0.19219694144542362,0.19274841387409206,random
1780,1808,0.06592637313558433,0.06759670454570499,random
221,114,0.02273787041897191,0.022851912940249592,random
1674,1799,0.048208641067578155,0.04821118099213243,random
679,427,0.07478807092223191,0.07569944241321531,random
1661,654,0.1716997013844706,0.173589712114749,random
1041,1728,0.06166875419393687,0.06131854050737959,random
1412,141,0.08207152882651753,0.08129819633767861,random
722,2002,0.10983198080571611,0.1129896309920682,random
616,84,0.39663929750108184,0.40051033832132843,random
1082,2195,0.5980207852374438,0.6001469127030347,random
1337,2110,0.16515624389505074,0.16393176355563507,random
1521,574,0.1693435206096174,0.17000596461196718,random
712,213,0.06028034552886673,0.06092301669220101,random
731,634,0.32123956787323626,0.3245376926317225,random
241,15,0.0603274333450886,0.061876401776338054,random
857,2036,0.128894977731861,0.1335050789274129,random
1695,1618,0.04706014201491496,0.047920160298692144,random
18,479,0.1318086208985063,0.13339180234162212,random
458,401,0.13055883478876917,0.13372112901917865,random
58,1727,0.16532971353468162,0.16721030709278945,random
1567,1018,0.12737191158242508,0.1282833194433184,random
664,325,0.07093844312705082,0.07185425260560768,random
565,2083,0.25586893954497564,0.2611594572809395,random
1577,1590,0.17390019865520862,0.17507631863083903,random
1391,919,0.1240200768608255,0.12513262156543203,random
1168,1201,0.038927663648187,0.0396391323931955,random
1590,849,0.24575704463477274,0.2435385415294005,random
1380,1351,0.3810021068373084,0.38019441403448573,random
1410,823,0.37529584565258733,0.37716522063402624,random
1067,861,0.0746928345498741,0.07528181783854936,random
101,2147,0.5190010796485309,0.5164490470041839,random
2098,2142,0.13375092566741362,0.13575013612269227,random
338,1932,0.037257818379747135,0.043081643709949796,random
274,333,0.07244150864827831,0.07363161413619865,random
1800,1596,0.09567196350503857,0.09647387457171525,random
1076,1648,0.1957036330140151,0.19595646907155448,random
764,819,0.04848516307229077,0.049402295498578906,random
1830,1858,0.12191331242454713,0.12193092585121333,random
274,701,0.061905642832130715,0.06314253461930651,random
1864,546,0.08616829630800672,0.09090597844664419,random
502,515,0.23490464496941094,0.2355813675943544,random
1370,946,0.23409548101475947,0.23760133560966037,random
1038,1817,0.03218775073799239,0.03309035360740075,random
1793,29,0.10928461005834812,0.10742348300329624,random
788,666,0.10032891538225543,0.10052078761452558,random
1387,1999,0.47392100288270844,0.47217437758968805,random
594,228,0.05122346566432527,0.051033596705426024,random
713,1505,0.034175006780037986,0.035848014988005085,random
1582,1195,0.06360108953687614,0.06510746302630957,random
1146,460,0.4739198771806385,0.47477297746375463,random
899,1888,0.13301413124196776,0.1392245539993632,random
2194,824,0.0854634812336424,0.08927367043261426,random
792,2017,0.4168898208266522,0.417941994168887,random
1634,422,0.25101186928239844,0.25161118955515777,random
1729,267,0.053664513796129236,0.052856939793655605,random
572,1393,0.5790879132541314,0.5792806637820365,random
909,462,0.07586153720139287,0.0753640418141786,random
268,1350,0.3350607466306924,0.33316064386391164,random
1780,1402,0.06773524926517438,0.06848608911329632,random
1910,547,0.07704427826440662,0.08182261964196667,random
1550,2131,0.2891990677301614,0.2907315190224088,random
1638,1776,0.3659322178579096,0.3710317949417471,random
1985,1518,0.058352402050792083,0.06053018380029608,random
153,374,0.07404506483534978,0.07802380050952512,random
1902,550,0.09812376330672655,0.09935645931856932,random
1908,984,0.11296978359718216,0.11903138237037503,random
1633,1923,0.06872340949122549,0.07013582318436873,random
302,270,0.18342200865737082,0.1841534525886473,random
1694,125,0.10234130770170262,0.102347190977604,random
1809,2000,0.2804547929231154,0.2801733432228076,random
1144,2120,0.05555867099951125,0.05809781390297003,random
945,94,0.1600638003299027,0.1610906863329464,random
1149,1735,0.18514469540782483,0.18388431614593553,random
1763,1927,0.4664530041745715,0.4668835625855944,random
277,211,0.03973569909818661,0.040359688754759405,random
1371,291,0.02002259125626402,0.024197784526383586,random
486,1695,0.08773301609225283,0.08828283413952469,random
2164,1729,0.3145130306261419,0.3151693808024419,random
626,506,0.052381876458553224,0.05241107845350221,random
116,1079,0.2152837677979621,0.2142753784928246,random
1350,2191,0.15673262547545647,0.15555502747861216,random
231,39,0.12835878981393045,0.12799965421504866,random
681,1903,0.08711018897830251,0.0866035650319919,random
888,1750,0.09693892799323281,0.09968729102801432,random
100,1271,0.22035751084915992,0.22437012785790034,random
620,394,0.14211448503568533,0.14206667912064797,random
1804,1764,0.28521784080917945,0.28704971287983905,random
1983,1069,0.05510909205153063,0.055505826305962985,random
332,1337,0.02990151468156113,0.03096496007752133,random
700,316,0.03887301581004726,0.037952648844643416,random
1202,133,0.19633972042723705,0.19506691338530954,random
1237,831,0.34350482510778674,0.34541771637239316,random
2114,788,0.33686889083341415,0.3366807880902698,random
1108,1114,0.09109021405459869,0.09158055809709931,random
523,1632,0.1813096184286995,0.18370152666215248,random
