arm,family,quantile,converged,plateau_pass,start_agreement_pass,start0_relative_change,start1_relative_change,absolute_objective_gap,relative_objective_gap,initial_population_tv,start0_steps,start1_steps
0,unregularised,,False,False,True,0.08072325564178255,0.07851160045919187,6.264034767662731e-11,0.0036224985610053503,0.000164118976525629,10000,10000
1,maxent,,True,True,True,0.007941884265362246,0.007955391570877095,1.336816536489521e-09,6.987068033793328e-05,5.429798929779128e-05,3000,3000
2,maxent,,True,True,True,3.370038399728227e-05,3.408450242506196e-05,6.35327282861968e-11,4.502939684791113e-07,2.326651713319139e-06,3000,3000
3,maxent,,True,True,True,8.555962779429283e-05,8.662176579245909e-05,2.0297705074882877e-10,2.150551749694494e-07,1.1056425155420158e-06,1000,1000
4,maxent,,True,True,True,6.751762152662285e-13,6.34675895595741e-13,0.0,0.0,1.3326839631844223e-13,1000,1000
5,maxent,,True,True,True,3.812984459892339e-16,1.2709948199641137e-16,6.938893903907228e-18,5.083979279856455e-16,8.326672684688674e-17,1000,1000
6,maxent,,True,True,True,7.5118323987141926e-06,2.1223196989646673e-16,1.228247686960171e-07,7.513399966457278e-06,5.908809696947293e-07,1000,1000
7,scalar_logpf,0.02,False,True,False,0.0002665390784070224,0.009602403086068302,9.935493477623934e-05,0.07197041139341716,0.005752250297306763,3000,1000
8,scalar_logpf,0.04,True,True,True,0.0026627183815029105,0.0029404887811912517,1.9998952529678635e-05,0.008043610729233232,0.0014129777228325535,1000,1000
9,scalar_logpf,0.08,True,True,True,0.0011037687331886391,0.001103904101165064,2.1770692342311035e-06,0.0004271029251455286,0.0015528837722649097,1000,1000
10,scalar_logpf,0.16,True,True,True,0.0007578588377602647,0.000758093015808942,8.566243611907338e-06,0.0012464542040021916,0.0003604131492940914,1000,1000
11,scalar_logpf,0.32,True,True,True,0.0005735848763344213,0.0005749106682587865,3.0268972347532314e-06,0.00036078465538969776,0.0001144559562345944,1000,1000
12,scalar_logpf,0.64,True,True,True,0.00046700236772722215,0.0004744444785039997,2.1151877871551997e-05,0.0021782204061434798,0.0003191162842222407,1000,1000
13,profile_logpf,0.02,True,True,True,0.002189585441203026,0.0021882966787570746,1.2260305253669612e-09,3.7184300273150333e-07,6.585764535799177e-08,1000,1000
14,profile_logpf,0.04,True,True,True,0.001526714334032269,0.0015268154125979904,3.81624284430393e-09,8.576430766314548e-07,7.014083549493344e-07,1000,1000
15,profile_logpf,0.08,True,True,True,0.0010160193761171118,0.0010164075722559744,5.9005207378101665e-09,1.028334071018302e-06,5.0201176054823216e-06,1000,1000
16,profile_logpf,0.16,True,True,True,0.0006820570078606565,0.0006829454845343982,1.0785619443572092e-08,1.4723588226203417e-06,4.682778516722219e-07,1000,1000
17,profile_logpf,0.32,True,True,True,0.0005412821291222035,0.000543871599639561,1.4305833036042104e-05,0.0016462512887729026,7.375452468247334e-05,1000,1000
18,profile_logpf,0.64,True,True,True,0.00046194672444216915,0.0004646286547296126,2.117888311947702e-08,2.166244495409218e-06,1.949468987441985e-06,1000,1000
25,hierarchical_rmsd,0.02,False,False,False,0.8564365745850665,0.12591957137837126,8.436574108052077e-09,0.011019505694238705,0.0004877066042417305,10000,10000
26,hierarchical_rmsd,0.04,False,False,False,0.570189719889449,2.059959090372812,5.708753994383263e-06,1.5729536031568903,0.0010275589756873205,10000,10000
27,hierarchical_rmsd,0.08,False,False,False,0.47112905967262464,0.05683296175748978,1.4410355796375312e-05,0.8050473785258311,0.009184975027468498,10000,10000
28,hierarchical_rmsd,0.16,False,False,False,0.04914233277199897,0.4165212138161017,6.75103126046449e-06,0.056787373845193556,0.011515919638861047,10000,10000
29,hierarchical_rmsd,0.32,False,False,False,0.6267474163239218,0.05184659235868965,1.4821967506957728e-05,0.08991482168407684,0.00855705378240569,10000,10000
30,hierarchical_rmsd,0.64,False,False,True,0.006787682128118974,0.03249186190836491,7.4640155517852235e-06,0.008365920417612067,0.007333119362335522,10000,10000
31,hierarchical_w1,0.02,False,False,False,0.07939519941592817,0.14442392756435501,7.110406435187151e-10,0.012617232488694547,0.00010798668419551016,10000,10000
32,hierarchical_w1,0.04,False,False,False,0.23207391892227064,0.5050591552619201,1.9906684496717492e-07,1.1805463492771557,0.0010630933920060676,10000,10000
33,hierarchical_w1,0.08,False,False,False,0.08108085259868139,0.07149245175333499,1.5623552533399065e-06,0.1204013096614686,0.0008609478121814063,10000,10000
34,hierarchical_w1,0.16,False,False,False,0.34092301693440386,0.5481295493794421,0.00014512821342821657,2.11743196801155,0.007484231279045947,10000,10000
35,hierarchical_w1,0.32,False,False,False,0.08672618419596795,0.034468592008615746,5.198457526555799e-05,0.09611547531168137,0.0039009136951751594,10000,10000
36,hierarchical_w1,0.64,False,True,False,0.0024176698060819858,0.008891851219491972,0.00019566020268563125,0.20812966212461156,0.02105667249228932,10000,3000
37,hierarchical_logpf_profile,0.02,False,False,False,0.8297595825066698,0.1257095999813742,6.675227356769866e-06,4.148197860301568,0.003727111905897043,10000,10000
38,hierarchical_logpf_profile,0.04,False,False,False,0.013643131787854099,0.5693653470277366,2.081427528073857e-07,0.03249617844439781,0.007561473564852747,10000,10000
39,hierarchical_logpf_profile,0.08,False,False,False,0.011515893097385049,0.17879184022355749,7.035793100825834e-06,0.20261617586369987,0.0039074351597593315,10000,10000
40,hierarchical_logpf_profile,0.16,False,False,False,0.3381159059513562,0.37824894263545844,6.148886358006074e-05,0.5363260446377823,0.002176703544622363,10000,10000
41,hierarchical_logpf_profile,0.32,False,False,False,0.20247193296631552,0.0020677338652703753,4.944288247191457e-05,0.09577538349393473,0.02892313474723124,10000,3000
42,hierarchical_logpf_profile,0.64,False,False,False,0.007964362879847189,0.025923843636811675,5.353275315447283e-05,0.03742824260857781,0.002420980372609391,10000,10000
