stage,ensemble,arm,family,strength,quantile,converged,objective,mse,objective_gap,steps,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess,initial_population_tv,target_mode,distance,sigma
rate,ISO_TRI,0,unregularised,0.0,,False,1.729202831187399e-08,3.191293785256839e-09,0.0036224985610053503,10000,0.3048112956945834,0.5069756215677763,0.1882130827376403,68.12833655352004,0.1882130827376403,0.06290221829470664,25.88563977897792,94.4687714617437,42.42156757042113,0.000164118976525629,rate,,
rate,ISO_TRI,1,maxent,1e-05,,True,1.9132725343791363e-05,3.7550413178074616e-07,6.987068033793328e-05,3000,0.31715145851634585,0.4998800285737601,0.18296851290989402,68.65743557619346,0.18296851290989402,0.071904064572924,25.34067131958,139.29429210674604,68.69810928816544,5.429798929779128e-05,rate,,
rate,ISO_TRI,2,maxent,0.0001,,True,0.0001410916706274826,3.795364699207841e-06,4.502939684791113e-07,3000,0.3108395316599621,0.47994433813566917,0.2092161302043689,66.31381310427818,0.20921613020436883,0.0840438409478602,25.503926440073442,198.0613993474832,110.485261803618,2.326651713319139e-06,rate,,
rate,ISO_TRI,3,maxent,0.001,,True,0.0009438370910054295,3.658905577171074e-05,2.150551749694494e-07,1000,0.28208742295617956,0.4385763799192004,0.27933619712462,60.4850696441007,0.27933619712462,0.11266343665592642,25.304407527465624,404.7224104288138,211.2845748803104,1.1056425155420158e-06,rate,,
rate,ISO_TRI,4,maxent,0.01,,True,0.005075632330207166,0.0003387503884447804,0.0,1000,0.19083796657012345,0.39237450956605524,0.41678752386382123,49.85305232956462,0.4167875238638213,0.20952966512118526,23.6581941832356,747.4705659793943,434.68515077793415,1.3326839631844223e-13,rate,,
rate,ISO_TRI,5,maxent,0.1,,True,0.013648548748812264,0.002057597991331709,5.083979279856455e-16,1000,0.04145366478085698,0.38147784178354505,0.577068493435598,34.59585347365083,0.577068493435598,0.9378264075307365,39.52893760714735,826.2665602486738,1282.586826285179,8.326672684688674e-17,rate,,
rate,ISO_TRI,6,maxent,1.0,,True,0.016347428493671885,0.002943966487454216,7.513399966457278e-06,1000,0.021264362248910915,0.3746717859798883,0.6040638517712009,31.379847648667404,0.6040638517712008,0.9992338557361714,43.985741060073394,829.9495113259467,1349.650243909104,5.908809696947293e-07,rate,,
rate,ISO_TRI,7,scalar_logpf,0.1,0.02,False,0.0013804969688602743,0.0002373086909851748,0.07197041139341716,3000,0.1015917236564537,0.46179062039097846,0.43661765595256796,45.84383320992293,0.4366176559525679,0.18162740628293,36.59494082731543,194.8108792453084,173.64835227560272,0.005752250297306763,rate,,
rate,ISO_TRI,8,scalar_logpf,0.1,0.04,True,0.002486315313220666,0.00042314227978279957,0.008043610729233232,1000,0.07069505346285544,0.46274044889440175,0.46656449764274294,42.43232642231247,0.4665644976427429,0.2872275968597159,40.80776747931139,317.5772715948707,283.4342935832773,0.0014129777228325535,rate,,
rate,ISO_TRI,9,scalar_logpf,0.1,0.08,True,0.0050972941322968025,0.0008520008567070403,0.0004271029251455286,1000,0.04609486797395843,0.4632544640728654,0.49065066795317624,39.35425875852938,0.4906506679531762,0.5448007986898674,42.19610745615416,599.2047126945968,578.0640667489636,0.0015528837722649097,rate,,
rate,ISO_TRI,10,scalar_logpf,0.1,0.16,True,0.006872489646552852,0.0011607770498730894,0.0012464542040021916,1000,0.03756809594413161,0.4510688694723478,0.5113630345835207,37.57650978757261,0.5113630345835206,0.6970159731131803,42.75335271675083,733.3532561298223,782.0924795958986,0.0003604131492940914,rate,,
rate,ISO_TRI,11,scalar_logpf,0.1,0.32,True,0.00838976156423216,0.0014422940984260473,0.00036078465538969776,1000,0.031761150080147176,0.434713471106698,0.5335253788131548,35.93974335328717,0.5335253788131549,0.8056221883956353,43.49443766430206,796.2931248396671,957.2399740495599,0.0001144559562345944,rate,,
rate,ISO_TRI,12,scalar_logpf,0.1,0.64,True,0.00971062331979582,0.0016991442982887954,0.0021782204061434798,1000,0.027755287450666053,0.41701724285155495,0.555227469697779,34.47802612134095,0.555227469697779,0.8820885557594852,43.877533840319884,824.6257447970761,1096.7945601119281,0.0003191162842222407,rate,,
rate,ISO_TRI,13,profile_logpf,0.1,0.02,True,0.003297172506570578,0.0005107966814056076,3.7184300273150333e-07,1000,0.0690465402562267,0.46702297463762044,0.4639304851061528,42.457877467066865,0.46393048510615287,0.44162966929966646,43.75037698817725,507.0830991917524,449.7249194573575,6.585764535799177e-08,rate,,
rate,ISO_TRI,14,profile_logpf,0.1,0.04,True,0.004449686528448291,0.0007041716451463833,8.576430766314548e-07,1000,0.0564785232274077,0.46444091364115436,0.47908056313143793,40.773424720305464,0.47908056313143793,0.5418594110225617,43.77923009294963,611.5164966393163,568.3437272756219,7.014083549493344e-07,rate,,
rate,ISO_TRI,15,profile_logpf,0.1,0.08,True,0.005737941495964642,0.000936443984093329,1.028334071018302e-06,1000,0.046172746865840664,0.4556291883330301,0.49819806480112927,38.98699015836286,0.49819806480112927,0.6436960471538995,43.81429571685319,696.3939805967145,706.2155730099619,5.0201176054823216e-06,rate,,
rate,ISO_TRI,16,profile_logpf,0.1,0.16,True,0.007325401442820193,0.0012251965354377456,1.4723588226203417e-06,1000,0.03773145433538204,0.44137467942330677,0.5208938662413112,37.12400598411209,0.5208938662413112,0.7603877574852655,43.84262576477197,777.9500533019157,880.4404475139689,4.682778516722219e-07,rate,,
rate,ISO_TRI,17,profile_logpf,0.1,0.32,True,0.00868994492736617,0.001489474956355713,0.0016462512887729026,1000,0.03187807699698011,0.42623548513298803,0.5418864378700319,35.54148875974632,0.5418864378700319,0.8397986961943247,43.8830151835136,812.6735266168486,1017.9531565511315,7.375452468247334e-05,rate,,
rate,ISO_TRI,18,profile_logpf,0.1,0.64,True,0.009776774119615797,0.001707883302978652,2.166244495409218e-06,1000,0.028140495994455356,0.41484652740565,0.5570129765998947,34.42919453897174,0.5570129765998947,0.8866711194239455,43.922446016710936,825.8412943801616,1106.255572536322,1.949468987441985e-06,rate,,
