family,arm,quantile,strength,valid_pair,delta_mse,delta_recovery,delta_intermediate,delta_ess_fraction
unregularised,0,,0.0,False,,,,
maxent,1,,1e-05,True,-0.0001390138932839774,52.980817734757075,-0.6876822218404719,0.03579631632539713
maxent,2,,0.0001,True,-0.00014734922009776585,49.753999436989524,-0.6516262294332088,0.04557740153080127
maxent,3,,0.001,True,-0.00021752948606148335,39.913490175684316,-0.5337565999654353,0.0605791269687288
maxent,4,,0.01,True,-0.000505261989816545,17.992862092006625,-0.24416643828605533,0.06517693029997093
maxent,5,,0.1,True,-0.0004583633585173012,2.5056154488252247,-0.034969945088571874,-0.015501628167648551
maxent,6,,1.0,True,-0.0002253296593672234,0.2176723329999639,-0.0034196902024767883,-0.0002567483758568745
scalar_logpf,7,0.02,0.1,False,,,,
scalar_logpf,8,0.04,0.1,True,-0.00038875379272254417,14.708453723452696,-0.2513160604978765,-0.01905290867620274
scalar_logpf,9,0.08,0.1,True,-0.0003872098956606894,10.646309180648274,-0.19663575247015663,0.057233853751812946
scalar_logpf,10,0.16,0.1,True,-0.0004703959531292231,7.4237528471485135,-0.13969408007141015,0.16579585898404714
scalar_logpf,11,0.32,0.1,True,-0.0005707899340934147,4.452812128087626,-0.08421773225429774,-0.0024118503402709157
scalar_logpf,12,0.64,0.1,True,-0.0006701441526584956,2.3545001901906204,-0.04349443486266358,-0.025824067361355785
profile_logpf,13,0.02,0.1,True,-0.0004003950364968226,13.64121058785404,-0.23600804736686526,0.05192378208991588
profile_logpf,14,0.04,0.1,True,-0.0004161141559838955,11.268498241499561,-0.20178982078971391,0.05716416238663896
profile_logpf,15,0.08,0.1,True,-0.0004465765604832972,8.962914860025187,-0.16468995770809491,0.046507370186691155
profile_logpf,16,0.16,0.1,True,-0.0004932567329198722,6.242339633077744,-0.11691983383477367,0.0313836825200029
profile_logpf,17,0.32,0.1,True,-0.0005707913199361492,3.739208195469182,-0.070183914967069,0.002971499464266003
profile_logpf,18,0.64,0.1,True,-0.0006512552947221454,2.2011806004693426,-0.040457512076376045,-0.021784711183077232
hierarchical_rmsd,25,0.02,0.1,False,,,,
hierarchical_rmsd,26,0.04,0.1,False,,,,
hierarchical_rmsd,27,0.08,0.1,False,,,,
hierarchical_rmsd,28,0.16,0.1,False,,,,
hierarchical_rmsd,29,0.32,0.1,False,,,,
hierarchical_rmsd,30,0.64,0.1,False,,,,
hierarchical_w1,31,0.02,0.1,False,,,,
hierarchical_w1,32,0.04,0.1,False,,,,
hierarchical_w1,33,0.08,0.1,False,,,,
hierarchical_w1,34,0.16,0.1,False,,,,
hierarchical_w1,35,0.32,0.1,False,,,,
hierarchical_w1,36,0.64,0.1,False,,,,
hierarchical_logpf_profile,37,0.02,0.1,False,,,,
hierarchical_logpf_profile,38,0.04,0.1,False,,,,
hierarchical_logpf_profile,39,0.08,0.1,False,,,,
hierarchical_logpf_profile,40,0.16,0.1,False,,,,
hierarchical_logpf_profile,41,0.32,0.1,False,,,,
hierarchical_logpf_profile,42,0.64,0.1,False,,,,
