family,quantile,valid_pair,delta_mse,delta_recovery,delta_intermediate,delta_ess_fraction
hierarchical_rmsd,0.02,False,,,,
hierarchical_rmsd,0.04,True,0.004014745262555833,-26.44815093659956,0.3323337457367205,0.0005874707440472653
hierarchical_rmsd,0.08,True,0.004004726375556079,-27.051283941654177,0.3418463848719915,0.0006096362321449198
hierarchical_rmsd,0.16,True,0.0037629544973976858,-30.283985717306834,0.3819471073962386,0.00012311177618809076
hierarchical_rmsd,0.32,False,,,,
hierarchical_rmsd,0.64,True,0.0031970105740500767,-20.22396060075944,0.27275744445944233,0.0054037405479061915
hierarchical_w1,0.02,True,0.004221104266000818,-25.63661168711441,0.32431412055706305,0.0007379395692728432
hierarchical_w1,0.04,True,0.004138333674735953,-24.54969756800609,0.308604243910417,0.0006184489025479823
hierarchical_w1,0.08,True,0.00410723908112734,-27.145156152076623,0.3445152068017195,4.9970991710364746e-06
hierarchical_w1,0.16,True,0.004013338460860429,-27.51201805788265,0.3519974935360395,0.00010489927661341478
hierarchical_w1,0.32,False,,,,
hierarchical_w1,0.64,False,,,,
hierarchical_logpf_profile,0.02,True,0.0041411411969770546,-25.476761172971315,0.3418274522513393,-0.00011552279502327362
hierarchical_logpf_profile,0.04,False,,,,
hierarchical_logpf_profile,0.08,True,0.0039878739362669835,-28.406258506368125,0.37707241873376424,-0.00023617045487943616
hierarchical_logpf_profile,0.16,True,0.00414465870806466,-30.0798085522624,0.4215137411844643,-1.0262660196212834e-05
hierarchical_logpf_profile,0.32,False,,,,
hierarchical_logpf_profile,0.64,False,,,,
