arm,stage,family,start,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess
0,rate,unregularised,0,0.10706148732642508,0.3424505705948122,0.5504879420787631,39.50658656416663,0.550487942078763,0.004686396422790731,3.6341286487840554,12.457583934045076,3.6363727054605945
0,rate,unregularised,1,0.10705861451007553,0.34245158901057654,0.550489796479348,39.50638164856349,0.550489796479348,0.004686715200356485,3.633669049833728,12.456244730121545,3.6367385038259448
1,rate,maxent,0,0.10700301634400185,0.34213868264575564,0.5508583010102425,39.48233836157142,0.5508583010102426,0.0046941859928941706,3.639261707236351,12.548440982933666,3.644156871736231
1,rate,maxent,1,0.10699807107589172,0.3421340135672698,0.5508679153568387,39.48159799410589,0.5508679153568385,0.004694503882982455,3.638633480152263,12.546035003164244,3.6446460516297754
2,rate,maxent,0,0.10516236067519003,0.3284668938168631,0.5663707455079467,38.48326662999322,0.5663707455079467,0.0046173203563311515,4.0884455634736,12.619740599296009,3.726349020637031
2,rate,maxent,1,0.10516085876074271,0.3284555008512463,0.566383640388011,38.482434343894965,0.5663836403880109,0.004617514461325597,4.08853476155689,12.61813862711408,3.7267112537684346
3,rate,maxent,0,0.10196279691611214,0.32465139763738426,0.5733858054465035,37.95554798444931,0.5733858054465035,0.004407122816966548,4.215389386060766,12.989621083578143,3.5970756430646964
3,rate,maxent,1,0.10196232704317808,0.32465964083619614,0.5733780321206258,37.956005996069244,0.5733780321206258,0.004407018907144669,4.215381075402322,12.989436901219362,3.5969035278264836
4,rate,maxent,0,0.0744655607452628,0.30386636256068644,0.6216680766940508,34.04692320983068,0.6216680766940508,0.0039733372522259966,4.505624075925391,21.427592188961118,3.592618992299698
4,rate,maxent,1,0.07446556039643976,0.30386636251585003,0.6216680770877103,34.04692317183211,0.6216680770877103,0.003973337237072962,4.505624118738823,21.427591953597055,3.5926189832055866
5,rate,maxent,0,0.022677768103925144,0.41568646388859354,0.5616357680074814,33.62808109786564,0.5616357680074813,0.8721043859220411,40.36901722229698,758.6015517561781,1147.752001633404
5,rate,maxent,1,0.02267776729747645,0.4156864519382605,0.5616357807642631,33.62808038950826,0.5616357807642631,0.8721044037201735,40.36901705152316,758.6015503662712,1147.7520411847115
6,rate,maxent,0,0.02009569384609559,0.37891270782176306,0.6009915983321413,31.407123203540856,0.6009915983321413,0.9977906147407389,43.962213726073514,829.2498929054258,1347.17844366504
6,rate,maxent,1,0.02009203588762439,0.37892072900655316,0.6009872351058225,31.406938784744508,0.6009872351058225,0.9977904946968437,43.96223936587889,829.2500869010045,1347.1784109157156
7,rate,scalar_logpf,0,0.06329132847394509,0.2868276246187645,0.6498810469072904,31.87640889422988,0.6498810469072904,0.002668931240133468,12.806393322893692,54.23495355692953,2.535594547835864
7,rate,scalar_logpf,1,0.0615786765743134,0.28070211536714806,0.6577192080585386,31.328607947903897,0.6577192080585386,0.0025560827150929917,13.877188373420971,56.792146904537766,2.4837461322623895
8,rate,scalar_logpf,0,0.05486477497007967,0.2639839823621911,0.6811512426677291,29.600365761266968,0.6811512426677291,0.0022280063302728375,17.326387815700627,107.68997036194934,2.309427705411925
8,rate,scalar_logpf,1,0.05503924228082324,0.26342191921681024,0.6815388385023669,29.585097219502956,0.6815388385023666,0.002227635641833616,17.501109383571368,107.73831999942887,2.311628135236089
9,rate,scalar_logpf,0,0.048521858582873216,0.234751901664385,0.7167262397527416,27.103797528824835,0.7167262397527417,0.003774760523307149,11.516216389952158,212.79475279510518,4.331313942607464
