arm,family,strength,start,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess
0,unregularised,0.0,0,0.32272791187840794,0.44900139962883034,0.2282706884927617,64.6464203424711,0.22827068849276172,0.004010438798951319,2.8047560519667556,8.215523853844859,1.0340150961814376
0,unregularised,0.0,1,0.32230855032889744,0.45014340210220216,0.22754804756890046,64.71074953616778,0.22754804756890043,0.004021522986749616,2.7862477855228778,8.332556736050801,1.0323345794002108
1,maxent,1e-05,0,0.321028686490275,0.45107689248308114,0.22789442102664376,64.68582387551022,0.2278944210266438,0.003959296644804869,2.5820363423793,8.832541065105351,1.0271271739168768
1,maxent,1e-05,1,0.32105206626065175,0.45098978051120003,0.22795815322814802,64.68022964056715,0.2279581532281481,0.003959761669216036,2.5880856190396986,8.810872687711322,1.0271648868616166
2,maxent,0.0001,0,0.31637218564376546,0.45316633928696887,0.23046147506926584,64.47992249790269,0.23046147506926576,0.00371858846040945,2.128354941145539,9.177259546254643,1.0321524452821988
2,maxent,0.0001,1,0.31638041304525333,0.4531368388642525,0.2304827480904942,64.4780791599664,0.23048274809049418,0.0037182662126401724,2.128304092350678,9.17731126801508,1.0321435354168846
3,maxent,0.001,0,0.3109939218585998,0.44706173318322834,0.24194434495817205,63.518857376220254,0.24194434495817196,0.0036494496818097037,2.027237151650369,9.323470562902827,1.0838839369713713
3,maxent,0.001,1,0.31099501573267785,0.4470582163717646,0.2419467678955574,63.51865089903408,0.24194676789555747,0.0036493748381218835,2.0271551104036916,9.32335175911195,1.0838991569504588
4,maxent,0.01,0,0.300244743279087,0.37683893530699264,0.3229163214139203,56.97067712321776,0.32291632141392035,0.0035600281670000143,1.0566985406537737,21.067494069176956,3.0494094164226793
4,maxent,0.01,1,0.30024523738565817,0.3768390125563692,0.32291575005797246,56.97071836335017,0.3229157500579726,0.0035600436979623938,1.0567075919271673,21.067205672276167,3.0494160909012957
5,maxent,0.1,0,0.19590626195284275,0.36056225997547553,0.4435314780716818,48.11070815854394,0.44353147807168175,0.01321470735470962,1.1389716092117776,799.3488326114019,1299.3613823256069
5,maxent,0.1,1,0.19590543623656906,0.36056517786312986,0.443529385900301,48.11084304171253,0.44352938590030105,0.013214819591731262,1.138971789589697,799.3521395830999,1299.3614196962058
6,maxent,1.0,0,0.02207666554001566,0.38104248502704663,0.5968808494329376,31.826429245688004,0.5968808494329376,0.9981463141935402,43.970321546331355,829.326046680155,1348.9094294516806
6,maxent,1.0,1,0.022076557316003914,0.381036932398111,0.5968865102858851,31.826134537481245,0.5968865102858851,0.9981457554816213,43.97032055826253,829.3259384290131,1348.9072322327675
7,scalar_logpf,0.1,0,0.31137686201944537,0.3749868621174046,0.3136362758631499,57.607758251139195,0.31363627586314996,0.0045146314304305045,19.204286280389894,70.41177308235277,1.0633681789598648
7,scalar_logpf,0.1,1,0.3086945480664732,0.3740670517593113,0.3172384001742157,57.34463492259998,0.31723840017421556,0.004474434594363858,23.391103404397786,70.6927376300105,1.0661876267873869
8,scalar_logpf,0.1,0,0.2871986485153342,0.3946059824991423,0.3181953689855237,57.43064356346661,0.3181953689855236,0.003630987125572628,2.7716527979625774,90.24120784910654,1.0970255890852656
8,scalar_logpf,0.1,1,0.28718623557011314,0.39459381703587826,0.3182199473940086,57.4287731557813,0.3182199473940086,0.0036302069490050156,2.7707526958250615,90.22119513766982,1.0969665005969356
9,scalar_logpf,0.1,0,0.1244945032771918,0.4346132697733894,0.4408922269494187,46.62108987918066,0.44089222694941876,0.005549090779247208,33.390808988930786,237.42599485791496,2.4379492168322083
9,scalar_logpf,0.1,1,0.12752083734008432,0.4408923105843268,0.4315868520755889,47.28362159839341,0.4315868520755889,0.005706263230400775,33.919640154055934,241.2401982332922,2.404159199376183
10,scalar_logpf,0.1,0,0.06675266557810212,0.45757351510131794,0.4756738193205801,41.692648482023706,0.47567381932058006,0.3951668967233201,37.42648791982766,452.93878981296825,406.9348220814288
10,scalar_logpf,0.1,1,0.06675280778225888,0.45757402807998965,0.4756731641377514,41.692692173734066,0.4756731641377514,0.3951663813426514,37.42651939718867,452.9391337548993,406.9334150916597
11,scalar_logpf,0.1,0,0.041130204754515266,0.46643976882051064,0.49243002642497397,38.82851398906711,0.492430026424974,0.5905177178877297,43.269678687764625,632.9107108727021,641.0928878703573
11,scalar_logpf,0.1,1,0.0411303369504165,0.4664479483730626,0.49242171467652085,38.82893129974979,0.49242171467652085,0.5905179311398799,43.26968642667658,632.9128685678033,641.0905742521958
12,scalar_logpf,0.1,0,0.033146728780775646,0.456814853838808,0.5100384173804164,37.21566252080596,0.5100384173804164,0.7219586201050593,43.93640964682228,731.6252426955087,833.0003619185082
12,scalar_logpf,0.1,1,0.0331598595798789,0.45704150689481476,0.5097986335253064,37.228521261691974,0.5097986335253064,0.7215444737909958,43.93658237526471,731.6447877100208,832.0518162392276
13,profile_logpf,0.1,0,0.10674758957145064,0.4905341636197864,0.40271824680876295,47.98895414467152,0.40271824680876295,0.2491871597835753,43.72852045414803,284.18812419056474,232.91136012594168
13,profile_logpf,0.1,1,0.10674758880624888,0.49053417380681447,0.40271823738693663,47.98895462640609,0.40271823738693663,0.2491871675367723,43.728520619184636,284.18813276528795,232.91136963754607
14,profile_logpf,0.1,0,0.0826015997266326,0.49314757681782573,0.4242508234555417,45.423766822613366,0.42425082345554166,0.3278053729737166,43.78692477646942,372.04802439243866,320.5131907109695
14,profile_logpf,0.1,1,0.08260159308923636,0.49314757284385624,0.4242508340669074,45.423765839290276,0.4242508340669074,0.32780537482554667,43.78692420925429,372.0480173654753,320.5131990578348
15,profile_logpf,0.1,0,0.06397639015562089,0.4931947309811465,0.44282887886323274,43.17345483305522,0.44282887886323263,0.4194656315819809,43.832174448311925,472.2638655460072,423.5159426108763
15,profile_logpf,0.1,1,0.06397628615773975,0.49319395333479954,0.4428297605074608,43.17340246934671,0.44282976050746076,0.41946572290352824,43.83217387540441,472.2638766509858,423.5160690789381
