arm,family,quantile,strength,valid_pair,delta_mse,delta_recovery,delta_intermediate,delta_ess_fraction
43,hierarchical_rmsd,0.16,0.01,True,-0.00020909750797284705,-0.14935202507754752,0.00028501283696832913,2.6004648001834094e-05
44,hierarchical_rmsd,0.16,0.03,True,-0.0001793949563461024,-0.4794181777418629,0.005054140618625191,-1.0320186787998557e-05
45,hierarchical_rmsd,0.32,0.01,False,,,,
46,hierarchical_rmsd,0.32,0.03,False,,,,
47,hierarchical_rmsd,0.64,0.01,True,-0.00022852833611350246,-4.158187008167694,0.07719990825875861,-0.0015753503553225237
48,hierarchical_rmsd,0.64,0.03,True,0.0002667043193207213,-5.952543940442901,0.09935007796670503,-0.001775861473089719
49,hierarchical_w1,0.16,0.01,True,-4.6506369360919866e-05,-0.19580785201284812,0.001837427458046298,0.0003478262572968703
50,hierarchical_w1,0.16,0.03,True,-2.618231124845846e-05,-0.23307059432015365,0.002639682367948065,7.047353502497586e-05
51,hierarchical_w1,0.32,0.01,False,,,,
52,hierarchical_w1,0.32,0.03,False,,,,
53,hierarchical_w1,0.64,0.01,False,,,,
54,hierarchical_w1,0.64,0.03,True,7.401669338767984e-05,-3.690582533990238,0.04390833299123842,0.0006884950409879079
55,hierarchical_logpf_profile,0.16,0.01,False,,,,
56,hierarchical_logpf_profile,0.16,0.03,True,0.00014753765527506088,4.230761487715995,-0.03070180700709213,2.9515561331974315e-05
57,hierarchical_logpf_profile,0.32,0.01,False,,,,
58,hierarchical_logpf_profile,0.32,0.03,False,,,,
59,hierarchical_logpf_profile,0.64,0.01,False,,,,
60,hierarchical_logpf_profile,0.64,0.03,True,-0.00025817979428582015,0.6097545601799794,-0.008448608424132392,0.0003191329783660277
