stage,ensemble,arm,family,strength,quantile,converged,objective,mse,objective_gap,steps,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess,initial_population_tv,distance,sigma
uptake,ISO_TRI,28,hierarchical_rmsd,0.1,0.16,True,0.015280256251905239,0.0023188599428458777,0.003672708686309373,1000,0.3281111260238369,0.4683229210284725,0.20356595294769075,66.80123619041906,0.20356595294769067,0.0041542351603661995,2.3211601282709933,9.766916321415142,1.0530565277753619,,rmsd,0.0321428571428636
uptake,ISO_TRI,29,hierarchical_rmsd,0.1,0.32,True,0.01563689380705009,0.002370014574259515,0.00504396866571912,3000,0.2912647243500729,0.46664492500737503,0.24209035064255194,63.49398757432564,0.24209035064255202,0.0032359974236237906,1.2199080400808942,14.370421210358863,1.0814900831862466,,rmsd,0.0656462585034152
uptake,ISO_TRI,30,hierarchical_rmsd,0.1,0.64,True,0.021081532682667443,0.0031985273194458973,0.0035005216183059615,3000,0.18506471081056552,0.5541474026018499,0.2607878865875844,59.9739913976079,0.26078788658758445,0.004884887479392605,41.897824723563524,9.41687542985361,1.1610030867442203,,rmsd,0.1454081632653086
uptake,ISO_TRI,34,hierarchical_w1,0.1,0.16,True,0.013399514042975418,0.0020318766577307173,8.692711332309908e-05,1000,0.33985912811732727,0.44730702582585097,0.2128338460568218,65.90599881321441,0.21283384605682176,0.003665706839205878,2.482245575652795,5.848182855259845,1.082109631358162,,w1,0.0321428571428636
uptake,ISO_TRI,35,hierarchical_w1,0.1,0.32,False,0.01534201672177359,0.002330727665754441,0.06297118284169305,3000,0.3343844272007285,0.4498820594401516,0.2157335133591199,65.6849282196238,0.21573351335911992,0.003368674183441876,1.9787047543776517,6.559560662290319,1.0105734286997157,,w1,0.0656462585034152
uptake,ISO_TRI,36,hierarchical_w1,0.1,0.64,True,0.01578887425993659,0.0023985292542322676,0.0029862096810099456,3000,0.30334383626436723,0.45274847114974054,0.24390769258589234,63.36492439351367,0.2439076925858923,0.002575258545474059,1.0318272612946833,6.4519437253851235,1.110486610507618,,w1,0.1454081632653086
uptake,ISO_TRI,40,hierarchical_logpf_profile,0.1,0.16,True,0.013096435930306388,0.001989552058711754,0.0045037747209820045,3000,0.2081770349121312,0.5599000658993776,0.2319228991884914,62.76290286420125,0.23192289918849132,0.0038193224940096093,1.0202947838452066,14.054054598456535,1.0169190891608235,,logpf_profile,0.0321428571428636
uptake,ISO_TRI,41,hierarchical_logpf_profile,0.1,0.32,True,0.015574628153463884,0.0023649362880384535,0.00012491435325072251,1000,0.1803950859107046,0.5294327835875753,0.2901721305017201,57.88040745495835,0.2901721305017201,0.0034929271883070803,1.0011545390006618,11.145295899117993,1.1856374922961608,,logpf_profile,0.0656462585034152
uptake,ISO_TRI,42,hierarchical_logpf_profile,0.1,0.64,True,0.019614843437868984,0.0029783350480394773,0.0048281711109018546,1000,0.28500844215181625,0.4954205924890919,0.2195709653590917,65.30312185909392,0.21957096535909176,0.00287258929163316,1.0006073399453888,8.926355223511289,1.0090135675505418,,logpf_profile,0.1454081632653086
uptake,ISO_TRI,43,hierarchical_rmsd,0.01,0.16,True,0.013900474518035758,0.0021097624348730307,0.00033807206782913226,1000,0.348272894907855,0.447876139307486,0.20385096578465908,66.65188416534151,0.20385096578465906,0.004180239808368034,2.755313186885818,8.462090370921299,1.044411347162075,0.0002530975449082512,rmsd,0.0321428571428636
uptake,ISO_TRI,44,hierarchical_rmsd,0.03,0.16,True,0.014083617014908645,0.0021394649864997753,0.004511891582495606,3000,0.33425090736855767,0.45712899906512633,0.20862009356631595,66.3218180126772,0.20862009356631597,0.004143914973578201,2.387156842962875,9.878798440359086,1.074563722616974,0.004765243288684787,rmsd,0.0321428571428636
uptake,ISO_TRI,45,hierarchical_rmsd,0.01,0.32,False,0.01289600378307585,0.0019592045255572787,0.09529592149804897,10000,0.311272383128294,0.4716627786867268,0.21706483818497924,65.63556628974253,0.21706483818497924,0.0033146473759729156,1.3407568620375196,12.033511004415828,1.0508107865106715,0.02413028319610254,rmsd,0.0656462585034152
uptake,ISO_TRI,46,hierarchical_rmsd,0.03,0.32,False,0.013098603961670794,0.0019892524608055118,0.06699893926622079,10000,0.303748892560902,0.4662315882200109,0.23001951921908734,64.52583758082284,0.23001951921908725,0.003134692666569618,1.190080818179949,12.062408069418783,1.1062361821836375,0.03424169673462614,rmsd,0.0656462585034152
uptake,ISO_TRI,47,hierarchical_rmsd,0.01,0.64,True,0.019747179302853766,0.002969998983332395,4.9641561615884286e-05,1000,0.23466238658788924,0.42734981856576787,0.337987794846343,55.8158043894402,0.33798779484634295,0.003309537124070081,43.36574416238542,4.314036308114669,1.2390303500882465,0.0006366864706124353,rmsd,0.1454081632653086
uptake,ISO_TRI,48,hierarchical_rmsd,0.03,0.64,True,0.022985814880453485,0.0034652316387666186,0.00038892996773502546,1000,0.21419471579354196,0.42566731965216853,0.3601379645542894,54.021447457164996,0.3601379645542895,0.0031090260063028857,43.73576169032024,2.3550149336100223,1.9482838021690345,0.0002946694036897318,rmsd,0.1454081632653086
uptake,ISO_TRI,49,hierarchical_w1,0.01,0.16,True,0.013092131265123385,0.0019853702883697974,0.0007260368691420769,1000,0.34347911210734944,0.44184961437778253,0.2146712735148681,65.71019096120156,0.21467127351486806,0.004013533096502748,3.11554576082554,6.45395802255554,1.0506203471928168,0.0007183768643189148,w1,0.0321428571428636
uptake,ISO_TRI,50,hierarchical_w1,0.03,0.16,True,0.0132418440078084,0.002005694346482259,0.00045196583693673517,1000,0.339336603118288,0.445189868456942,0.21547352842476986,65.67292821889426,0.21547352842476994,0.0037361803742308537,2.66976468503106,5.834216444514426,1.074949946503188,0.0004353630167163447,w1,0.0321428571428636
uptake,ISO_TRI,51,hierarchical_w1,0.01,0.32,False,0.013218858778370365,0.0019996964236667874,0.045985449315500526,3000,0.3361900858430143,0.42425356428646666,0.23955634987051896,63.57119710680359,0.239556349870519,0.0037470851817931177,2.7019774239569587,7.673069991184716,1.0499736630033396,0.010651386636213359,w1,0.0656462585034152
