stage,ensemble,arm,family,strength,quantile,converged,objective,mse,objective_gap,steps,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess,initial_population_tv
uptake,ISO_BI,0,unregularised,0.0,,True,0.018102913403254196,0.0027502978162035744,5.1500109516150765e-05,1000,0.3929209005913039,0.607079099408696,0.0,99.38543231677825,0.007079099408696055,0.011442011307666328,2.2739786258254844,11.47972470461001,,3.4320166818757603e-06
uptake,ISO_BI,1,maxent,1e-05,,True,0.01806780475047352,0.002734229936385127,8.857763014215472e-06,1000,0.39251215578148196,0.6074878442185179,0.0,99.34988943416907,0.007487844218517975,0.010804067002288616,2.0439814971132932,12.089428579018492,,1.9616337459421596e-05
uptake,ISO_BI,2,maxent,0.0001,,True,0.01760225167229179,0.002599651907876175,5.7780686074305845e-08,3000,0.3717807619982602,0.6282192380017397,0.0,97.53810383484148,0.028219238001739783,0.007868374879849217,1.12455559377259,17.539256630811437,,2.2542435966277363e-05
uptake,ISO_BI,3,maxent,0.001,,True,0.020236599081790037,0.002659859634172752,0.0001763712833416868,1000,0.36589158204541056,0.6341084179545893,0.0,97.01991637378367,0.03410841795458938,0.007831855152966359,1.1305168212339485,14.531536313860277,,0.0005097913415850197
uptake,ISO_BI,4,maxent,0.01,,True,0.03387162172850959,0.003635224745966701,2.215695592164043e-10,1000,0.3599058174685249,0.6400941825314752,0.0,96.49148513107008,0.040094182531475175,0.008849191186256366,1.1067904723891047,33.41412603789722,,3.026643644044036e-08
uptake,ISO_BI,5,maxent,0.1,,True,0.07007252895476317,0.006993562876408674,2.759852324596845e-09,1000,0.25417498469627686,0.7458250153037231,0.0,86.75862139257883,0.14582501530372316,0.026237980371939213,1.505192516142122,811.0710680560435,,2.9627294428347106e-06
uptake,ISO_BI,6,maxent,1.0,,True,0.08611299479791325,0.012924710961171582,8.057894073003923e-16,1000,0.05886060211320235,0.9411393978867977,0.0,63.93215358610706,0.3411393978867977,0.9977885885576252,43.968214088558,829.4227228581989,,1.8735013540549517e-16
uptake,ISO_BI,7,scalar_logpf,0.1,0.02,True,0.023162631302285932,0.003486555557220627,5.071541281172789e-05,3000,0.3817963196680844,0.6182036803319155,0.0,98.4156912510641,0.018203680331915578,0.012179599663798219,1.9233877714382284,21.05217007796968,,0.00017833805437833528
uptake,ISO_BI,8,scalar_logpf,0.1,0.04,True,0.025573021917028982,0.003881195249561271,6.67580997627696e-06,3000,0.38077878419237987,0.6192212158076199,0.0,98.32673489466443,0.01922121580762004,0.016622814994461835,2.4120839146236075,43.9713463050718,,0.00021145156512811236
uptake,ISO_BI,9,scalar_logpf,0.1,0.08,True,0.04085685199573711,0.006056214817605451,5.90962528521671e-07,1000,0.3267949936485701,0.6732050063514299,0.0,93.53250694463509,0.0732050063514299,0.2065873483154113,39.01759678976685,161.7832766510012,,4.029921498310829e-06
uptake,ISO_BI,10,scalar_logpf,0.1,0.16,True,0.051191104077421876,0.007381721066389856,5.255822776532079e-08,1000,0.21650273879948703,0.783497261200513,0.0,83.02815637744216,0.18349726120051302,0.33725635536244886,33.56387291045042,307.5455920653968,,8.833344477376937e-06
uptake,ISO_BI,11,scalar_logpf,0.1,0.32,True,0.062162907465080186,0.009125781774525712,0.001069541246302704,1000,0.12244636759013441,0.8775536324098657,0.0,72.62571321203085,0.2775536324098657,0.562669080273409,40.97645222474033,461.81169151680564,,0.00010165155311350066
uptake,ISO_BI,12,scalar_logpf,0.1,0.64,True,0.0704754435752412,0.01041788902536722,0.0005472116123317352,1000,0.08880156904758682,0.9111984309524133,0.0,68.2858701098806,0.31119843095241323,0.7439595363937966,43.889574657607184,611.2805124407108,,7.42240196338409e-05
uptake,ISO_BI,13,profile_logpf,0.1,0.02,True,0.038835085961652395,0.005702356556569876,2.7361243883454607e-07,1000,0.28181099218745853,0.7181890078125415,0.0,89.39154893018933,0.11818900781254149,0.21452431348856146,42.771403979910374,148.35739381258816,,2.0588065446913717e-08
uptake,ISO_BI,14,profile_logpf,0.1,0.04,True,0.04464185209844954,0.006478132695710515,2.3824025376122508e-07,1000,0.2314197157855259,0.7685802842144742,0.0,84.527238073088,0.16858028421447419,0.289650149249733,43.840106251028004,216.49348524661684,,5.74513200207738e-08
uptake,ISO_BI,15,profile_logpf,0.1,0.08,True,0.05044667574778058,0.007324532529947656,1.479306965621434e-07,1000,0.18523856043836706,0.8147614395616329,0.0,79.77539100579536,0.21476143956163296,0.37388267576219225,43.8952638259192,291.3459845391079,,4.502513910320527e-08
