ensemble,quantile,sigma,components,edge_fraction,degree_min,degree_median,degree_max,factor,reference_coupling,coupling,cross_state_coupling_fraction,intermediate_target_coupling_fraction
ISO_BI,0.02,0.003571428571438773,2,0.034338048917302966,20,24.0,153,22.8710621718488,0.02449959360360681,0.0244995936036068,0.0,0.0
ISO_BI,0.04,0.00731292517006743,2,0.034338048917302966,20,24.0,153,22.91063645264393,0.050234336781871905,0.050234336781871905,0.0,0.0
ISO_BI,0.08,0.014625850340133084,2,0.034338048917302966,20,24.0,153,22.86590076047314,0.10035797685428456,0.1003579768542845,0.0,0.0
ISO_BI,0.16,0.029251700680267945,2,0.034338048917302966,20,24.0,153,23.131796185417485,0.19811364760150713,0.19811364760150704,0.0,0.0
ISO_BI,0.32,0.05969387755101607,2,0.034338048917302966,20,24.0,153,23.74253388219649,0.38215864133932215,0.3821586413393221,0.0,0.0
ISO_BI,0.64,0.1318027210884285,2,0.034338048917302966,20,24.0,153,25.834316983854112,0.6766918410326268,0.6766918410326266,0.0,0.0
ISO_TRI,0.02,0.004081632653054612,1,0.013328752728154555,20,24.0,174,54.13237892198903,0.02550292568016343,0.02550292568016343,0.16939475324389952,0.1693947532438993
ISO_TRI,0.04,0.00799319727891401,1,0.013328752728154555,20,24.0,174,54.61545302432281,0.04996947902604266,0.04996947902604261,0.172576396678392,0.17257639667839203
ISO_TRI,0.08,0.015986394557831574,1,0.013328752728154555,20,24.0,174,54.43368140517421,0.09967472324748083,0.09967472324748099,0.17259130020543803,0.17259130020543795
ISO_TRI,0.16,0.03214285714286369,1,0.013328752728154555,20,24.0,174,54.83137682568859,0.1976127967405302,0.1976127967405304,0.17031543888790557,0.17031543888790548
ISO_TRI,0.32,0.06564625850341521,1,0.013328752728154555,20,24.0,174,57.210955690684635,0.381222414372392,0.38122241437239196,0.16838300777328216,0.16838300777328222
ISO_TRI,0.64,0.1454081632653086,1,0.013328752728154555,20,24.0,174,64.30654204659056,0.675934938559425,0.6759349385594245,0.16726479513826614,0.16726479513826623
