ensemble,quantile,control,valid_pair,delta_recovery,delta_tv,delta_mse,delta_ess_fraction,delta_intermediate
ISO_BI,0.02,scalar_logpf,True,-0.9407907420607842,0.01073486693522624,-0.0008529477234525697,-0.004518896999195953,0.0
ISO_BI,0.02,profile_logpf,True,8.08335157881399,-0.08925046054539967,-0.0030687487228018184,-0.2068636108239592,0.0
ISO_BI,0.04,scalar_logpf,True,0.03550115184968661,-0.0004060220765994549,-0.0009764946327364011,-0.008742012591626097,0.0
ISO_BI,0.04,profile_logpf,True,13.834997973426113,-0.1497650904834536,-0.0035734320788856455,-0.28176934684689725,0.0
ISO_BI,0.08,scalar_logpf,True,3.0342984671535476,-0.03330968787569513,-0.0017403630013346303,-0.19873699622159124,0.0
ISO_BI,0.08,profile_logpf,True,16.79141440599328,-0.1748661210858982,-0.003008680713676835,-0.3660323236683722,0.0
ISO_BI,0.16,scalar_logpf,True,15.64856886348943,-0.1682823584302277,-0.0012426827122646606,-0.10776747043561608,0.0
ISO_BI,0.16,profile_logpf,True,23.696233793323785,-0.2426194147872585,-0.0023420326394516904,-0.28132396219306416,0.0
ISO_BI,0.32,scalar_logpf,True,26.84157270760838,-0.2714161355641472,-0.002627418654221148,-0.3152838352593824,0.0
ISO_BI,0.32,profile_logpf,True,28.061469219785593,-0.2812360416213255,-0.0029972730279570906,-0.39185248368159586,0.0
ISO_BI,0.64,scalar_logpf,True,31.461676480542778,-0.30828432191133825,-0.003664173233847514,-0.492961995760809,0.0
ISO_BI,0.64,profile_logpf,True,30.957686769168234,-0.3045648208290773,-0.0036555925088419677,-0.5072306836692762,0.0
ISO_TRI,0.02,scalar_logpf,True,2.5831556875492794,-0.03865417942146454,-0.0009374423618741501,-0.0011138213270537518,-0.038654179421464374
ISO_TRI,0.02,profile_logpf,True,12.201959794016958,-0.12773615036707753,-0.004826938358715439,-0.24578634968019855,-0.12773615036707742
ISO_TRI,0.04,scalar_logpf,False,,,,,
ISO_TRI,0.04,profile_logpf,False,,,,,
ISO_TRI,0.08,scalar_logpf,False,,,,,
ISO_TRI,0.08,profile_logpf,True,3.8225286681719624,0.017794527465209264,-0.004480234850222843,-0.4164081907336438,0.01779452746520921
ISO_TRI,0.16,scalar_logpf,True,7.782562578056641,-0.09284682008055412,-0.003965176651495307,-0.39272267612471856,-0.092846820080554
ISO_TRI,0.16,profile_logpf,True,8.184153343742786,-0.0754054051859645,-0.004491293607173191,-0.5224157308474686,-0.07540540518596434
ISO_TRI,0.32,scalar_logpf,True,5.615991093537232,-0.03978888821616128,-0.0009951233614228262,-0.18073860646360235,-0.03978888821616117
ISO_TRI,0.32,profile_logpf,True,4.602226555841305,-0.01749850874490827,-0.0011599288518791898,-0.2193574902947149,-0.01749850874490816
ISO_TRI,0.64,scalar_logpf,True,4.280157155237653,-0.032747268734689916,-0.001077036259725217,-0.18032545530313604,-0.032747268734689805
ISO_TRI,0.64,profile_logpf,True,3.8060262960226865,-0.024054810948556993,-0.0011025489287891516,-0.18792101062181032,-0.02405481094855677
