stage,ensemble,arm,family,strength,quantile,converged,objective,mse,objective_gap,steps,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess,initial_population_tv
uptake,ISO_TRI,0,unregularised,0.0,,True,0.011268437802116029,0.0017119653167878741,0.0007643276638382892,3000,0.32230855032889744,0.45014340210220216,0.22754804756890046,64.71074953616778,0.22754804756890043,0.004021522986749616,2.7862477855228778,8.332556736050801,1.0323345794002108,0.0011420024733717754
uptake,ISO_TRI,1,maxent,1e-05,,True,0.01122460358262746,0.0016925770498830044,6.813170458516581e-05,3000,0.321028686490275,0.45107689248308114,0.22789442102664376,64.68582387551022,0.2278944210266438,0.003959296644804869,2.5820363423793,8.832541065105351,1.0271271739168768,8.711197188106257e-05
uptake,ISO_TRI,2,maxent,0.0001,,True,0.011478910482566052,0.0016561489168288178,2.6005476249556257e-07,3000,0.31638041304525333,0.4531368388642525,0.2304827480904942,64.4780791599664,0.23048274809049418,0.0037182662126401724,2.128304092350678,9.17731126801508,1.0321435354168846,2.950042271630815e-05
uptake,ISO_TRI,3,maxent,0.001,,True,0.015413161889648825,0.0017770483803174596,5.174457959068984e-07,1000,0.31099501573267785,0.4470582163717646,0.2419467678955574,63.51865089903408,0.24194676789555747,0.0036493748381218835,2.0271551104036916,9.32335175911195,1.0838991569504588,3.5168114635580894e-06
uptake,ISO_TRI,4,maxent,0.01,,True,0.03559174726503864,0.0032818528906415827,8.426675052813334e-09,1000,0.300244743279087,0.37683893530699264,0.3229163214139203,56.97067712321776,0.32291632141392035,0.0035600281670000143,1.0566985406537737,21.067494069176956,3.0494094164226793,5.713559477760199e-07
uptake,ISO_TRI,5,maxent,0.1,,True,0.07535403386153548,0.00794363239542925,6.3113391385467414e-09,1000,0.19590543623656906,0.36056517786312986,0.443529385900301,48.11084304171253,0.44352938590030105,0.013214819591731262,1.138971789589697,799.3521395830999,1299.3614196962058,2.9178876544133647e-06
uptake,ISO_TRI,6,maxent,1.0,,True,0.09034219449664974,0.013580663092194606,5.814201405134702e-07,1000,0.02207666554001566,0.38104248502704663,0.5968808494329376,31.826429245688004,0.5968808494329376,0.9981463141935402,43.970321546331355,829.326046680155,1348.9094294516806,5.6608529474498626e-06
uptake,ISO_TRI,19,hybrid_logpf,0.1,0.02,True,0.013221565284131195,0.0020082659119684387,0.003755984913337011,3000,0.3560684756171571,0.3689494279411576,0.27498209644168553,60.190913938688475,0.2749820964416854,0.0034008101033767527,5.91236069761346,3.583418520591623,1.0397394042208383,0.0030846311764433643
uptake,ISO_TRI,20,hybrid_logpf,0.1,0.04,False,0.012609943125129516,0.0019129582617823382,0.044416107906952745,10000,0.35284856377438084,0.39750721050989124,0.24964422571572797,62.47437543922276,0.24964422571572795,0.003142842549588493,1.8401044176800054,9.550532183772752,1.05992829487979,0.022306244698983096
uptake,ISO_TRI,21,hybrid_logpf,0.1,0.08,True,0.024698363990019897,0.0037410662308828813,0.0005741275717229397,1000,0.2067055634986607,0.3326710301728974,0.46062340632844195,46.99598350122718,0.4606234063284419,0.003057440848337104,43.76041533467956,1.275568912601205,3.580361141491755,0.0006822537348422364
