arm,quantile,strength,control,matched,reason,control_arm,ess_gap,delta_recovery,delta_tv,delta_intermediate,delta_mse
25,0.16,0.01,hybrid_logpf,True,within tolerance,19,0.0008156633071772731,-7.460613594881693,0.07135397364640089,0.07135397364640084,0.002157847404696109
25,0.16,0.01,maxent,True,within tolerance,1,0.0002571767657491564,-11.955523531703442,0.1184416490614425,0.11844164906144261,0.002473536266781543
26,0.16,0.03,hybrid_logpf,True,within tolerance,21,0.0001276794436777186,5.93897145710649,-0.10950369806535132,-0.10950369806535132,0.0005954741628700576
26,0.16,0.03,maxent,True,within tolerance,4,0.000630266762340629,-4.035722164884092,0.02820338684917023,0.028203386849170342,0.0010546875031113563
27,0.32,0.01,hybrid_logpf,False,outside ESS tolerance,19,0.16102006804929977,,,,
27,0.32,0.01,maxent,False,outside ESS tolerance,5,0.15120605856094527,,,,
28,0.32,0.03,hybrid_logpf,False,outside ESS tolerance,23,0.17386725889112237,,,,
28,0.32,0.03,maxent,False,outside ESS tolerance,5,0.2226970329412737,,,,
29,0.64,0.01,hybrid_logpf,False,outside ESS tolerance,23,0.1793194045221698,,,,
29,0.64,0.01,maxent,False,outside ESS tolerance,5,0.21724488731022626,,,,
30,0.64,0.03,hybrid_logpf,False,outside ESS tolerance,23,0.06585670073471261,,,,
30,0.64,0.03,maxent,False,outside ESS tolerance,5,0.33070759109768344,,,,
