score_metric,Performance_Percentile,Inconsistency
cluster_0,92.9687499999999,9.34698369132933
kl_divergence,75.78125,16.676359536998067
work_density,71.09375000000003,12.429995012105858
work_fitting,71.09375000000001,12.42999501210586
work_opt,71.09374999999997,12.42999501210586
val_loss,66.40624999999999,7.059000143945792
work_shape,63.281250000000014,37.09613764726359
work_magnitude,62.49999999999996,34.815103704037014
cluster_1,42.968750000000114,39.2195329929931
val_mse,37.5,8.226923254495084
d_mse_val,37.49999999999996,8.226923254495084
test_mse,29.687499999999954,9.532870795849053
d_mse_test,29.68749999999993,9.532870795849053
train_mse,24.999999999999986,11.358811481251104
d_mse_train,24.99999999999993,11.358811481251102
work_scale,23.437499999999957,3.737824064258731
