ensemble,split_type,loss_function,score_metric,gt_score_type,value,experiment,mclass,transformed_value,percentile
ISO_BI,sequence_cluster,MSE,kl_divergence,Mean_Recovery,94.2752641974909,TeaA-IsoValidation,GT-only,94.2752641974909,85.41666666666666
ISO_BI,sequence_cluster,Sigma_MSE,kl_divergence,Mean_Recovery,93.78720807937084,TeaA-IsoValidation,GT-only,93.78720807937084,80.72916666666666
ISO_BI,sequence_cluster,mcMSE,kl_divergence,Mean_Recovery,95.63511445688084,TeaA-IsoValidation,GT-only,95.63511445688084,93.75
ISO_BI,spatial,MSE,kl_divergence,Mean_Recovery,83.43815873986793,TeaA-IsoValidation,GT-only,83.43815873986793,45.83333333333333
ISO_BI,spatial,Sigma_MSE,kl_divergence,Mean_Recovery,91.16544781777948,TeaA-IsoValidation,GT-only,91.16544781777948,77.08333333333334
ISO_BI,spatial,mcMSE,kl_divergence,Mean_Recovery,86.6891957729277,TeaA-IsoValidation,GT-only,86.6891957729277,54.166666666666664
ISO_TRI,sequence_cluster,MSE,kl_divergence,Mean_Recovery,50.012322344972354,TeaA-IsoValidation,GT+alt,50.012322344972354,87.5
ISO_TRI,sequence_cluster,Sigma_MSE,kl_divergence,Mean_Recovery,34.11402370165115,TeaA-IsoValidation,GT+alt,34.11402370165115,30.729166666666668
ISO_TRI,sequence_cluster,mcMSE,kl_divergence,Mean_Recovery,50.54367485820949,TeaA-IsoValidation,GT+alt,50.54367485820949,92.70833333333334
ISO_TRI,spatial,MSE,kl_divergence,Mean_Recovery,39.411967900181175,TeaA-IsoValidation,GT+alt,39.411967900181175,58.333333333333336
ISO_TRI,spatial,Sigma_MSE,kl_divergence,Mean_Recovery,48.67647304656917,TeaA-IsoValidation,GT+alt,48.67647304656917,77.08333333333334
ISO_TRI,spatial,mcMSE,kl_divergence,Mean_Recovery,40.85246451978238,TeaA-IsoValidation,GT+alt,40.85246451978238,66.66666666666666
ISO_BI,sequence_cluster,MSE,train_mse,Mean_Recovery,69.06138177073258,TeaA-IsoValidation,GT-only,69.06138177073258,18.229166666666664
ISO_BI,sequence_cluster,Sigma_MSE,train_mse,Mean_Recovery,91.15217852857305,TeaA-IsoValidation,GT-only,91.15217852857305,75.52083333333334
ISO_BI,sequence_cluster,mcMSE,train_mse,Mean_Recovery,69.47653250863671,TeaA-IsoValidation,GT-only,69.47653250863671,29.6875
ISO_BI,spatial,MSE,train_mse,Mean_Recovery,68.59755561427939,TeaA-IsoValidation,GT-only,68.59755561427939,8.854166666666668
ISO_BI,spatial,Sigma_MSE,train_mse,Mean_Recovery,80.15755321341305,TeaA-IsoValidation,GT-only,80.15755321341305,41.14583333333333
ISO_BI,spatial,mcMSE,train_mse,Mean_Recovery,69.06283227608236,TeaA-IsoValidation,GT-only,69.06283227608236,22.395833333333336
ISO_TRI,sequence_cluster,MSE,train_mse,Mean_Recovery,33.797959874083794,TeaA-IsoValidation,GT+alt,33.797959874083794,25.520833333333332
ISO_TRI,sequence_cluster,Sigma_MSE,train_mse,Mean_Recovery,32.92273263775501,TeaA-IsoValidation,GT+alt,32.92273263775501,10.9375
ISO_TRI,sequence_cluster,mcMSE,train_mse,Mean_Recovery,33.64393256531906,TeaA-IsoValidation,GT+alt,33.64393256531906,14.0625
ISO_TRI,spatial,MSE,train_mse,Mean_Recovery,35.76538973397204,TeaA-IsoValidation,GT+alt,35.76538973397204,41.14583333333333
ISO_TRI,spatial,Sigma_MSE,train_mse,Mean_Recovery,31.268347446671243,TeaA-IsoValidation,GT+alt,31.268347446671243,4.6875
ISO_TRI,spatial,mcMSE,train_mse,Mean_Recovery,36.29290866799151,TeaA-IsoValidation,GT+alt,36.29290866799151,44.27083333333333
