Term,Level,Coefficient,Lower_CI,Upper_CI,Is_Reference
metric,val_loss,36.53479582933729,-54.216932179039084,127.28652383771367,False
metric,d_mse_test,22.56350088673387,-68.1882271216426,113.31522889511032,False
metric,d_mse_train,22.29597733247767,-68.45575067589849,113.04770534085381,False
metric,d_mse_val,26.767224895830715,-63.98450311254579,117.51895290420723,False
metric,test_mse,22.563500886733735,-68.18822712164231,113.31522889510978,False
metric,train_mse,22.295977332477673,-68.45575067589837,113.04770534085372,False
metric,val_mse,26.767224895830502,-63.98450311254563,117.51895290420663,False
metric,kl_divergence,25.508628946079675,-65.2430990622963,116.26035695445563,False
metric,work_density,36.10948244943692,-54.642245558939614,126.86121045781346,False
metric,work_fitting,35.94568561166353,-54.806042396712975,126.69741362004004,False
metric,work_magnitude,67.03704972797279,-23.71467828040369,157.78877773634926,False
metric,work_opt,36.151446928535904,-54.600281079840684,126.90317493691249,False
metric,work_scale,94.13459683648472,3.3828688281081867,184.88632484486124,False
metric,work_shape,27.24211727724718,-63.509610731129385,117.99384528562373,False
metric,cluster_0,99.4857447680411,8.7340167596642,190.237472776418,False
metric,cluster_1,25.384596836484775,-65.36713117189144,116.136324844861,False
mclass,GT+alt,0.0,0.0,0.0,True
mclass,GT-only,-14.045198112946517,-141.3803296251212,113.28993339922815,False
exp,MoPrP-RW+BV,0.0,0.0,0.0,True
exp,MoPrP-Reweighting,1.9153062053295253,-11.728613845426901,15.559226256085951,False
exp,TeaA-IsoValidation,8.616783930182846,-118.93745026732542,136.1710181276911,False
loss,MSE,0.0,0.0,0.0,True
loss,Sigma_MSE,-18.897975552305585,-32.54189560306119,-5.254055501549974,False
loss,mcMSE,-11.899277635639065,-25.54319768639468,1.7446424151165516,False
split,sequence_cluster,0.0,0.0,0.0,True
split,spatial,-4.199536021766419,-15.614858533460332,7.215786489927495,False
