Term,Level,Coefficient,Lower_CI,Upper_CI,Is_Reference
metric,val_loss,40.19420839437049,-7.382868354855482,87.77128514359646,False
metric,d_mse_test,43.20211396075557,-4.3749627884701,90.77919070998124,False
metric,d_mse_train,50.28497350158303,2.7078967523573922,97.86205025080866,False
metric,d_mse_val,33.833544001907875,-13.743532747318056,81.4106207511338,False
metric,test_mse,43.202113960755675,-4.374962788469944,90.7791907099813,False
metric,train_mse,50.28497350158309,2.707896752357378,97.8620502508088,False
metric,val_mse,33.83354400190791,-13.74353274731773,81.41062075113355,False
metric,kl_divergence,34.27721684141409,-13.299859907811651,81.85429359063983,False
metric,work_density,18.512617263766202,-29.064459485459707,66.08969401299211,False
metric,work_fitting,17.946773642367017,-29.630303106858936,65.52385039159297,False
metric,work_magnitude,13.392443178862578,-34.184633570363424,60.96951992808858,False
metric,work_opt,18.09999475456111,-29.47708199466487,65.67707150378709,False
metric,work_scale,-2.6538937282199173,-50.23097047744572,44.92318302100588,False
metric,work_shape,34.451589404766864,-13.125487344459003,82.02866615399273,False
metric,cluster_0,-6.914134414811261,-54.49121116403925,40.662942334416734,False
metric,cluster_1,34.44845898999535,-13.1286177592306,82.02553573922131,False
mclass,GT+alt,0.0,0.0,0.0,True
mclass,GT-only,10.28252416329354,-97.58290207753824,118.14795040412533,False
exp,MoPrP-RW+BV,0.0,0.0,0.0,True
exp,MoPrP-Reweighting,1.8254548408022322,-18.682016159607713,22.33292584121218,False
exp,TeaA-IsoValidation,22.500279198973715,-29.407291968638695,74.40785036658613,False
loss,MSE,0.0,0.0,0.0,True
loss,Sigma_MSE,36.17672291260677,15.669251912196781,56.684193913016756,False
loss,mcMSE,25.314352867122604,4.806881866712619,45.821823867532586,False
split,sequence_cluster,0.0,0.0,0.0,True
split,spatial,7.88674159356613,-9.271039637783508,25.044522824915767,False
