Term,Level,EMM,SE,Lower_CI,Upper_CI
metric,cluster_0,78.02753411325286,89.18970738080672,-96.78429235312832,252.83936057963405
metric,cluster_1,-9.403935184994866,89.71419619526691,-185.24375972771801,166.43588935772826
metric,d_mse_test,29.127747996724857,89.71419619526702,-146.7120765459985,204.9675725394482
metric,d_mse_train,26.33964831078164,89.71419619526706,-149.5001762319418,202.1794728535051
metric,d_mse_val,38.87975146217863,89.71419619526696,-136.96007308054462,214.71957600490188
metric,kl_divergence,45.38669929085525,89.71419619526667,-130.4531252518674,221.22652383357791
metric,test_mse,29.127747996724892,89.71419619526688,-146.71207654599817,204.96757253944799
metric,train_mse,26.33964831078164,89.71419619526688,-149.50017623194145,202.1794728535047
metric,val_loss,21.236564598414255,89.7141961952669,-154.60325994430886,197.07638914113735
metric,val_mse,38.879751462178675,89.71419619526682,-136.9600730805443,214.71957600490163
metric,work_density,45.01527980850739,89.71419619526706,-130.82454473421606,220.85510435123084
metric,work_fitting,45.15471017454594,89.71419619526692,-130.6851143681772,220.99453471726912
metric,work_magnitude,7.830267219163669,89.71419619526696,-168.0095573235596,183.6700917618869
metric,work_opt,44.86840413166098,89.71419619526708,-130.9714204110625,220.70822867438446
metric,work_scale,33.89410060664469,89.71419619526695,-141.94572393607854,209.7339251493679
metric,work_shape,29.492906649529708,89.71419619526701,-146.34691789319362,205.33273119225305
mclass,GT+alt,50.606115984583795,125.75305816012104,-195.86987800925345,297.08210997842104
mclass,GT-only,50.606115984583795,125.75305816012104,-195.86987800925345,297.08210997842104
exp,MoPrP-RW+BV,52.80722059798756,119.33258861131596,-181.0846530801917,286.6990942761668
exp,MoPrP-Reweighting,52.80722059798756,119.33258861131596,-181.0846530801917,286.6990942761668
exp,TeaA-IsoValidation,52.80722059798756,119.33258861131596,-181.0846530801917,286.6990942761668
