value,term,type,level
-2.637217072292517e-10,ensemble[C(ensemble)[AF2_MSAss]],ensemble,C(ensemble
-8.535064946867654e-11,ensemble[C(ensemble)[AF2_filtered]],ensemble,C(ensemble
-3.9479591891329064e-10,ensemble[C(ensemble)[ISO_BI]],ensemble,C(ensemble
3.9332096529344026e-13,ensemble[C(ensemble)[ISO_TRI]],ensemble,C(ensemble
-2.399082443902408,loss[C(loss)[MSE]],loss,C(loss
6.171674514135625,loss[C(loss)[Sigma_MSE]],loss,C(loss
-3.772592070234018,loss[C(loss)[mcMSE]],loss,C(loss
8.799870987521366e-06,loss_metric[C(loss)[MSE]:C(metric)[cluster_0]],other,loss_metric[C(loss)[MSE]:C(metric)[cluster_0]]
-1.6394080384468778e-05,loss_metric[C(loss)[Sigma_MSE]:C(metric)[cluster_0]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[cluster_0]]
7.594209396947827e-06,loss_metric[C(loss)[mcMSE]:C(metric)[cluster_0]],other,loss_metric[C(loss)[mcMSE]:C(metric)[cluster_0]]
-5.416994558462684e-07,loss_metric[C(loss)[MSE]:C(metric)[cluster_1]],other,loss_metric[C(loss)[MSE]:C(metric)[cluster_1]]
-2.239700671671575e-05,loss_metric[C(loss)[Sigma_MSE]:C(metric)[cluster_1]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[cluster_1]]
2.293870617256165e-05,loss_metric[C(loss)[mcMSE]:C(metric)[cluster_1]],other,loss_metric[C(loss)[mcMSE]:C(metric)[cluster_1]]
-4.870144679822335e-06,loss_metric[C(loss)[MSE]:C(metric)[d_mse_test]],other,loss_metric[C(loss)[MSE]:C(metric)[d_mse_test]]
-4.559950474476932e-06,loss_metric[C(loss)[Sigma_MSE]:C(metric)[d_mse_test]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[d_mse_test]]
9.430095154298897e-06,loss_metric[C(loss)[mcMSE]:C(metric)[d_mse_test]],other,loss_metric[C(loss)[mcMSE]:C(metric)[d_mse_test]]
8.903789049257937e-06,loss_metric[C(loss)[MSE]:C(metric)[d_mse_train]],other,loss_metric[C(loss)[MSE]:C(metric)[d_mse_train]]
-4.282862610239208e-07,loss_metric[C(loss)[Sigma_MSE]:C(metric)[d_mse_train]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[d_mse_train]]
-8.475502788234486e-06,loss_metric[C(loss)[mcMSE]:C(metric)[d_mse_train]],other,loss_metric[C(loss)[mcMSE]:C(metric)[d_mse_train]]
-1.7884960652952494e-05,loss_metric[C(loss)[MSE]:C(metric)[d_mse_val]],other,loss_metric[C(loss)[MSE]:C(metric)[d_mse_val]]
2.5378769411161617e-05,loss_metric[C(loss)[Sigma_MSE]:C(metric)[d_mse_val]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[d_mse_val]]
-7.4938087582096e-06,loss_metric[C(loss)[mcMSE]:C(metric)[d_mse_val]],other,loss_metric[C(loss)[mcMSE]:C(metric)[d_mse_val]]
4.759926390317036e-05,loss_metric[C(loss)[MSE]:C(metric)[kl_divergence]],other,loss_metric[C(loss)[MSE]:C(metric)[kl_divergence]]
-4.7656465794075015e-05,loss_metric[C(loss)[Sigma_MSE]:C(metric)[kl_divergence]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[kl_divergence]]
5.720189090453896e-08,loss_metric[C(loss)[mcMSE]:C(metric)[kl_divergence]],other,loss_metric[C(loss)[mcMSE]:C(metric)[kl_divergence]]
-4.870144679822314e-06,loss_metric[C(loss)[MSE]:C(metric)[test_mse]],other,loss_metric[C(loss)[MSE]:C(metric)[test_mse]]
-4.559950474476916e-06,loss_metric[C(loss)[Sigma_MSE]:C(metric)[test_mse]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[test_mse]]
9.430095154298923e-06,loss_metric[C(loss)[mcMSE]:C(metric)[test_mse]],other,loss_metric[C(loss)[mcMSE]:C(metric)[test_mse]]
8.90378904925795e-06,loss_metric[C(loss)[MSE]:C(metric)[train_mse]],other,loss_metric[C(loss)[MSE]:C(metric)[train_mse]]
-4.282862610239066e-07,loss_metric[C(loss)[Sigma_MSE]:C(metric)[train_mse]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[train_mse]]
-8.475502788234469e-06,loss_metric[C(loss)[mcMSE]:C(metric)[train_mse]],other,loss_metric[C(loss)[mcMSE]:C(metric)[train_mse]]
2.378470808847141e-05,loss_metric[C(loss)[MSE]:C(metric)[val_loss]],other,loss_metric[C(loss)[MSE]:C(metric)[val_loss]]
