Term,Level,EMM,SE,Lower_CI,Upper_CI
metric,cluster_0,89.47825292397651,99.05901783317276,-104.67742202904209,283.63392787699513
metric,cluster_1,13.52711446827073,99.43896001084458,-181.37324715298465,208.4274760895261
metric,d_mse_test,47.4917763157908,99.43896001084481,-147.408585305465,242.39213793704664
metric,d_mse_train,43.80803958198094,99.43896001084457,-151.0923220392744,238.7084012032363
metric,d_mse_val,51.9816371561633,99.43896001084467,-142.91872446509223,246.88199877741886
metric,kl_divergence,68.91760409898332,99.43896001084448,-125.98275752227185,263.8179657202385
metric,test_mse,47.4917763157907,99.43896001084438,-147.40858530546427,242.39213793704567
metric,train_mse,43.808039581980914,99.43896001084431,-151.09232203927394,238.70840120323578
metric,val_loss,43.84222032705352,99.43896001084464,-151.05814129420196,238.742581948309
metric,val_mse,51.98163715616332,99.4389600108446,-142.91872446509208,246.88199877741872
metric,work_density,52.47192779402345,99.43896001084477,-142.42843382723228,247.3722894152792
metric,work_fitting,53.42763496318088,99.43896001084487,-141.47272665807506,248.32799658443682
metric,work_magnitude,28.092003736193618,99.43896001084457,-166.80835788506172,222.99236535744896
metric,work_opt,52.37919983214337,99.43896001084471,-142.52116178911226,247.279561453399
metric,work_scale,65.36678308425516,99.43896001084468,-129.5335785370004,260.26714470551076
metric,work_shape,50.81441547541826,99.43896001084461,-144.08594614583717,245.71477709667369
mclass,GT+alt,50.97161306068045,139.86337001376106,-223.16059216629122,325.10381828765213
mclass,GT-only,50.97161306068045,139.86337001376106,-223.16059216629122,325.10381828765213
exp,MoPrP-RW+BV,52.72396848583478,132.70468552444035,-207.3772151420683,312.8251521137379
exp,MoPrP-Reweighting,52.72396848583478,132.70468552444035,-207.3772151420683,312.8251521137379
exp,TeaA-IsoValidation,52.72396848583478,132.70468552444035,-207.3772151420683,312.8251521137379
