value,term,type,level
9.557225316364524e-11,ensemble[C(ensemble)[AF2_MSAss]],ensemble,C(ensemble
2.998823249777644e-10,ensemble[C(ensemble)[AF2_filtered]],ensemble,C(ensemble
1.78466554377011e-10,ensemble[C(ensemble)[ISO_BI]],ensemble,C(ensemble
-9.61573894075043e-10,ensemble[C(ensemble)[ISO_TRI]],ensemble,C(ensemble
-0.7132682908903462,loss[C(loss)[MSE]],loss,C(loss
1.3128711107437645,loss[C(loss)[Sigma_MSE]],loss,C(loss
-0.5996028198534454,loss[C(loss)[mcMSE]],loss,C(loss
-3.384298762957207e-09,loss_metric[C(loss)[MSE]:C(metric)[cluster_0]],other,loss_metric[C(loss)[MSE]:C(metric)[cluster_0]]
3.3463950439755328e-09,loss_metric[C(loss)[Sigma_MSE]:C(metric)[cluster_0]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[cluster_0]]
3.790371898161823e-11,loss_metric[C(loss)[mcMSE]:C(metric)[cluster_0]],other,loss_metric[C(loss)[mcMSE]:C(metric)[cluster_0]]
-2.344586603448411e-09,loss_metric[C(loss)[MSE]:C(metric)[cluster_1]],other,loss_metric[C(loss)[MSE]:C(metric)[cluster_1]]
2.829429148834731e-10,loss_metric[C(loss)[Sigma_MSE]:C(metric)[cluster_1]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[cluster_1]]
2.061643688564975e-09,loss_metric[C(loss)[mcMSE]:C(metric)[cluster_1]],other,loss_metric[C(loss)[mcMSE]:C(metric)[cluster_1]]
-4.553060418417512e-09,loss_metric[C(loss)[MSE]:C(metric)[d_mse_test]],other,loss_metric[C(loss)[MSE]:C(metric)[d_mse_test]]
7.241047863527132e-09,loss_metric[C(loss)[Sigma_MSE]:C(metric)[d_mse_test]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[d_mse_test]]
-2.687987445109674e-09,loss_metric[C(loss)[mcMSE]:C(metric)[d_mse_test]],other,loss_metric[C(loss)[mcMSE]:C(metric)[d_mse_test]]
-2.314102470546499e-09,loss_metric[C(loss)[MSE]:C(metric)[d_mse_train]],other,loss_metric[C(loss)[MSE]:C(metric)[d_mse_train]]
7.922876302767154e-09,loss_metric[C(loss)[Sigma_MSE]:C(metric)[d_mse_train]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[d_mse_train]]
-5.6087738322206865e-09,loss_metric[C(loss)[mcMSE]:C(metric)[d_mse_train]],other,loss_metric[C(loss)[mcMSE]:C(metric)[d_mse_train]]
-1.0762434471751324e-09,loss_metric[C(loss)[MSE]:C(metric)[d_mse_val]],other,loss_metric[C(loss)[MSE]:C(metric)[d_mse_val]]
3.5833583703999363e-09,loss_metric[C(loss)[Sigma_MSE]:C(metric)[d_mse_val]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[d_mse_val]]
-2.5071149232248356e-09,loss_metric[C(loss)[mcMSE]:C(metric)[d_mse_val]],other,loss_metric[C(loss)[mcMSE]:C(metric)[d_mse_val]]
7.546803226796059e-09,loss_metric[C(loss)[MSE]:C(metric)[kl_divergence]],other,loss_metric[C(loss)[MSE]:C(metric)[kl_divergence]]
-8.324963306413136e-09,loss_metric[C(loss)[Sigma_MSE]:C(metric)[kl_divergence]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[kl_divergence]]
7.7816007961701e-10,loss_metric[C(loss)[mcMSE]:C(metric)[kl_divergence]],other,loss_metric[C(loss)[mcMSE]:C(metric)[kl_divergence]]
-4.553060418417484e-09,loss_metric[C(loss)[MSE]:C(metric)[test_mse]],other,loss_metric[C(loss)[MSE]:C(metric)[test_mse]]
7.241047863527159e-09,loss_metric[C(loss)[Sigma_MSE]:C(metric)[test_mse]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[test_mse]]
-2.687987445109647e-09,loss_metric[C(loss)[mcMSE]:C(metric)[test_mse]],other,loss_metric[C(loss)[mcMSE]:C(metric)[test_mse]]
-2.3141024705464845e-09,loss_metric[C(loss)[MSE]:C(metric)[train_mse]],other,loss_metric[C(loss)[MSE]:C(metric)[train_mse]]
7.922876302767167e-09,loss_metric[C(loss)[Sigma_MSE]:C(metric)[train_mse]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[train_mse]]
-5.608773832220672e-09,loss_metric[C(loss)[mcMSE]:C(metric)[train_mse]],other,loss_metric[C(loss)[mcMSE]:C(metric)[train_mse]]
1.1576500755103257e-08,loss_metric[C(loss)[MSE]:C(metric)[val_loss]],other,loss_metric[C(loss)[MSE]:C(metric)[val_loss]]
-1.028082527340146e-08,loss_metric[C(loss)[Sigma_MSE]:C(metric)[val_loss]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[val_loss]]
-1.2956754817018171e-09,loss_metric[C(loss)[mcMSE]:C(metric)[val_loss]],other,loss_metric[C(loss)[mcMSE]:C(metric)[val_loss]]
-1.0762434471751365e-09,loss_metric[C(loss)[MSE]:C(metric)[val_mse]],other,loss_metric[C(loss)[MSE]:C(metric)[val_mse]]
3.5833583703999326e-09,loss_metric[C(loss)[Sigma_MSE]:C(metric)[val_mse]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[val_mse]]
-2.5071149232248398e-09,loss_metric[C(loss)[mcMSE]:C(metric)[val_mse]],other,loss_metric[C(loss)[mcMSE]:C(metric)[val_mse]]
-4.355828078541985e-09,loss_metric[C(loss)[MSE]:C(metric)[work_density]],other,loss_metric[C(loss)[MSE]:C(metric)[work_density]]
-2.443309705437597e-10,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_density]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_density]]
4.600159049085646e-09,loss_metric[C(loss)[mcMSE]:C(metric)[work_density]],other,loss_metric[C(loss)[mcMSE]:C(metric)[work_density]]
-2.842189266184407e-09,loss_metric[C(loss)[MSE]:C(metric)[work_fitting]],other,loss_metric[C(loss)[MSE]:C(metric)[work_fitting]]
6.547477225107478e-10,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_fitting]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_fitting]]
2.1874415436736107e-09,loss_metric[C(loss)[mcMSE]:C(metric)[work_fitting]],other,loss_metric[C(loss)[mcMSE]:C(metric)[work_fitting]]
-1.1518035055335062e-10,loss_metric[C(loss)[MSE]:C(metric)[work_magnitude]],other,loss_metric[C(loss)[MSE]:C(metric)[work_magnitude]]
-5.470384102599638e-10,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_magnitude]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_magnitude]]
6.622187608133383e-10,loss_metric[C(loss)[mcMSE]:C(metric)[work_magnitude]],other,loss_metric[C(loss)[mcMSE]:C(metric)[work_magnitude]]
-3.981889381611528e-09,loss_metric[C(loss)[MSE]:C(metric)[work_opt]],other,loss_metric[C(loss)[MSE]:C(metric)[work_opt]]
-4.727587397555969e-10,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_opt]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_opt]]
4.454648121367083e-09,loss_metric[C(loss)[mcMSE]:C(metric)[work_opt]],other,loss_metric[C(loss)[mcMSE]:C(metric)[work_opt]]
3.3919175260382556e-09,loss_metric[C(loss)[MSE]:C(metric)[work_scale]],other,loss_metric[C(loss)[MSE]:C(metric)[work_scale]]
-2.2832113928016953e-09,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_scale]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_scale]]
-1.1087061332366063e-09,loss_metric[C(loss)[mcMSE]:C(metric)[work_scale]],other,loss_metric[C(loss)[mcMSE]:C(metric)[work_scale]]
-2.4646940870820752e-09,loss_metric[C(loss)[MSE]:C(metric)[work_shape]],other,loss_metric[C(loss)[MSE]:C(metric)[work_shape]]
4.045599438969648e-09,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_shape]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_shape]]
-1.5809053518876252e-09,loss_metric[C(loss)[mcMSE]:C(metric)[work_shape]],other,loss_metric[C(loss)[mcMSE]:C(metric)[work_shape]]
-6.199999940176494,split[C(split)[sequence_cluster]],split,C(split
6.19999994017561,split[C(split)[spatial]],split,C(split
1.4525572053774823e-08,split_metric[C(split)[sequence_cluster]:C(metric)[cluster_0]],other,split_metric[C(split)[sequence_cluster]:C(metric)[cluster_0]]
-1.4525572053774877e-08,split_metric[C(split)[spatial]:C(metric)[cluster_0]],other,split_metric[C(split)[spatial]:C(metric)[cluster_0]]
-1.8680130210941187e-09,split_metric[C(split)[sequence_cluster]:C(metric)[cluster_1]],other,split_metric[C(split)[sequence_cluster]:C(metric)[cluster_1]]
1.868013021094155e-09,split_metric[C(split)[spatial]:C(metric)[cluster_1]],other,split_metric[C(split)[spatial]:C(metric)[cluster_1]]
-1.5214779758540195e-09,split_metric[C(split)[sequence_cluster]:C(metric)[d_mse_test]],other,split_metric[C(split)[sequence_cluster]:C(metric)[d_mse_test]]
1.5214779758539655e-09,split_metric[C(split)[spatial]:C(metric)[d_mse_test]],other,split_metric[C(split)[spatial]:C(metric)[d_mse_test]]
-4.98009959242556e-09,split_metric[C(split)[sequence_cluster]:C(metric)[d_mse_train]],other,split_metric[C(split)[sequence_cluster]:C(metric)[d_mse_train]]
4.980099592425526e-09,split_metric[C(split)[spatial]:C(metric)[d_mse_train]],other,split_metric[C(split)[spatial]:C(metric)[d_mse_train]]
-6.570551697676005e-09,split_metric[C(split)[sequence_cluster]:C(metric)[d_mse_val]],other,split_metric[C(split)[sequence_cluster]:C(metric)[d_mse_val]]
6.570551697675975e-09,split_metric[C(split)[spatial]:C(metric)[d_mse_val]],other,split_metric[C(split)[spatial]:C(metric)[d_mse_val]]
1.0493928895051976e-08,split_metric[C(split)[sequence_cluster]:C(metric)[kl_divergence]],other,split_metric[C(split)[sequence_cluster]:C(metric)[kl_divergence]]
-1.049392889505204e-08,split_metric[C(split)[spatial]:C(metric)[kl_divergence]],other,split_metric[C(split)[spatial]:C(metric)[kl_divergence]]
-1.5214779758539786e-09,split_metric[C(split)[sequence_cluster]:C(metric)[test_mse]],other,split_metric[C(split)[sequence_cluster]:C(metric)[test_mse]]
1.521477975854007e-09,split_metric[C(split)[spatial]:C(metric)[test_mse]],other,split_metric[C(split)[spatial]:C(metric)[test_mse]]
-4.980099592425539e-09,split_metric[C(split)[sequence_cluster]:C(metric)[train_mse]],other,split_metric[C(split)[sequence_cluster]:C(metric)[train_mse]]
