Term,Level,EMM,SE,Lower_CI,Upper_CI
metric,cluster_0,34.98111598460666,83.2063805331694,-128.10338986040534,198.0656218296187
metric,cluster_1,48.799443632431235,83.83069596293142,-115.50872045491434,213.1076077197768
metric,d_mse_test,31.716347195350828,83.83069596293137,-132.59181689199465,196.02451128269632
metric,d_mse_train,34.79549084923865,83.83069596293119,-129.51267323810646,199.10365493658378
metric,d_mse_val,27.18841374289258,83.83069596293136,-137.11975034445288,191.49657783023804
metric,kl_divergence,18.588149095935663,83.83069596293134,-145.72001499140976,182.8963131832811
metric,test_mse,31.716347195350835,83.83069596293127,-132.59181689199445,196.02451128269612
metric,train_mse,34.795490849238675,83.8306959629314,-129.51267323810686,199.10365493658423
metric,val_loss,26.969792343715596,83.83069596293147,-137.3383717436301,191.27795643106128
metric,val_mse,27.188413742892564,83.83069596293156,-137.11975034445328,191.49657783023844
metric,work_density,28.25453148709876,83.83069596293137,-136.05363260024671,192.56269557444426
metric,work_fitting,28.299880198383136,83.83069596293143,-136.00828388896247,192.60804428572874
metric,work_magnitude,39.07434481285145,83.83069596293147,-125.23381927449424,203.38250890019714
metric,work_opt,22.10470475978667,83.8306959629314,-142.20345932755887,186.41286884713222
metric,work_scale,12.253966320323798,83.8306959629314,-152.05419776702175,176.56213040766934
metric,work_shape,17.628127030741823,83.83069596293142,-146.68003705660374,181.9362911180874
mclass,GT+alt,50.36245126721491,117.30487847009735,-179.5551105341759,280.28001306860574
mclass,GT-only,50.36245126721491,117.30487847009735,-179.5551105341759,280.28001306860574
exp,MoPrP-RW+BV,50.250263970190865,111.2925164524261,-167.88306827656427,268.383596216946
exp,MoPrP-Reweighting,50.250263970190865,111.2925164524261,-167.88306827656427,268.383596216946
exp,TeaA-IsoValidation,50.250263970190865,111.2925164524261,-167.88306827656427,268.383596216946
