Term,Level,Coefficient,Lower_CI,Upper_CI,Is_Reference
metric,cluster_0,92.67288350109142,-275.1959914063299,460.5417584085127,False
metric,cluster_1,16.721745045385642,-351.14712986204404,384.59061995281536,False
metric,d_mse_test,50.68640689290571,-317.1824680145249,418.55528180033633,False
metric,d_mse_train,47.00267015909585,-320.8662047483341,414.87154506652575,False
metric,d_mse_val,55.17626773327821,-312.6926071741521,423.04514264070855,False
metric,kl_divergence,72.11223467609823,-295.75664023133095,439.9811095835274,False
metric,test_mse,50.68640689290561,-317.1824680145238,418.555281800335,False
metric,train_mse,47.00267015909582,-320.8662047483333,414.87154506652496,False
metric,val_loss,47.036850904168425,-320.8320240032616,414.9057258115985,False
metric,val_mse,55.17626773327823,-312.69260717415153,423.045142640708,False
metric,work_density,55.66655837113836,-312.2023165362922,423.5354332785689,False
metric,work_fitting,56.622265540295786,-311.24660936713485,424.4911404477265,False
metric,work_magnitude,31.286634313308532,-336.5822405941217,399.15550922073874,False
metric,work_opt,55.57383040925828,-312.2950444981725,423.44270531668906,False
metric,work_scale,68.56141366137007,-299.30746124606037,436.4302885688005,False
metric,work_shape,54.009046052533165,-313.8598288548974,421.8779209599637,False
mclass,GT+alt,0.0,0.0,0.0,True
mclass,GT-only,-3.401322558131829,-523.1765277655104,516.3738826492468,False
exp,MoPrP-RW+BV,0.0,0.0,0.0,True
exp,MoPrP-Reweighting,2.421671946072359,-15.123165855057877,19.966509747202593,False
exp,TeaA-IsoValidation,-9.022193793620179,-528.8844801057228,510.8400925184824,False
