Term,Level,Coefficient,Lower_CI,Upper_CI,Is_Reference
metric,cluster_0,56.15084199697547,-252.87197320029952,365.1736571942505,False
metric,cluster_1,69.96916964480003,-239.05364555247803,378.9919848420781,False
metric,d_mse_test,52.88607320771963,-256.13674198955835,361.9088884049976,False
metric,d_mse_train,55.96521686160746,-253.05759833567038,364.9880320588853,False
metric,d_mse_val,48.358139755261384,-260.66467544201663,357.3809549525394,False
metric,kl_divergence,39.75787510830447,-269.26494008897345,348.78069030558237,False
metric,test_mse,52.88607320771964,-256.1367419895583,361.9088884049975,False
metric,train_mse,55.96521686160749,-253.0575983356705,364.98803205888544,False
metric,val_loss,48.1395183560844,-260.883296841194,357.1623335533628,False
metric,val_mse,48.35813975526137,-260.66467544201697,357.38095495253975,False
metric,work_density,49.424257499467565,-259.59855769781046,358.4470726967456,False
metric,work_fitting,49.46960621075194,-259.55320898652633,358.49242140803017,False
metric,work_magnitude,60.24407082522025,-248.7787443720581,369.2668860224986,False
metric,work_opt,43.274430772155476,-265.74838442512265,352.2972459694336,False
metric,work_scale,33.4236923326926,-275.59912286458535,342.4465075299706,False
metric,work_shape,38.79785304311063,-270.22496215416743,347.8206682403887,False
mclass,GT+alt,0.0,0.0,0.0,True
mclass,GT-only,8.937757201788871,-427.5497407392401,445.4252551428179,False
exp,MoPrP-RW+BV,0.0,0.0,0.0,True
exp,MoPrP-Reweighting,-36.198931936319354,-56.829967837222114,-15.567896035416592,False
exp,TeaA-IsoValidation,-40.59606481436559,-477.2269436339445,396.03481400521326,False
