index,Primary_cluster,Secondary_cluster,n_Ca,n_CDZ_ligands,n_Ca_final,n_CDZ_ligands_final,dir_prefix
0,0,0,0,0,0,0,apo_protonated/cluster_0_0_ca0_cdz0/prot_rank1_plddt0.7665103
1,0,0,0,0,0,0,apo_protonated/cluster_0_0_ca0_cdz0/prot_rank2_plddt0.7652119
2,0,0,0,0,0,0,apo_protonated/cluster_0_0_ca0_cdz0/prot_rank3_plddt0.7643986
3,0,0,0,0,0,0,apo_protonated/cluster_0_0_ca0_cdz0/prot_rank4_plddt0.7635257
4,0,0,0,0,0,0,apo_protonated/cluster_0_0_ca0_cdz0/prot_rank5_plddt0.7631339
5,0,1,0,0,0,0,apo_protonated/cluster_0_1_ca0_cdz0/prot_rank1_plddt0.7655679
6,0,1,0,0,0,0,apo_protonated/cluster_0_1_ca0_cdz0/prot_rank2_plddt0.7651504
7,0,1,0,0,0,0,apo_protonated/cluster_0_1_ca0_cdz0/prot_rank3_plddt0.7650589
8,0,1,0,0,0,0,apo_protonated/cluster_0_1_ca0_cdz0/prot_rank4_plddt0.7644119
9,0,1,0,0,0,0,apo_protonated/cluster_0_1_ca0_cdz0/prot_rank5_plddt0.7636389
10,0,2,0,0,0,0,apo_protonated/cluster_0_2_ca0_cdz0/prot_rank1_plddt0.7656113
11,0,2,0,0,0,0,apo_protonated/cluster_0_2_ca0_cdz0/prot_rank2_plddt0.7648194
12,0,2,0,0,0,0,apo_protonated/cluster_0_2_ca0_cdz0/prot_rank3_plddt0.7642940
13,0,2,0,0,0,0,apo_protonated/cluster_0_2_ca0_cdz0/prot_rank4_plddt0.7638746
14,0,2,0,0,0,0,apo_protonated/cluster_0_2_ca0_cdz0/prot_rank5_plddt0.7637045
15,0,3,0,0,0,0,apo_protonated/cluster_0_3_ca0_cdz0/prot_rank1_plddt0.7647629
16,0,3,0,0,0,0,apo_protonated/cluster_0_3_ca0_cdz0/prot_rank2_plddt0.7641051
17,0,3,0,0,0,0,apo_protonated/cluster_0_3_ca0_cdz0/prot_rank3_plddt0.7639992
18,0,3,0,0,0,0,apo_protonated/cluster_0_3_ca0_cdz0/prot_rank4_plddt0.7634643
19,0,3,0,0,0,0,apo_protonated/cluster_0_3_ca0_cdz0/prot_rank5_plddt0.7631935
20,0,4,0,0,0,0,apo_protonated/cluster_0_4_ca0_cdz0/prot_rank1_plddt0.7646403
21,0,4,0,0,0,0,apo_protonated/cluster_0_4_ca0_cdz0/prot_rank2_plddt0.7641702
