score_metric,Performance_Percentile,Inconsistency,Inconsistency_Percentile
cluster_0,82.7256944444445,12.094592114479005,93.75
kl_divergence,71.13715277777781,19.809864742344047,25.0
work_magnitude,70.9201388888889,25.13590711282104,18.75
work_opt,70.09548611111114,18.98932600704371,43.75
work_density,70.09548611111113,18.989326007043708,53.125
work_fitting,70.0954861111111,18.989326007043708,53.125
work_shape,70.05208333333334,25.271043730523797,12.5
val_loss,55.81597222222222,10.680528755082706,100.0
cluster_1,42.187500000000014,35.09683074752976,6.25
val_mse,36.892361111111086,19.53438740715443,31.25
d_mse_val,36.89236111111108,19.534387407154426,37.5
d_mse_test,28.03819444444451,16.252417026896584,65.625
test_mse,28.038194444444418,16.252417026896584,65.625
train_mse,26.64930555555556,15.205787821132347,75.0
d_mse_train,26.649305555555546,15.205787821132345,81.25
work_scale,22.048611111111132,13.073826083179839,87.5
