score_metric,Performance_Percentile,Inconsistency,Inconsistency_Percentile
cluster_0,89.32342430149426,15.901740231839788,75.0
work_scale,88.27160493827141,15.024348922891116,85.0
cluster_5,79.16666666666636,16.976518602169364,65.0
cluster_3,72.07602339181265,20.413404293528803,25.0
cluster_2,66.70727745289123,14.226855942848335,100.0
val_mse,52.30263157894717,14.289574786233105,90.0
d_mse_val,52.302631578947135,14.289574786233104,95.0
val_loss,47.27704678362551,24.007984202821543,15.0
work_magnitude,46.495289148797724,24.475018426252255,10.0
cluster_4,44.444444444444336,19.84910704611113,30.0
d_mse_train,44.147985705003045,19.507417125115833,37.5
train_mse,44.14798570500301,19.507417125115833,37.5
work_opt,43.72969460688737,18.216193812203432,55.00000000000001
work_density,43.2159681611434,15.861063375983893,80.0
d_mse_test,42.700211176088196,18.3656233201112,47.5
test_mse,42.700211176088125,18.3656233201112,47.5
work_fitting,40.67779402209208,16.38630342130219,70.0
kl_divergence,35.875568551007014,31.008683454647212,5.0
cluster_1,28.58593242365153,21.27116280157737,20.0
work_shape,27.02850877192959,18.152682558959278,60.0
