score_metric,Performance_Percentile,Inconsistency,Inconsistency_Percentile
cluster_0,94.736842105263,13.319241333224193,95.0
work_scale,91.47173489278735,13.828044294731447,85.0
cluster_3,77.77777777777756,12.72053568261916,100.0
cluster_5,76.08024691357997,17.44211188215858,35.0
work_magnitude,68.58755685510054,20.46803150360082,15.0
kl_divergence,53.330084470435224,23.893054024115763,5.0
val_loss,46.92373294346958,19.70918552116902,20.0
cluster_2,46.88921377517843,18.881169362687853,25.0
work_opt,45.32569850552287,14.555078206019152,75.0
work_density,45.06375893437282,15.026196251749477,70.0
d_mse_train,44.02615334632861,16.63021974159777,42.5
train_mse,44.02615334632858,16.63021974159777,42.5
work_fitting,42.708333333333165,13.608868818060685,90.0
d_mse_test,40.2757472384664,15.77767300571591,62.5
test_mse,40.275747238466316,15.77767300571591,62.5
val_mse,38.649285250162265,16.62019976824286,55.00000000000001
d_mse_val,38.64928525016226,16.620199768242863,50.0
cluster_4,36.257309941520354,21.710615303746025,10.0
work_shape,35.30904808317068,18.255016933502635,30.0
cluster_1,22.02729044834291,14.277667420880993,80.0
