score_metric,Performance_Percentile,Inconsistency,Inconsistency_Percentile
cluster_0,97.33187134502931,14.056789043343137,30.0
work_scale,94.55409356725153,16.717167056320392,20.0
cluster_3,86.84210526315795,13.98767188240869,35.0
work_magnitude,67.79970760233925,24.006115307432104,10.0
cluster_5,66.66666666666673,5.6029713924451094,80.0
cluster_2,56.17690058479539,24.165772850914852,5.0
work_opt,49.7989766081872,6.413850923590037,70.0
work_density,48.757309941520504,5.706994309866616,75.0
val_loss,47.331871345029285,17.3093673696847,15.0
work_fitting,46.32675438596496,3.1545900854575843,90.0
kl_divergence,45.0292397660819,16.088171481350816,25.0
d_mse_train,44.18859649122814,12.15809714504733,52.5
train_mse,44.18859649122814,12.15809714504733,52.5
val_mse,42.98245614035092,12.17350676800855,42.5
d_mse_val,42.982456140350905,12.17350676800855,42.5
d_mse_test,36.86038011695916,2.268900044793252,97.5
test_mse,36.86038011695908,2.268900044793252,97.5
cluster_4,34.21052631578952,11.356092935040271,60.0
work_shape,32.602339181286595,9.10282054482719,65.0
cluster_1,22.368421052631493,4.698686492724809,85.0
