score_metric,Performance_Percentile,Inconsistency,Inconsistency_Percentile
cluster_1,77.28232618583478,21.65978880992333,45.0
d_mse_val,67.34689733593223,14.690956987127299,100.0
val_mse,67.34689733593223,14.6909569871273,95.0
cluster_2,65.09096816114335,25.51770053665554,20.0
cluster_4,63.011695906432514,14.917377382120561,90.0
work_shape,55.12102014294975,20.060034840122785,50.0
test_mse,54.184941520467646,17.899203997637397,75.0
d_mse_test,54.18494152046761,17.899203997637393,80.0
val_loss,53.08641975308618,15.75584757972168,85.0
train_mse,52.525990903183676,23.259238632610483,27.500000000000004
d_mse_train,52.525990903183676,23.259238632610483,27.500000000000004
work_fitting,49.029402209226554,19.36162279031498,65.0
kl_divergence,47.14100064977237,26.836456285788223,15.0
work_density,41.58747563352804,22.954355122971265,35.0
work_magnitude,39.12849252761511,27.563562562258817,10.0
work_opt,38.51730019493154,21.766016820399027,40.0
cluster_5,37.34567901234548,19.965196717234814,55.00000000000001
work_scale,32.561728395061515,28.554345148293653,5.0
cluster_0,24.35834957764764,18.19427648958328,70.0
cluster_3,24.269005847952997,19.651405597252698,60.0
