score_metric,Performance_Percentile,Inconsistency,Inconsistency_Percentile
cluster_0,95.10640025990888,13.206569259631483,95.0
kl_divergence,73.58674463937615,42.40165640777971,5.0
work_opt,60.579109811565814,14.598052951327347,70.0
work_density,60.103963612735434,14.117268939608298,80.0
work_fitting,59.99431448992838,14.1811203525034,75.0
work_scale,54.316926575698325,20.85112155472224,20.0
val_mse,54.00828460038972,13.913453188648116,87.5
d_mse_val,54.00828460038968,13.913453188648116,87.5
d_mse_test,51.76656920077961,15.655967517499253,62.5
test_mse,51.766569200779564,15.655967517499253,62.5
cluster_3,50.292397660818544,18.646252416688156,45.0
work_shape,48.083170890188256,19.93000732941431,30.0
d_mse_train,47.14100064977242,16.305640114994063,52.5
train_mse,47.141000649772394,16.305640114994063,52.5
val_loss,46.51965562053265,28.720473953275388,10.0
cluster_5,45.83333333333312,20.501706809903645,25.0
cluster_2,30.19411955815444,19.355627180113434,40.0
work_magnitude,25.105588044184376,19.53883415160818,35.0
cluster_4,20.32163742690047,11.71793218197995,100.0
cluster_1,15.687946718648346,22.153394295846592,15.0
