score_metric,Performance_Percentile,Inconsistency,Inconsistency_Percentile
cluster_0,90.97222222222207,11.224633410524316,75.0
kl_divergence,76.78281351526958,33.900004513559196,10.0
work_scale,67.87686809616618,23.714336505255144,20.0
cluster_3,67.10526315789456,16.41171137705168,30.0
cluster_5,62.80864197530844,26.98017603648684,15.0
work_fitting,54.23570500324871,11.435346996932036,65.0
work_density,54.12605588044172,11.540312758786726,60.0
work_opt,53.97173489278737,11.299001687389893,70.0
work_shape,53.5047108512019,16.22184259472163,45.0
val_mse,51.97774528914865,9.103295001233171,97.5
d_mse_val,51.97774528914862,9.103295001233171,97.5
val_loss,51.45792722547093,37.15240089911568,5.0
d_mse_test,50.6294671864846,12.126127503583959,50.0
test_mse,50.62946718648454,12.126127503583957,55.00000000000001
d_mse_train,49.78882391163078,16.374384099728346,35.0
train_mse,49.78882391163075,16.374384099728342,40.0
work_magnitude,30.303768680961515,22.55032841974641,25.0
cluster_2,19.529727095516346,9.563532740979404,85.0
cluster_4,10.52631578947358,10.719051023566946,80.0
cluster_1,5.559616634177895,9.305633167954097,90.0
