score_metric,Performance_Percentile,Inconsistency,Inconsistency_Percentile
cluster_0,97.95321637426908,9.791216921465383,70.0
cluster_3,76.31578947368426,6.966176703018839,80.0
work_fitting,67.17836257309946,16.090987367060347,40.0
work_opt,66.19152046783633,13.93600339057635,50.0
work_density,66.1915204678363,15.596360646896155,45.0
work_scale,64.69298245614041,21.21172983625613,10.0
val_mse,63.63304093567256,5.808899035224939,95.0
d_mse_val,63.633040935672554,5.808899035224943,90.0
kl_divergence,62.719298245614084,34.18268219841527,5.0
d_mse_test,57.017543859649194,18.161433367788472,20.0
test_mse,57.017543859649145,18.16143336778847,25.0
work_shape,52.99707602339184,20.46259370405312,15.0
train_mse,45.02923976608196,16.818491079007256,35.0
d_mse_train,45.0292397660819,16.81849107900726,30.0
cluster_5,41.66666666666673,10.621147463252758,60.0
val_loss,32.565789473684205,12.202316179829873,55.00000000000001
cluster_2,22.84356725146202,5.8513965271439625,85.0
work_magnitude,16.33771929824563,5.782772336180129,100.0
cluster_4,11.842105263157919,10.1390864548759,65.0
cluster_1,4.057017543859546,8.892752853239505,75.0
