score_metric,Performance_Percentile,Inconsistency,Inconsistency_Percentile
cluster_1,79.57683560753725,17.610495192648788,90.0
cluster_4,72.36842105263152,12.386837246461914,95.0
cluster_0,60.61972059779072,23.18650962170426,70.0
work_magnitude,57.79320987654312,37.86731863704518,5.0
work_density,54.70475958414548,21.854781108716782,75.0
cluster_5,54.32098765432088,34.1235661715483,10.0
work_fitting,52.97474009096808,19.643624208378615,85.0
cluster_2,52.168615984405314,30.40018085879391,25.0
d_mse_test,51.269087069525625,26.607302053504576,37.5
test_mse,51.26908706952557,26.607302053504576,37.5
val_mse,51.0376055880441,25.0897972615955,62.5
d_mse_val,51.03760558804407,25.0897972615955,62.5
d_mse_train,48.27607212475625,26.15774282826946,47.5
train_mse,48.27607212475622,26.15774282826946,47.5
val_loss,44.63937621832347,6.00001699235162,100.0
work_opt,44.127680311890764,21.793907914629028,80.0
kl_divergence,40.062540610786165,32.3973850852122,20.0
work_shape,40.03005198180625,25.72138710098086,55.00000000000001
work_scale,28.309779077322844,32.406248918215994,15.0
cluster_3,27.631578947368286,27.519961583551837,30.0
