frame_index,cluster_label
0,128
1,245
2,114
3,245
4,256
5,245
6,245
7,194
8,245
9,166
10,367
11,149
12,369
13,367
14,223
15,308
16,359
17,163
18,318
19,296
20,198
21,137
22,367
23,36
24,383
25,359
26,213
27,360
28,360
29,303
30,274
31,318
32,357
33,256
34,175
35,360
36,383
37,198
38,308
39,34
40,364
41,256
42,406
43,318
44,134
45,491
46,408
47,274
48,134
49,149
50,424
51,30
52,369
53,48
54,143
55,453
56,453
57,161
58,76
59,471
60,268
61,161
62,34
63,364
64,106
65,364
66,198
67,303
68,25
69,298
70,488
71,244
72,274
73,198
74,306
75,318
76,76
77,343
78,320
79,76
80,198
81,76
82,364
83,364
84,428
85,303
86,198
87,89
88,185
89,272
90,293
91,472
92,293
93,11
94,233
95,303
96,465
97,276
98,276
99,340
100,245
101,245
102,245
103,194
104,245
105,245
106,128
107,81
108,306
109,245
110,491
111,256
112,245
113,298
114,360
115,163
116,30
117,468
118,128
119,115
120,137
121,318
122,36
123,357
124,491
125,213
126,213
127,143
128,308
129,243
130,134
131,383
132,146
133,340
134,36
135,54
136,36
137,134
138,383
139,428
140,198
141,140
142,245
143,491
144,166
145,198
146,114
147,134
148,308
149,5
150,429
151,76
152,36
153,471
154,54
155,383
156,340
157,298
158,32
159,369
160,348
161,288
162,163
163,198
164,288
165,76
166,213
167,318
168,76
169,453
170,32
171,298
172,460
173,369
174,76
175,175
176,298
177,308
178,318
179,76
180,223
181,364
182,90
183,447
184,198
185,472
186,166
187,288
188,223
189,303
190,447
191,11
192,117
193,272
194,223
195,276
196,472
197,468
198,302
199,276
200,318
201,245
202,245
203,194
204,128
205,320
206,194
207,245
208,128
209,245
210,146
211,36
212,367
213,48
214,490
215,223
216,383
217,143
218,360
219,245
220,128
221,367
222,134
223,245
224,114
225,115
226,439
227,163
228,271
229,293
230,367
231,426
232,256
233,54
234,146
235,163
236,298
237,30
238,296
239,320
240,134
241,48
242,383
243,436
244,426
245,318
246,318
247,143
248,469
249,91
250,320
251,121
252,48
253,426
254,103
255,54
256,48
257,294
258,469
259,222
260,323
261,497
262,320
263,5
264,298
265,465
266,54
267,176
268,55
269,320
270,436
271,359
272,497
273,119
274,471
275,197
276,357
277,276
278,323
279,465
280,465
281,436
282,468
283,481
284,481
285,460
286,223
287,357
288,198
289,453
290,276
291,55
292,268
293,343
294,198
295,30
296,222
297,298
298,468
299,272
300,143
301,245
302,128
303,245
304,194
305,245
306,245
307,245
308,256
309,245
310,163
311,320
312,308
313,308
314,176
315,357
316,176
317,360
318,249
319,166
320,128
321,166
322,166
323,268
324,198
325,454
326,360
327,198
328,34
329,32
330,320
331,454
332,268
333,235
334,34
335,439
336,243
337,357
338,308
339,369
340,54
341,364
342,383
343,134
344,308
345,296
346,383
347,276
348,360
349,294
350,323
351,340
