frame_index,cluster_label
0,461
1,461
2,429
3,212
4,337
5,371
6,212
7,162
8,24
9,333
10,461
11,160
12,22
13,344
14,47
15,417
16,421
17,58
18,269
19,477
20,288
21,435
22,337
23,277
24,216
25,337
26,370
27,256
28,432
29,255
30,374
31,415
32,64
33,344
34,300
35,217
36,282
37,370
38,256
39,28
40,199
41,172
42,434
43,415
44,461
45,227
46,370
47,172
48,90
49,450
50,300
51,199
52,230
53,179
54,416
55,468
56,160
57,290
58,336
59,348
60,405
61,458
62,71
63,54
64,463
65,357
66,361
67,193
68,463
69,416
70,124
71,332
72,213
73,327
74,106
75,193
76,432
77,0
78,261
79,145
80,415
81,50
82,293
83,50
84,484
85,54
86,213
87,393
88,262
89,393
90,0
91,318
92,6
93,399
94,492
95,190
96,150
97,331
98,54
99,84
100,83
101,83
102,484
103,429
104,411
105,205
106,212
107,437
108,462
109,191
110,481
111,261
112,0
113,84
114,387
115,393
116,169
117,293
118,481
119,424
120,247
121,411
122,297
123,344
124,383
125,125
126,293
127,313
128,429
129,414
130,290
131,368
132,313
133,25
134,421
135,374
136,164
137,67
138,293
139,25
140,437
141,125
142,262
143,235
144,83
145,462
146,28
147,462
148,270
149,414
150,190
151,300
152,164
153,192
154,216
155,497
156,431
157,317
158,216
159,216
160,160
161,226
162,479
163,313
164,329
165,351
166,216
167,456
168,151
169,162
170,86
171,271
172,318
173,458
174,316
175,300
176,486
177,317
178,434
179,331
180,349
181,216
182,7
183,378
184,177
185,348
186,88
187,434
188,22
189,216
190,88
191,162
192,332
193,177
194,93
195,305
196,47
197,394
198,291
199,415
200,461
201,486
202,22
203,486
204,461
205,488
206,162
207,481
208,337
209,354
210,461
211,7
212,269
213,316
214,206
215,421
216,316
217,199
218,477
219,133
220,371
221,57
222,449
223,458
224,263
225,277
226,472
227,206
228,460
229,320
230,344
231,90
232,461
233,216
234,199
235,269
236,313
237,277
238,300
239,421
240,337
241,370
242,256
243,313
244,370
245,28
246,424
247,475
248,421
249,169
250,405
251,341
252,128
253,291
254,4
255,277
256,371
257,241
258,415
259,54
260,463
261,316
262,61
263,6
264,6
265,348
266,370
267,137
268,332
269,213
270,93
271,179
272,463
273,411
274,327
275,293
276,228
277,302
278,88
279,393
280,187
281,0
282,463
283,463
284,103
285,104
286,229
287,463
288,383
289,102
290,383
291,293
292,229
293,442
294,241
295,0
296,309
297,4
298,331
299,435
300,461
301,169
302,340
303,50
304,22
305,310
306,461
307,39
308,498
309,179
310,227
311,230
312,209
313,431
314,461
315,269
316,316
317,477
318,271
319,354
320,169
321,477
322,168
323,151
324,472
325,29
326,317
327,92
328,482
329,415
330,154
331,166
332,69
333,154
334,373
335,379
336,96
337,458
338,143
339,424
340,131
341,4
342,313
343,472
344,373
345,406
346,268
347,216
348,210
349,461
350,262
351,7
352,90
353,421
354,143
355,370
356,133
357,45
358,424
359,433
360,104
361,468
362,6
363,133
364,458
365,262
366,317
367,370
368,353
369,411
370,190
371,192
372,118
373,79
374,187
375,300
376,463
377,331
378,149
379,329
380,298
381,383
382,393
383,258
384,466
385,192
386,427
387,363
388,79
389,213
390,6
391,262
392,309
393,0
394,229
395,459
396,293
397,370
398,18
399,105
400,313
401,493
402,133
403,434
404,341
405,258
406,199
407,80
408,258
409,227
410,481
411,331
412,426
413,177
414,74
415,354
416,349
417,326
418,143
419,331
420,277
421,316
422,29
423,98
424,83
425,151
426,439
427,168
428,365
429,327
430,212
431,101
432,393
433,472
434,60
435,424
436,271
437,210
438,96
439,346
440,216
441,162
442,478
443,424
444,271
445,69
446,396
447,90
448,385
449,302
450,179
451,57
452,396
453,302
454,271
455,374
456,50
457,228
458,43
459,467
460,104
461,14
462,414
463,6
464,261
465,442
466,241
467,47
468,226
469,67
470,244
471,230
472,409
473,406
474,383
475,283
476,293
477,88
478,54
479,322
480,467
481,67
482,219
483,148
484,85
485,43
486,236
487,435
488,262
489,456
490,447
491,284
492,213
493,221
494,220
495,456
496,164
497,26
498,88
499,445
500,341
501,344
502,80
503,300
504,331
505,277
506,370
507,336
508,80
509,258
510,475
511,258
512,143
513,373
514,414
515,327
516,282
517,424
518,316
519,61
520,269
521,495
522,29
523,256
524,44
525,300
526,360
527,208
528,281
529,329
530,168
531,478
532,326
533,151
534,385
535,216
536,116
537,271
538,271
539,394
540,449
541,96
542,393
543,412
544,406
545,160
546,168
547,101
548,374
549,374
550,441
551,83
552,250
553,212
554,290
555,124
556,72
557,132
558,396
559,396
560,302
561,38
562,221
563,271
564,333
565,353
566,148
567,104
568,332
569,14
570,50
571,149
572,22
573,236
574,213
575,85
576,456
577,67
578,236
579,462
580,293
581,368
582,145
583,345
584,164
585,214
586,187
587,148
588,283
589,88
590,7
591,125
592,283
593,418
594,293
595,88
596,100
597,442
598,305
599,4
600,341
601,344
602,393
603,177
604,80
605,475
606,370
607,300
608,434
609,481
610,493
611,327
612,172
613,373
614,151
615,482
616,177
617,412
618,143
619,168
620,326
621,28
622,300
623,316
624,212
625,439
626,256
627,385
628,441
629,255
630,331
631,271
632,269
633,96
634,83
635,250
636,478
637,419
638,216
639,25
640,116
641,61
642,329
643,271
644,302
645,208
646,90
647,151
648,374
649,493
650,85
651,175
652,58
653,427
654,64
655,412
656,281
657,396
658,226
659,447
660,302
661,414
662,406
663,283
664,431
665,442
666,67
667,104
668,38
669,293
670,293
671,332
672,333
673,345
674,85
675,188
676,7
677,484
678,332
679,148
680,293
681,192
682,221
683,456
684,22
685,213
686,368
687,236
688,362
689,368
690,207
691,320
692,102
693,148
694,462
695,293
696,6
697,113
698,305
699,219
700,341
701,313
702,172
703,225
704,225
705,199
706,133
707,74
708,493
709,227
710,481
711,258
712,103
713,143
714,151
715,472
716,354
717,388
718,360
719,172
720,271
721,478
722,327
723,281
724,477
725,177
726,168
727,258
728,326
729,83
730,151
731,365
732,290
733,169
734,449
735,69
736,277
737,162
738,212
739,385
740,162
741,287
742,96
743,374
744,422
745,101
746,90
747,124
748,210
