frame_index,cluster_label
0,75
1,476
2,471
3,132
4,327
5,327
6,132
7,474
8,166
9,123
10,476
11,196
12,104
13,70
14,241
15,238
16,297
17,428
18,474
19,350
20,123
21,156
22,327
23,335
24,386
25,327
26,163
27,270
28,410
29,419
30,275
31,324
32,119
33,70
34,122
35,157
36,40
37,156
38,328
39,14
40,163
41,213
42,28
43,436
44,476
45,185
46,163
47,335
48,468
49,105
50,163
51,163
52,449
53,206
54,246
55,153
56,109
57,86
58,218
59,169
60,325
61,111
62,393
63,43
64,438
65,272
66,113
67,323
68,0
69,81
70,284
71,145
72,438
73,298
74,55
75,441
76,206
77,4
78,219
79,426
80,356
81,475
82,128
83,414
84,363
85,43
86,472
87,85
88,55
89,85
90,169
91,250
92,33
93,145
94,202
95,261
96,312
97,205
98,250
99,82
100,245
101,316
102,129
103,397
104,255
105,54
106,29
107,121
108,314
109,129
110,289
111,160
112,255
113,85
114,445
115,160
116,108
117,246
118,104
119,285
120,160
121,255
122,22
123,419
124,413
125,79
126,487
127,311
128,29
129,238
130,163
131,172
132,14
133,106
134,311
135,415
136,314
137,13
138,487
139,280
140,245
141,314
142,463
143,62
144,476
145,314
146,14
147,314
148,210
149,420
150,261
151,163
152,81
153,490
154,44
155,22
156,190
157,96
158,37
159,386
160,196
161,137
162,242
163,122
164,224
165,393
166,386
167,248
168,37
169,12
170,386
171,373
172,272
173,178
174,117
175,204
176,149
177,96
178,44
179,72
180,335
181,209
182,454
183,464
184,430
185,37
186,92
187,4
188,190
189,44
190,293
191,37
192,466
193,341
194,475
195,486
196,92
197,260
198,324
199,436
200,424
201,154
202,324
203,149
204,69
205,111
206,132
207,289
208,327
209,94
210,267
211,1
212,474
213,180
214,230
215,297
216,117
217,173
218,350
219,250
220,327
221,238
222,331
223,111
224,449
225,116
226,208
227,356
228,469
229,224
230,419
231,106
232,476
233,386
234,311
235,474
236,163
237,28
238,449
239,297
240,327
241,163
242,395
243,311
244,163
245,80
246,163
247,296
248,297
249,271
250,227
251,10
252,308
253,37
254,0
255,335
256,356
257,255
258,356
259,43
260,145
261,460
262,438
263,437
264,155
265,144
266,163
267,157
268,145
269,128
270,224
271,206
272,438
273,255
274,438
275,438
276,470
277,398
278,475
279,160
280,125
281,85
282,438
283,202
284,361
285,467
286,205
287,202
288,347
289,219
290,202
291,487
292,82
293,195
294,269
295,255
296,455
297,290
298,205
299,425
300,424
301,108
302,324
303,104
304,324
305,157
306,267
307,77
308,324
309,377
310,185
311,279
312,41
313,190
314,267
315,324
316,450
317,109
318,327
319,94
320,157
321,397
322,410
323,37
324,345
325,351
326,327
327,470
328,225
329,324
330,16
331,111
332,134
333,16
334,132
335,280
336,58
337,482
338,471
339,163
340,116
341,128
342,481
343,256
344,326
345,138
346,284
347,386
348,64
349,476
350,283
351,191
352,106
353,37
354,102
355,218
356,4
357,497
358,408
359,56
360,31
361,128
362,475
363,43
364,335
365,314
366,96
367,59
368,207
369,255
370,261
371,336
372,136
373,194
374,125
375,449
376,290
377,205
378,145
379,498
380,424
381,202
382,85
383,4
384,437
385,113
386,110
387,202
388,194
389,128
390,62
391,62
392,217
393,113
394,250
395,164
396,487
397,205
398,493
399,367
400,311
401,335
402,318
403,28
404,10
405,4
406,174
407,267
408,297
409,236
410,289
411,72
412,415
413,430
414,122
415,94
416,119
417,136
418,206
419,205
420,335
421,450
422,482
423,142
424,428
425,37
426,183
427,410
428,37
429,298
430,421
431,419
432,85
433,308
434,17
435,408
436,341
437,291
438,390
439,381
440,386
441,12
442,37
443,285
444,341
445,334
446,142
447,106
448,497
449,25
450,304
451,132
452,417
453,56
454,144
455,275
456,475
457,256
458,268
459,302
460,31
461,229
462,238
463,293
464,50
465,295
466,300
467,57
468,195
469,113
470,81
471,279
472,123
473,277
474,413
475,273
476,487
477,359
478,172
479,336
480,366
481,13
482,475
483,232
484,240
485,97
486,232
487,113
488,62
489,248
490,355
491,427
492,128
493,168
494,499
495,248
496,1
497,195
498,359
499,435
500,10
501,383
502,267
503,122
504,205
505,28
506,173
507,80
508,267
509,4
510,325
511,297
512,102
513,7
514,421
515,298
516,470
517,285
518,117
519,149
520,474
521,350
522,482
523,28
524,424
525,297
526,72
527,231
528,415
529,498
530,149
531,37
532,136
533,37
534,361
535,386
536,323
537,341
538,180
539,372
540,331
541,390
542,85
543,387
544,166
545,196
546,410
547,404
548,275
549,25
550,305
551,476
552,149
553,420
554,86
555,284
556,355
557,182
558,417
559,417
560,56
561,302
562,478
563,144
564,210
565,59
566,113
567,31
568,195
569,489
570,475
571,295
572,137
573,232
574,283
575,172
576,293
577,113
578,232
579,314
580,487
581,172
582,118
583,429
584,366
585,475
586,97
587,232
588,273
589,263
590,1
591,79
592,86
593,427
594,487
595,448
596,352
597,295
598,130
599,290
600,10
601,204
602,85
603,217
604,267
605,325
606,174
607,449
608,28
609,289
610,82
611,298
612,335
613,7
614,37
615,286
616,430
617,277
618,102
619,410
620,136
621,80
622,122
623,450
624,421
625,253
626,328
627,361
628,94
629,350
630,205
631,180
632,474
633,390
634,476
635,406
636,37
637,119
638,386
639,280
640,323
641,149
642,498
643,341
644,25
645,231
646,468
647,58
648,169
649,85
650,97
651,420
652,428
653,144
654,177
655,392
656,415
657,417
658,137
659,355
660,56
661,417
662,109
663,241
664,190
665,295
666,463
667,31
668,302
669,487
670,487
671,202
672,123
673,299
674,182
675,448
676,81
677,363
678,380
679,347
680,97
681,76
682,478
683,248
684,454
685,283
686,172
687,232
688,118
689,54
690,178
691,475
692,59
693,352
694,314
695,487
696,293
697,24
698,130
699,124
700,10
701,271
702,335
703,213
704,181
705,173
706,318
707,122
708,205
709,236
710,289
711,44
712,58
713,206
714,37
715,345
716,94
717,183
718,72
719,335
720,180
721,30
722,298
723,415
724,350
725,430
726,410
727,4
728,136
729,316
730,386
731,474
732,149
733,325
734,1
735,334
736,319
737,286
738,326
739,497
740,12
741,381
742,84
743,275
744,29
745,404
746,106
747,284
748,291
749,341
750,373
751,387
752,304
753,475
754,268
755,355
756,393
757,7
758,25
759,56
760,166
761,417
762,302
763,81
764,123
765,336
766,31
767,172
768,168
769,338
770,59
771,33
772,195
773,113
774,295
775,86
776,240
777,232
778,160
779,487
780,97
781,81
782,76
783,475
784,347
785,187
786,273
787,269
788,1
789,352
790,293
791,128
792,263
793,62
794,435
795,487
796,86
797,212
798,448
799,310
800,10
801,311
802,28
803,44
804,205
805,4
806,267
807,28
808,181
809,415
810,174
811,449
812,351
813,44
814,102
815,117
816,122
817,345
818,289
819,122
820,183
821,85
822,291
823,334
824,298
825,94
826,84
827,180
828,471
829,395
830,474
831,72
832,235
833,58
834,304
835,410
836,386
837,30
838,17
839,326
840,119
841,415
842,497
843,132
844,417
845,316
846,229
847,440
848,275
849,284
850,285
851,106
852,219
853,216
854,86
855,494
856,319
857,56
858,338
859,363
860,417
861,295
862,293
863,302
864,177
865,294
866,373
867,123
868,182
869,113
870,33
871,31
872,336
873,219
874,273
875,81
876,487
877,380
878,207
879,172
880,97
881,248
882,187
883,168
884,232
885,79
886,352
887,76
888,448
889,62
890,190
891,499
892,475
893,1
894,263
895,300
896,128
897,212
898,355
899,310
900,10
901,311
902,217
903,58
904,28
905,213
906,122
907,173
908,449
909,181
910,415
911,72
912,490
913,206
914,117
915,289
916,351
917,308
918,404
919,474
920,410
921,39
922,236
923,4
924,94
925,183
926,291
