frame_index,cluster_label
0,23
1,0
2,13
3,22
4,20
5,4
6,4
7,4
8,2
9,9
10,22
11,11
12,9
13,3
14,20
15,4
16,4
17,20
18,3
19,13
20,11
21,4
22,2
23,9
24,7
25,11
26,9
27,11
28,8
29,11
30,4
31,17
32,20
33,3
34,22
35,10
36,8
37,22
38,7
39,12
40,8
41,4
42,17
43,13
44,11
45,16
46,10
47,20
48,4
49,4
50,20
51,3
52,13
53,10
54,8
55,10
56,20
57,20
58,7
59,17
60,16
61,17
62,22
63,10
64,7
65,0
66,20
67,4
68,4
69,2
70,3
71,13
72,11
73,8
74,10
75,2
76,3
77,11
78,4
79,20
80,0
81,8
82,8
83,4
84,2
85,13
86,13
87,11
88,16
89,10
90,2
91,17
92,24
93,4
94,20
95,13
96,8
97,3
98,2
99,2
100,20
101,17
102,20
103,17
104,22
105,10
106,7
107,11
108,20
109,3
110,2
111,8
112,2
113,16
114,12
115,8
116,4
117,2
118,13
119,10
120,0
121,16
122,4
123,2
124,17
125,24
126,4
127,20
128,13
129,20
130,20
131,16
132,17
133,0
134,10
135,4
136,0
137,13
138,20
139,11
140,12
141,11
142,8
143,20
144,10
145,17
146,12
147,3
148,0
149,3
150,17
151,8
152,24
153,9
154,22
155,3
156,9
157,3
158,10
159,20
160,11
161,2
162,9
163,3
164,20
165,2
166,13
167,17
168,20
169,16
170,10
171,0
172,3
173,0
174,10
175,20
176,12
177,13
178,0
179,17
180,24
181,8
182,3
183,17
184,20
185,16
186,10
187,0
188,24
189,7
190,10
191,20
192,4
193,13
194,0
195,17
196,24
197,20
198,2
199,10
200,4
201,4
202,2
203,4
204,8
205,10
206,10
207,24
208,2
209,4
210,16
211,8
212,12
213,4
214,2
215,10
216,2
217,12
218,2
219,8
220,8
221,10
222,0
223,24
224,2
225,4
226,16
227,8
228,12
229,2
230,2
231,10
232,6
233,15
234,6
235,15
236,6
237,15
238,6
239,6
240,15
241,15
242,6
243,15
244,6
245,15
246,15
247,15
248,15
249,6
250,6
251,6
252,6
253,15
254,6
255,6
256,6
257,15
258,6
259,15
260,6
261,6
262,15
263,6
264,15
265,6
266,15
267,6
268,6
269,15
270,6
271,15
272,6
273,6
274,6
275,6
276,6
277,6
278,6
279,6
280,6
281,6
282,6
283,6
284,6
285,6
286,15
287,6
288,6
289,5
290,5
291,22
292,19
293,19
294,5
295,19
296,22
297,19
298,22
299,5
300,14
301,5
302,11
303,21
304,5
305,11
306,5
307,14
308,11
309,14
310,11
311,5
312,14
313,5
314,5
315,11
316,14
317,5
318,11
319,5
320,11
321,5
322,5
323,14
324,5
325,14
326,11
327,11
328,5
329,5
330,14
331,5
332,14
333,14
334,14
335,5
336,5
337,5
338,14
339,21
340,14
341,14
342,14
343,5
344,11
345,14
346,11
347,14
348,11
349,5
350,11
351,5
352,14
353,14
354,14
355,14
356,14
357,14
358,11
359,14
360,11
361,5
362,14
363,5
364,11
365,14
366,11
367,14
368,11
369,5
370,11
371,5
372,5
373,14
374,11
375,14
376,14
377,5
378,14
379,5
380,5
381,14
382,5
383,5
384,14
385,14
386,11
387,11
388,11
389,5
390,14
391,14
392,5
393,14
394,14
395,14
396,11
397,14
398,11
399,5
400,11
401,5
402,21
403,5
404,5
405,21
406,21
407,21
408,11
409,5
410,21
411,5
412,21
413,11
414,21
415,21
416,5
417,5
418,21
419,21
420,21
421,21
422,21
423,18
424,18
425,18
426,18
427,18
428,18
429,18
430,18
431,18
432,18
433,18
434,23
435,18
436,18
437,18
438,18
439,18
440,18
441,18
442,18
443,18
444,18
445,18
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,23
470,1
471,1
472,1
473,1
474,1
475,23
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,23
489,23
490,23
491,1
492,23
493,23
494,23
495,23
496,23
497,23
498,23
499,23
