frame_index,cluster_label
0,11
1,11
2,11
3,11
4,11
5,11
6,11
7,6
8,6
9,6
10,6
11,20
12,5
13,21
14,2
15,7
16,3
17,20
18,2
19,2
20,2
21,2
22,3
23,5
24,17
25,20
26,20
27,5
28,21
29,2
30,3
31,2
32,5
33,20
34,2
35,5
36,2
37,3
38,20
39,23
40,22
41,22
42,2
43,2
44,5
45,2
46,2
47,20
48,2
49,2
50,2
51,2
52,2
53,20
54,2
55,3
56,20
57,5
58,2
59,2
60,3
61,2
62,2
63,2
64,23
65,22
66,22
67,2
68,20
69,2
70,3
71,20
72,2
73,2
74,20
75,2
76,3
77,2
78,23
79,22
80,22
81,3
82,2
83,2
84,2
85,2
86,5
87,2
88,3
89,20
90,2
91,5
92,2
93,3
94,20
95,5
96,23
97,2
98,2
99,2
100,11
101,2
102,2
103,2
104,8
105,3
106,17
107,21
108,3
109,17
110,6
111,0
112,3
113,3
114,6
115,3
116,3
117,17
118,3
119,0
120,6
121,3
122,0
123,6
124,17
125,3
126,17
127,21
128,0
129,17
130,3
131,0
132,3
133,6
134,0
135,6
136,21
137,3
138,17
139,6
140,0
141,6
142,21
143,3
144,17
145,6
146,0
147,3
148,17
149,21
150,3
151,17
152,3
153,6
154,3
155,17
156,6
157,6
158,3
159,3
160,3
161,3
162,3
163,3
164,6
165,3
166,3
167,17
168,6
169,21
170,3
171,3
172,0
173,6
174,3
175,0
176,3
177,6
178,0
179,17
180,3
181,3
182,21
183,0
184,17
185,17
186,3
187,0
188,6
189,3
190,6
191,6
192,3
193,3
194,6
195,3
196,21
197,17
198,3
199,3
200,0
201,3
202,3
203,0
204,20
205,20
206,22
207,3
208,3
209,22
210,20
211,22
212,3
213,3
214,22
215,3
216,19
217,12
218,19
219,12
220,19
221,19
222,12
223,19
224,19
225,12
226,19
227,19
228,19
229,19
230,12
231,19
232,19
233,19
234,19
235,19
236,19
237,12
238,12
239,12
240,12
241,19
242,19
243,12
244,19
245,19
246,12
247,19
248,12
249,19
250,12
251,19
252,12
253,19
254,19
255,12
256,19
257,12
258,4
259,4
260,24
261,4
262,4
263,4
264,4
265,24
266,4
267,4
268,4
269,4
270,24
271,4
272,4
273,4
274,24
275,4
276,24
277,24
278,4
279,4
280,10
281,10
282,10
283,18
284,1
285,10
286,10
287,10
288,1
289,10
290,10
291,2
292,10
293,10
294,1
295,10
296,10
297,2
298,10
299,10
300,15
301,24
302,15
303,9
304,9
305,15
306,24
307,9
308,9
309,15
310,9
311,9
312,24
313,9
314,24
315,24
316,24
317,9
318,24
319,24
320,24
321,9
322,15
323,9
324,15
325,24
326,24
327,24
328,15
329,9
330,9
331,15
332,15
333,9
334,9
335,15
336,15
337,9
338,9
339,9
340,9
341,9
342,24
343,9
344,24
345,24
346,15
347,9
348,9
349,9
350,9
351,9
352,9
353,9
354,8
355,8
356,8
357,8
358,8
359,8
360,8
361,8
362,8
363,16
364,14
365,14
366,16
367,14
368,14
369,14
370,16
371,14
372,14
373,16
374,16
375,16
376,16
377,13
378,13
379,16
380,14
381,16
382,13
383,16
384,14
385,13
386,16
387,13
388,13
389,13
390,14
391,14
392,14
393,16
394,16
395,16
396,13
397,16
398,14
399,13
400,7
401,1
402,7
403,18
404,1
405,7
406,7
407,18
408,7
409,7
410,18
411,11
412,1
413,18
414,18
415,7
416,11
417,7
418,11
419,18
420,11
421,7
422,1
423,7
424,7
425,1
426,7
427,7
428,18
429,1
430,7
431,18
432,11
433,1
434,7
435,18
436,7
437,11
438,7
439,11
440,18
441,11
442,11
443,18
444,7
445,11
446,11
447,1
448,1
449,11
450,18
451,11
452,11
453,1
454,1
455,1
456,1
457,1
458,7
459,7
460,1
461,7
462,7
463,18
464,18
465,7
466,11
467,18
468,1
469,1
470,1
471,7
472,18
473,7
474,11
475,1
476,11
477,1
478,7
479,1
480,7
481,18
482,11
483,1
484,7
485,18
486,7
487,1
488,1
489,11
490,1
491,1
492,7
493,18
494,1
495,7
496,7
497,18
498,7
499,11
