frame_index,cluster_label
0,333
1,179
2,333
3,333
4,26
5,26
6,424
7,392
8,333
9,179
10,333
11,179
12,179
13,179
14,392
15,284
16,292
17,333
18,179
19,284
20,284
21,333
22,292
23,284
24,333
25,457
26,46
27,463
28,292
29,210
30,179
31,284
32,181
33,284
34,392
35,488
36,455
37,392
38,46
39,457
40,1
41,457
42,333
43,33
44,392
45,284
46,463
47,1
48,46
49,1
50,284
51,46
52,46
53,286
54,464
55,1
56,292
57,210
58,292
59,284
60,292
61,284
62,488
63,392
64,170
65,392
66,453
67,392
68,178
69,83
70,463
71,239
72,292
73,284
74,284
75,392
76,392
77,392
78,83
79,463
80,292
81,284
82,284
83,488
84,392
85,292
86,216
87,292
88,284
89,23
90,178
91,181
92,239
93,57
94,392
95,42
96,463
97,292
98,282
99,463
100,493
101,141
102,493
103,179
104,141
105,307
106,179
107,493
108,493
109,493
110,179
111,141
112,171
113,306
114,463
115,457
116,319
117,281
118,307
119,447
120,392
121,463
122,171
123,254
124,455
125,26
126,463
127,210
128,85
129,46
130,370
131,284
132,463
133,49
134,292
135,210
136,179
137,35
138,455
139,392
140,46
141,210
142,463
143,46
144,493
145,421
146,457
147,421
148,252
149,392
150,17
151,35
152,477
153,98
154,154
155,209
156,35
157,457
158,35
159,35
160,457
161,45
162,457
163,35
164,463
165,35
166,46
167,122
168,35
169,35
170,431
171,46
172,457
173,210
174,1
175,284
176,135
177,179
178,465
179,239
180,239
181,63
182,392
183,386
184,239
185,392
186,303
187,457
188,457
189,392
190,209
191,467
192,11
193,239
194,463
195,463
196,239
197,239
198,463
199,122
200,141
201,253
202,493
203,493
204,493
205,370
206,307
207,254
208,493
209,493
210,493
211,281
212,375
213,375
214,493
215,493
216,45
217,48
218,421
219,281
220,254
221,341
222,48
223,493
224,307
225,284
226,303
227,381
228,109
229,421
230,98
231,457
232,341
233,45
234,455
235,252
236,341
237,341
238,457
239,45
240,421
241,457
242,98
243,284
244,98
245,421
246,210
247,295
248,11
249,341
250,457
251,457
252,113
253,488
254,209
255,209
256,1
257,94
258,421
259,239
260,341
261,421
262,493
263,36
264,421
265,457
266,45
267,209
268,284
269,457
270,115
271,85
272,45
273,386
274,421
275,397
276,392
277,355
278,57
279,11
280,98
281,209
282,42
283,11
284,303
285,295
286,209
287,209
288,11
289,421
290,11
291,284
292,239
293,11
294,209
295,392
296,239
297,209
298,338
299,23
300,493
301,493
302,179
303,493
304,493
305,493
306,493
307,254
308,254
309,493
310,179
311,318
312,198
313,281
314,493
315,214
316,370
317,48
318,458
319,295
320,421
321,448
322,209
323,179
324,53
325,458
326,455
327,428
328,147
329,122
330,11
331,386
332,20
333,381
334,319
335,48
336,421
337,98
338,457
339,85
340,421
341,417
342,421
343,413
344,48
345,109
346,179
347,11
348,458
349,134
350,457
351,209
352,35
353,209
354,286
355,341
356,209
357,1
358,45
359,250
360,386
361,45
362,11
363,457
364,457
365,457
366,209
367,98
368,421
369,284
370,209
371,239
372,209
373,286
374,209
375,178
376,210
377,85
378,447
379,171
380,284
381,209
382,457
383,295
384,386
385,458
386,209
387,253
388,457
389,209
390,11
391,209
392,263
393,11
394,239
395,338
396,284
397,392
398,239
399,395
400,493
401,493
402,281
403,493
404,493
405,120
406,370
407,493
408,307
409,120
410,493
411,141
412,154
413,134
414,60
415,49
416,375
417,254
418,254
419,179
420,421
421,141
422,85
423,421
424,386
425,85
426,161
427,134
428,241
429,355
430,180
431,254
432,48
433,194
434,98
435,48
436,324
437,85
438,457
439,421
440,45
441,134
442,45
443,421
444,133
445,488
446,458
447,239
448,455
449,455
450,11
451,209
452,11
453,341
454,89
455,421
456,252
457,94
458,319
459,36
460,48
461,85
462,134
463,457
464,457
465,239
466,463
467,85
468,431
469,457
470,341
471,439
472,11
473,209
474,98
475,134
476,457
477,209
478,376
479,85
480,263
481,284
482,209
483,209
484,75
485,310
486,211
487,488
488,421
489,209
490,295
491,209
492,209
493,111
494,392
495,392
496,284
497,395
498,109
499,178
500,444
501,493
502,493
503,493
504,493
505,493
506,253
507,397
508,253
509,253
510,253
511,111
512,444
513,223
514,307
515,253
516,458
517,406
518,120
519,254
520,269
521,397
522,134
523,488
524,52
525,171
526,377
527,48
528,341
529,493
530,164
531,170
532,377
533,46
534,61
535,113
536,172
537,134
538,341
539,319
540,133
541,57
542,266
543,172
544,183
545,134
546,183
547,473
548,1
549,183
550,292
551,46
552,421
553,457
554,164
555,161
556,319
557,183
558,292
559,30
560,41
561,457
562,134
563,457
564,113
565,41
566,61
567,176
568,134
569,341
570,172
571,61
572,172
573,457
574,171
575,363
576,292
577,457
578,458
579,252
580,421
581,145
582,180
583,171
584,292
585,30
586,457
587,1
588,341
589,30
590,13
591,30
592,458
593,57
594,395
595,284
596,1
597,457
598,338
599,392
600,237
601,49
602,333
603,333
604,223
605,333
606,26
607,333
608,26
609,26
610,439
611,395
612,444
613,237
614,333
615,49
616,0
617,333
618,249
619,153
620,448
621,48
622,333
623,10
624,61
625,171
626,134
627,395
628,439
629,266
630,355
631,355
632,1
633,134
634,363
635,355
636,113
637,232
638,199
639,210
640,232
641,353
642,183
643,421
644,363
645,232
646,46
647,134
648,183
649,147
650,113
651,266
652,439
653,364
654,134
655,48
656,158
657,48
658,98
659,25
660,363
661,463
662,85
663,294
664,377
665,224
666,421
667,363
668,77
669,324
670,232
671,355
672,77
673,61
674,421
675,134
676,392
677,61
678,30
679,263
680,179
681,284
682,26
683,98
684,485
685,457
686,30
687,46
688,266
689,363
690,488
691,341
692,338
693,1
694,284
695,1
696,26
697,488
698,355
699,284
700,237
701,333
702,237
703,237
704,223
705,397
706,145
707,134
708,333
709,223
710,333
711,214
712,253
713,145
714,237
715,397
716,49
717,439
718,237
719,333
720,333
721,110
722,210
723,253
724,183
725,413
726,249
727,409
728,224
729,223
730,180
731,61
732,183
733,32
734,183
735,294
736,354
737,134
738,183
739,453
740,232
741,232
742,397
743,153
744,158
745,164
746,113
747,48
748,26
749,48
750,134
751,249
752,377
753,134
754,172
755,363
756,164
757,363
758,377
759,413
760,324
761,457
762,355
763,158
764,341
765,134
766,183
767,199
768,232
769,1
770,158
771,134
772,46
773,113
774,421
775,324
776,46
777,46
778,364
779,134
780,77
781,292
782,1
783,363
784,237
785,284
786,39
787,1
788,1
789,464
790,30
791,35
792,338
793,284
794,39
795,30
796,30
797,457
798,11
799,354
800,26
801,333
802,26
803,333
804,26
805,333
806,26
807,26
808,253
809,237
810,26
811,223
812,397
813,237
814,253
815,333
816,249
817,448
818,153
819,32
820,10
821,302
822,409
823,118
824,48
825,421
826,397
827,333
828,171
829,26
830,32
831,252
832,327
833,266
