system_id,length,cath_class,avg_RMSF,avg_gyration,resolution,rmsf_tercile,pdb_path,replica_paths,n_frames
1ah7_A,245,Mainly Alpha,0.68,18.31,1.501,low,data/raw/1ah7_A/1ah7_A.pdb,data/raw/1ah7_A/1ah7_A_R1.xtc;data/raw/1ah7_A/1ah7_A_R2.xtc;data/raw/1ah7_A/1ah7_A_R3.xtc,3003
1b2s_E,90,Alpha Beta,0.66,12.47,1.82,low,data/raw/1b2s_E/1b2s_E.pdb,data/raw/1b2s_E/1b2s_E_R1.xtc;data/raw/1b2s_E/1b2s_E_R2.xtc;data/raw/1b2s_E/1b2s_E_R3.xtc,3003
1bgf_A,124,Mainly Alpha,1.23,15.35,1.45,middle,data/raw/1bgf_A/1bgf_A.pdb,data/raw/1bgf_A/1bgf_A_R1.xtc;data/raw/1bgf_A/1bgf_A_R2.xtc;data/raw/1bgf_A/1bgf_A_R3.xtc,3003
1bxy_A,60,Alpha Beta,0.67,11.4,1.9,low,data/raw/1bxy_A/1bxy_A.pdb,data/raw/1bxy_A/1bxy_A_R1.xtc;data/raw/1bxy_A/1bxy_A_R2.xtc;data/raw/1bxy_A/1bxy_A_R3.xtc,3003
1c1k_A,217,Mainly Alpha,0.73,19.12,1.45,low,data/raw/1c1k_A/1c1k_A.pdb,data/raw/1c1k_A/1c1k_A_R1.xtc;data/raw/1c1k_A/1c1k_A_R2.xtc;data/raw/1c1k_A/1c1k_A_R3.xtc,3003
1cuo_A,129,Mainly Beta,0.72,14.11,1.6,low,data/raw/1cuo_A/1cuo_A.pdb,data/raw/1cuo_A/1cuo_A_R1.xtc;data/raw/1cuo_A/1cuo_A_R2.xtc;data/raw/1cuo_A/1cuo_A_R3.xtc,3003
1dd3_B,128,Mainly Alpha|Alpha Beta,5.84,19.89,2.0,high,data/raw/1dd3_B/1dd3_B.pdb,data/raw/1dd3_B/1dd3_B_R1.xtc;data/raw/1dd3_B/1dd3_B_R2.xtc;data/raw/1dd3_B/1dd3_B_R3.xtc,3003
1dvo_A,152,Mainly Alpha,2.05,23.6,2.0,high,data/raw/1dvo_A/1dvo_A.pdb,data/raw/1dvo_A/1dvo_A_R1.xtc;data/raw/1dvo_A/1dvo_A_R2.xtc;data/raw/1dvo_A/1dvo_A_R3.xtc,3003
1dwk_A,156,Mainly Alpha|Alpha Beta,3.5,17.58,1.65,high,data/raw/1dwk_A/1dwk_A.pdb,data/raw/1dwk_A/1dwk_A_R1.xtc;data/raw/1dwk_A/1dwk_A_R2.xtc;data/raw/1dwk_A/1dwk_A_R3.xtc,3003
1ef1_D,90,Special,7.42,17.85,1.9,high,data/raw/1ef1_D/1ef1_D.pdb,data/raw/1ef1_D/1ef1_D_R1.xtc;data/raw/1ef1_D/1ef1_D_R2.xtc;data/raw/1ef1_D/1ef1_D_R3.xtc,3003
1f3u_G,118,unclassified,2.94,17.02,1.7,high,data/raw/1f3u_G/1f3u_G.pdb,data/raw/1f3u_G/1f3u_G_R1.xtc;data/raw/1f3u_G/1f3u_G_R2.xtc;data/raw/1f3u_G/1f3u_G_R3.xtc,3003
1fx4_A,231,Alpha Beta,0.89,18.07,1.9,middle,data/raw/1fx4_A/1fx4_A.pdb,data/raw/1fx4_A/1fx4_A_R1.xtc;data/raw/1fx4_A/1fx4_A_R2.xtc;data/raw/1fx4_A/1fx4_A_R3.xtc,3003
1gqv_A,135,Alpha Beta,0.87,15.3,0.98,low,data/raw/1gqv_A/1gqv_A.pdb,data/raw/1gqv_A/1gqv_A_R1.xtc;data/raw/1gqv_A/1gqv_A_R2.xtc;data/raw/1gqv_A/1gqv_A_R3.xtc,3003
1i2t_A,61,Mainly Alpha,0.73,10.91,1.04,low,data/raw/1i2t_A/1i2t_A.pdb,data/raw/1i2t_A/1i2t_A_R1.xtc;data/raw/1i2t_A/1i2t_A_R2.xtc;data/raw/1i2t_A/1i2t_A_R3.xtc,3003
1i4m_A,108,Mainly Alpha,4.75,16.65,2.0,high,data/raw/1i4m_A/1i4m_A.pdb,data/raw/1i4m_A/1i4m_A_R1.xtc;data/raw/1i4m_A/1i4m_A_R2.xtc;data/raw/1i4m_A/1i4m_A_R3.xtc,3003
1ifg_A,140,Mainly Beta,1.19,17.01,2.0,middle,data/raw/1ifg_A/1ifg_A.pdb,data/raw/1ifg_A/1ifg_A_R1.xtc;data/raw/1ifg_A/1ifg_A_R2.xtc;data/raw/1ifg_A/1ifg_A_R3.xtc,3003
1ijt_A,128,Mainly Beta,0.62,13.57,1.8,low,data/raw/1ijt_A/1ijt_A.pdb,data/raw/1ijt_A/1ijt_A_R1.xtc;data/raw/1ijt_A/1ijt_A_R2.xtc;data/raw/1ijt_A/1ijt_A_R3.xtc,3003
1j8r_A,196,Mainly Beta,0.75,19.55,1.8,low,data/raw/1j8r_A/1j8r_A.pdb,data/raw/1j8r_A/1j8r_A_R1.xtc;data/raw/1j8r_A/1j8r_A_R2.xtc;data/raw/1j8r_A/1j8r_A_R3.xtc,3003
1jwq_A,179,Alpha Beta,0.73,15.45,1.8,low,data/raw/1jwq_A/1jwq_A.pdb,data/raw/1jwq_A/1jwq_A_R1.xtc;data/raw/1jwq_A/1jwq_A_R2.xtc;data/raw/1jwq_A/1jwq_A_R3.xtc,3003
1k7j_A,206,Alpha Beta,0.75,16.75,1.4,low,data/raw/1k7j_A/1k7j_A.pdb,data/raw/1k7j_A/1k7j_A_R1.xtc;data/raw/1k7j_A/1k7j_A_R2.xtc;data/raw/1k7j_A/1k7j_A_R3.xtc,3003
