system_id,url,remote_content_length,archive_sha256,downloaded_at_utc,status,pdb_path,n_atoms,n_residues,n_hydrogens,n_bv_donors,r1_frames,r1_start_ps,r1_end_ps,r1_dt_ps,r2_frames,r2_start_ps,r2_end_ps,r2_dt_ps,r3_frames,r3_start_ps,r3_end_ps,r3_dt_ps,n_frames
1ah7_A,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1ah7_A/1ah7_A_analysis.zip,57223499,08be3e70832585180592a280f9259088fc072657e66807d5b7899b6cba3d1ae2,2026-08-26T17:11:25.429291+00:00,valid,data/raw/1ah7_A/1ah7_A.pdb,3896,245,1883,237,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1b2s_E,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1b2s_E/1b2s_E_analysis.zip,21671996,84843216e794eda5015d4f9fda4eca09b4d7a5ba8ea2b05c8b8a745c53b364bd,2026-08-26T18:25:12.330597+00:00,valid,data/raw/1b2s_E/1b2s_E.pdb,1447,90,721,87,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1bgf_A,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1bgf_A/1bgf_A_analysis.zip,30856158,fdd6f6a686e5b8697cfdb28d7e258728b3263f16ce94b6ad2c38d7ed9ea8801b,2026-08-26T18:25:17.558323+00:00,valid,data/raw/1bgf_A/1bgf_A.pdb,2051,124,1032,120,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1bxy_A,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1bxy_A/1bxy_A_analysis.zip,15168343,5bf65fb5a179f7d287a81b97793e4ccd533bc29014517c2df8605bb6c56b27ae,2026-08-26T18:25:20.905594+00:00,valid,data/raw/1bxy_A/1bxy_A.pdb,1006,60,529,55,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1c1k_A,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1c1k_A/1c1k_A_analysis.zip,54376481,070ffebcd89c81159f8e97dc79a0a8dbb80dd725a148b0584482b2544e075707,2026-08-26T18:25:29.452903+00:00,valid,data/raw/1c1k_A/1c1k_A.pdb,3710,217,1872,214,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1cuo_A,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1cuo_A/1cuo_A_analysis.zip,28287878,ae3f68c85cbe6d7a8a775348a33e0874f509c626045a3193023e5921560788f0,2026-08-26T18:25:34.777635+00:00,valid,data/raw/1cuo_A/1cuo_A.pdb,1899,129,932,123,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1dd3_B,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1dd3_B/1dd3_B_analysis.zip,29279803,8880aa766ba825425959453d15ec33c309eca4e34f7210bb0f631f4257e9af29,2026-08-26T17:21:23.607272+00:00,valid,data/raw/1dd3_B/1dd3_B.pdb,1944,128,999,124,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1dvo_A,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1dvo_A/1dvo_A_analysis.zip,38274322,e9d0085cf062bcd389efd139cecc8369d8be9a95aa13a319db9e40aa9d180aac,2026-08-26T17:21:29.743116+00:00,valid,data/raw/1dvo_A/1dvo_A.pdb,2482,152,1263,145,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1dwk_A,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1dwk_A/1dwk_A_analysis.zip,36632696,08b1400be576319257abb147d425983ef88dbec11dae85058f67b47a28604d88,2026-08-26T17:21:35.658764+00:00,valid,data/raw/1dwk_A/1dwk_A.pdb,2441,156,1243,148,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1ef1_D,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1ef1_D/1ef1_D_analysis.zip,22963396,203f997c3d1d9a1cde51c2ef09363b7c48815ad66ba05eba3701b1a6f822e8bf,2026-08-26T17:21:40.093834+00:00,valid,data/raw/1ef1_D/1ef1_D.pdb,1446,90,720,89,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1f3u_G,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1f3u_G/1f3u_G_analysis.zip,27748848,d0d57c1d1e9c32c9b9d751d8bb00d4e9f691c9762186e5473e53b4717c266225,2026-08-26T17:21:45.111522+00:00,valid,data/raw/1f3u_G/1f3u_G.pdb,1802,118,907,112,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1fx4_A,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1fx4_A/1fx4_A_analysis.zip,52957274,f8891ff52d4a2db89f94a07692df0ece28134d3f56018589af3f9885413e444e,2026-08-26T17:21:52.728367+00:00,valid,data/raw/1fx4_A/1fx4_A.pdb,3573,231,1756,218,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1gqv_A,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1gqv_A/1gqv_A_analysis.zip,32088583,c74a07aeeac7b56d91f4bd1ee55c17a315db96fd3fcab3e80c8fab6ba81adc06,2026-08-26T18:25:42.282445+00:00,valid,data/raw/1gqv_A/1gqv_A.pdb,2137,135,1048,122,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1i2t_A,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1i2t_A/1i2t_A_analysis.zip,14631942,2f91aaacb33f957aff6a7a2acda58a9293cb521827d9687b634c2f6d3516186f,2026-08-26T18:25:47.686907+00:00,valid,data/raw/1i2t_A/1i2t_A.pdb,966,61,494,57,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1i4m_A,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1i4m_A/1i4m_A_analysis.zip,26244662,bf5d5182e436cb1873889e3a8dc1a09e39b86cb66e59b44ed006aec9afb82c6a,2026-08-26T18:25:52.268695+00:00,valid,data/raw/1i4m_A/1i4m_A.pdb,1718,108,829,104,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1ifg_A,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1ifg_A/1ifg_A_analysis.zip,33505023,89f112dcf37fa1a18ba0c483b7c0bc6b6afa6b6b399f23328d6a82e5eb6b8382,2026-08-26T18:25:57.829818+00:00,valid,data/raw/1ifg_A/1ifg_A.pdb,2235,140,1123,132,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1ijt_A,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1ijt_A/1ijt_A_analysis.zip,30062206,9876ccd7f876e1a78303f0e67e7fb79ad35a024256bb5543c3f0bf89afe67647,2026-08-26T18:26:02.755077+00:00,valid,data/raw/1ijt_A/1ijt_A.pdb,2031,128,1026,120,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1j8r_A,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1j8r_A/1j8r_A_analysis.zip,46330604,6f18583211357f261aaf1b80c6746277522b06eb6def5abec5b5d19acea14d49,2026-08-26T18:26:09.724670+00:00,valid,data/raw/1j8r_A/1j8r_A.pdb,3140,196,1535,184,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1jwq_A,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1jwq_A/1jwq_A_analysis.zip,41037525,58484504d7a70838e7b9c0e8fa6a9b05402792dea63f33aad19a2a0aed7c99e8,2026-08-26T18:26:15.739262+00:00,valid,data/raw/1jwq_A/1jwq_A.pdb,2777,179,1391,175,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
1k7j_A,https://www.dsimb.inserm.fr/ATLAS/database/ATLAS/1k7j_A/1k7j_A_analysis.zip,48196278,1f2b4a409047fee8e2da8b9d8f6859bd9dc62e4472d201dd0b82d85a78eaa465,2026-08-26T18:26:22.640808+00:00,valid,data/raw/1k7j_A/1k7j_A.pdb,3281,206,1653,191,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,1001,0.0,100000.0,100.0,3003
